Origin,20200101,20200102,20200103
Langfang,21.72,13.74,15.82
Baoding,9.83,7.83,7.62
Tianjin,7.79,6.79,8.64
Zhangjiakou,4.37,3.41,3.62
Chengde,2.46,2.03,2.11
Tangshan,2.42,2.07,2.18
Shijiazhuang,2.39,2.6,2.77
Cangzhou,1.92,1.98,2.03
Handan,1.81,1.81,1.56
Shanghai,1.62,2.31,2.26
Hengshui,1.38,1.34,1.14
Zhengzhou,1.19,1.39,1.5
Xingtai,1.1,1.15,1.07
Harbin,0.97,1.28,1.05
Qinghuangdao,0.95,0.91,0.95
Xian,0.93,1.39,1.13
Jinan,0.88,1.2,1.44
Shenyang,0.82,1.18,1.1
Chengdu,0.81,1.3,1.06
Taiyuan,0.8,1.0,1.08
Datong,0.77,0.74,0.74
Shenzhen,0.77,1.12,0.97
Hohhot,0.76,0.95,1.08
Guangzhou,0.75,0.96,0.82
Chifeng,0.73,0.7,0.64
Qingdao,0.71,0.92,0.91
Wuhan,0.7,1.03,0.97
Changchun,0.7,1.02,0.98
Dezhou,0.65,0.74,0.63
Nanjing,0.61,0.91,0.88
Hangzhou,0.58,0.8,0.79
Chongqing,0.55,0.76,0.67
Dalian,0.55,0.75,0.71
Heze,0.48,0.53,0.45
Liaocheng,0.47,0.51,0.5
Weifang,0.43,0.51,0.48
Changsha,0.43,0.71,0.58
Anyang,0.4,0.41,0.37
Sanya,0.39,0.33,0.31
Hefei,0.38,0.58,0.56
Linyi,0.37,0.43,0.36
Suzhou,0.35,0.46,0.4
Zhoukou,0.35,0.4,0.35
Baotou,0.34,0.44,0.48
Yantai,0.34,0.52,0.42
Jining,0.32,0.47,0.51
Huludao,0.31,0.33,0.31
Ulanqab,0.31,0.35,0.36
Xilingol,0.31,0.31,0.31
Puyang,0.31,0.35,0.28
Taian,0.29,0.36,0.29
Xinzhou,0.29,0.25,0.2
Linfen,0.28,0.35,0.31
Tongliao,0.28,0.36,0.26
Xinyang,0.26,0.3,0.25
Nanyang,0.26,0.26,0.24
Xiamen,0.25,0.28,0.26
Nanchang,0.25,0.4,0.4
Xinxiang,0.25,0.26,0.29
Kunming,0.24,0.34,0.35
Jinzhong,0.24,0.27,0.26
Xuzhou,0.24,0.31,0.31
Yuncheng,0.24,0.27,0.24
Ordos,0.24,0.29,0.32
Zibo,0.24,0.29,0.34
Binzhou,0.22,0.29,0.28
Luoyang,0.22,0.29,0.28
Shangqiu,0.21,0.25,0.25
Chaoyang,0.21,0.22,0.18
Jinzhou,0.21,0.26,0.25
Yulin,0.2,0.19,0.22
Urumqi,0.2,0.3,0.23
Dongying,0.2,0.25,0.25
Jinlin,0.2,0.24,0.24
Yinchuan,0.19,0.24,0.24
Zhumadian,0.19,0.23,0.21
Changzhi,0.19,0.21,0.2
Lanzhou,0.18,0.29,0.28
Haikou,0.18,0.21,0.17
Anshan,0.18,0.22,0.21
Weihai,0.17,0.27,0.19
Shuozhou,0.16,0.2,0.2
Zaozhuang,0.16,0.19,0.17
Wuxi,0.16,0.27,0.25
Lvliang,0.16,0.19,0.17
Hulunbuir,0.16,0.2,0.17
Yangquan,0.15,0.17,0.16
Fuzhou,0.15,0.23,0.22
Guiyang,0.15,0.22,0.22
Fuyang,0.14,0.17,0.18
Nanning,0.14,0.25,0.2
Ningbo,0.14,0.22,0.21
Daqing,0.14,0.23,0.17
Bayannur,0.13,0.16,0.14
Nantong,0.12,0.18,0.17
