Date,Value
20190112,1.3101588
20190113,1.2065112
20190114,1.1008872
20190115,1.0381284
20190116,1.0953144
20190117,1.0880244
20190118,1.1216556
20190119,1.323702
20190120,1.2647664
20190121,1.2467196
20190122,1.2617208
20190123,1.398222
20190124,1.516644
20190125,1.6192224
20190126,1.9547568
20190127,2.078136
20190128,2.0278836
20190129,2.0208204
20190130,2.1810384
20190131,2.0653056
20190201,2.3418396
20190202,2.4242652
20190203,2.3453064
20190204,1.9027872
20190205,2.8995732
20190206,2.9186568
20190207,2.4552072
20190208,2.4014556
20190209,2.5624512
20190210,1.7714376
20190211,1.9551456
20190212,1.7322984
20190213,1.4631516
20190214,0.9770868
20190215,1.1502
20190216,1.6465032
20190217,1.66374
20190218,1.3930704
20190219,2.0344608
20190220,1.6332192
20190221,1.1997396
20190222,1.2685896
20190223,1.8174132
20190224,1.9311696
20190225,1.103058
20190226,0.9694404
20190227,1.0985868
20190228,1.342008
20190301,1.1943612
20190302,1.5037488
20190303,1.2894876
20190304,1.1567772
20190305,1.076976
20190306,1.0372536
20190307,1.0431828
20190308,1.3218876
20190309,1.6553484
20190310,1.4518116
20190311,1.2300012
20190312,1.09431
20190313,1.0359252
20190314,1.0878948
20190315,1.34217
20190316,1.8504288
20190317,1.5074748
20190318,1.2396564
20190319,1.1016972
20190320,1.0541016
20190321,1.0968696
20190322,1.2815172
20190323,1.7030088
20190324,1.4602356
20190325,1.260522
20190326,1.1095056
20190327,1.101114
20190328,1.1091492
20190329,1.2587724
20190330,1.8211392
20190331,2.0459952
20190401,1.3207212
20190402,1.2652524
20190403,1.3438872
20190404,2.2989096
20190405,4.773978
20190406,2.9040444
20190407,2.4738372
20190408,1.795122
20190409,1.2987864
20190410,1.2797028
20190411,1.327752
20190412,1.5140844
20200101,0.9659088
20200102,0.871236
20200103,1.487808
20200104,1.8097344
20200105,1.457676
20200106,1.2763656
20200107,1.2167496
20200108,1.516806
20200109,1.7795376
20200110,1.5529644
20200111,1.7982972
20200112,1.56249
20200113,1.4452992
20200114,1.476144
20200115,1.6074612
20200116,1.7211528
20200117,1.9284156
20200118,2.0685456
20200119,2.2422744
20200120,2.3753412
20200121,2.7103896
20200122,2.6095284
20200123,2.5339392
20200124,2.147148
20200125,1.249506
20200126,0.9910836
20200127,0.507708
20200128,0.351702
20200129,0.2728728
20200130,0.245592
20200131,0.2029536
20200201,0.1854252
20200202,0.2166912
20200203,0.1701648
20200204,0.1555524
20200205,0.1444068
20200206,0.1297296
20200207,0.1422036
20200208,0.1383156
20200209,0.1529928
20200210,0.1535112
20200211,0.1536084
20200212,0.1587276
20200213,0.1600236
20200214,0.1583064
20200215,0.1499796
20200216,0.155034
20200217,0.173502
20200218,0.182574
20200219,0.1894752
20200220,0.2062584
20200221,0.2516832
20200222,0.3639492
20200223,0.359154
20200224,0.4532112
20200225,0.4036716
20200226,0.4148496
20200227,0.374706
20200228,0.3893832
20200229,0.4581684
20200301,0.5124384
20200302,0.5390388
20200303,0.5194368
20200304,0.5258196
20200305,0.5997564
20200306,0.6128784
20200307,0.714096
20200308,0.6720084
20200309,0.6750864
20200310,0.65691
20200311,0.6966
20200312,0.704214
20200313,0.69012
20200314,0.7587108
20200315,0.871884
20200316,0.7332768
20200317,0.7041816
20200318,0.7305876
20200319,0.7476948
20200320,0.7909812
20200321,1.0469088
20200322,1.000026
20200323,0.8860428
20200324,0.81405
20200325,0.8634924
20200326,0.81972
