Date,Value
20190112,0.0233604
20190113,0.0229068
20190114,0.0250776
20190115,0.023652
20190116,0.0240732
20190117,0.0216432
20190118,0.0209952
20190119,0.0240732
20190120,0.0189864
20190121,0.0197964
20190122,0.0262764
20190123,0.0261144
20190124,0.0290628
20190125,0.0235548
20190126,0.0237816
20190127,0.027378
20190128,0.024786
20190129,0.0244944
20190130,0.0237168
20190131,0.022032
20190201,0.0231984
20190202,0.0242676
20190203,0.0266976
20190204,0.018792
20190205,0.0185004
20190206,0.0188892
20190207,0.0215784
20190208,0.0200232
20190209,0.021546
20190210,0.0224532
20190211,0.021384
20190212,0.0227124
20190213,0.0226476
20190214,0.0227124
20190215,0.0204444
20190216,0.0245592
20190217,0.0223884
20190218,0.0210276
20190219,0.0253044
20190220,0.0236844
20190221,0.02187
20190222,0.0214812
20190223,0.0243972
20190224,0.02835
20190225,0.0239112
20190226,0.0208008
20190227,0.0205092
20190228,0.0271836
20190301,0.0248184
20190302,0.0261144
20190303,0.0245592
20190304,0.0254016
20190305,0.0239436
20190306,0.0230688
20190307,0.0252396
20190308,0.0267948
20190309,0.0269244
20190310,0.0280908
20190311,0.0266652
20190312,0.0266328
20190313,0.0268272
20190314,0.0253368
20190315,0.0257256
20190316,0.0355752
20190317,0.029808
20190318,0.027378
20190319,0.0294516
20190320,0.0261468
20190321,0.0249156
20190322,0.028998
20190323,0.0338904
20190324,0.031266
20190325,0.0335988
20190326,0.0277668
20190327,0.0295488
20190328,0.0291924
20190329,0.0270216
20190330,0.033534
20190331,0.0355428
20190401,0.0301968
20190402,0.036612
20190403,0.0371952
20190404,0.040014
20190405,0.0433188
20190406,0.0432864
20190407,0.0426384
20190408,0.0386856
20190409,0.0394632
20190410,0.0369684
20190411,0.0391068
20190412,0.0409212
20200101,0.0210276
20200102,0.0122148
20200103,0.0243648
20200104,0.0356724
20200105,0.030618
20200106,0.0305856
20200107,0.0317844
20200108,0.033696
20200109,0.0410184
20200110,0.0360288
20200111,0.0327564
20200112,0.0348948
20200113,0.0287388
20200114,0.0309744
20200115,0.0298728
20200116,0.0313308
20200117,0.0276696
20200118,0.0334044
20200119,0.0347328
20200120,0.0275724
20200121,0.0317844
20200122,0.0282528
20200123,0.02673
20200124,0.0232308
20200125,0.019602
20200126,0.0178524
20200127,0.0149364
20200128,0.0104004
20200129,0.0076788
20200130,0.0073548
20200131,0.0085212
20200201,0.008586
20200202,0.0096552
20200203,0.0096552
20200204,0.0078408
20200205,0.0083916
20200206,0.009072
20200207,0.0082944
20200208,0.0086508
20200209,0.0102384
20200210,0.0107568
20200211,0.0088776
20200212,0.0076464
20200213,0.0078732
20200214,0.0088776
20200215,0.0067392
20200216,0.0077436
20200217,0.0070632
20200218,0.0070956
20200219,0.0070308
20200220,0.006804
20200221,0.0086184
20200222,0.0103356
20200223,0.0129924
20200224,0.015228
20200225,0.0133164
20200226,0.0123444
20200227,0.0128304
20200228,0.0148716
20200229,0.0158436
20200301,0.0160056
20200302,0.0172044
20200303,0.016038
20200304,0.016362
20200305,0.018144
20200306,0.0185004
20200307,0.019116
20200308,0.0182088
20200309,0.0195048
20200310,0.0201204
20200311,0.02268
20200312,0.0239436
20200313,0.0239112
20200314,0.0306828
20200315,0.0319464
20200316,0.0288036
20200317,0.0295488
20200318,0.0271512
20200319,0.025758
20200320,0.0292572
20200321,0.0305208
20200322,0.032562
20200323,0.030294
20200324,0.0310716
20200325,0.027054
20200326,0.0276696
