Date,Value
20190112,3.1472388
20190113,2.8753056
20190114,3.1105296
20190115,2.9074464
20190116,2.982744
20190117,3.0148848
20190118,3.1171068
20190119,3.5240508
20190120,3.3097896
20190121,3.476682
20190122,3.6081936
20190123,3.9021912
20190124,3.9968316
20190125,4.3110468
20190126,5.1407136
20190127,5.120658
20190128,5.6172528
20190129,5.5923372
20190130,5.785668
20190131,6.1690572
20190201,7.043598
20190202,7.3398636
20190203,7.5300516
20190204,7.004232
20190205,6.1609572
20190206,8.8693056
20190207,9.5177268
20190208,9.8492112
20190209,11.013894
20190210,12.0519252
20190211,10.0752012
20190212,8.873388
20190213,9.2246688
20190214,9.1158048
20190215,8.868204
20190216,8.4583116
20190217,8.024508
20190218,6.8551272
20190219,5.7307824
20190220,6.2720244
20190221,7.3602432
20190222,6.0518988
20190223,5.9033448
20190224,5.9956524
20190225,4.712094
20190226,4.4791704
20190227,6.0013872
20190228,5.0792832
20190301,4.2253164
20190302,4.3336944
20190303,4.036392
20190304,3.8615292
20190305,3.8272176
20190306,3.3224904
20190307,3.2352696
20190308,3.4949232
20190309,3.8866068
20190310,3.4889292
20190311,3.761802
20190312,3.2629716
20190313,3.3157188
20190314,3.0652668
20190315,3.4656984
20190316,3.8258244
20190317,3.416094
20190318,3.644676
20190319,3.2444712
20190320,3.1837212
20190321,3.0918348
20190322,3.2247072
20190323,3.6501192
20190324,3.1884192
20190325,3.5517204
20190326,3.183786
20190327,3.153816
20190328,3.0692844
20190329,3.3403104
20190330,3.669624
20190331,4.1465196
20190401,3.4576956
20190402,3.3598476
20190403,3.4895772
20190404,4.697514
20190405,9.5872248
20190406,5.6818908
20190407,6.0217992
20190408,5.6466396
20190409,4.0342536
20190410,3.73167
20190411,3.5988624
20190412,3.79728
20200101,2.4477552
20200102,2.4820344
20200103,3.6187884
20200104,4.064742
20200105,4.13505
20200106,3.9054312
20200107,3.989088
20200108,4.1849136
20200109,4.5642852
20200110,3.9712032
20200111,4.5906588
20200112,4.2929676
20200113,4.3447428
20200114,4.2637752
20200115,4.740282
20200116,4.9557744
20200117,5.2702164
20200118,5.9835024
20200119,6.1874604
20200120,6.7183992
20200121,8.1833328
20200122,8.2912896
20200123,8.8136424
20200124,7.62858
20200125,4.7465352
20200126,4.8229668
20200127,4.500522
20200128,3.8085552
20200129,3.5039304
20200130,3.0939732
20200131,2.7997164
20200201,1.7825508
20200202,2.2318092
20200203,1.638792
20200204,1.1593692
20200205,1.0216368
20200206,1.2089412
20200207,1.3705524
20200208,1.4425128
20200209,1.2657384
20200210,1.1472516
20200211,0.7874172
20200212,0.8093196
20200213,0.8293752
20200214,0.8854272
20200215,0.77436
20200216,0.8893476
20200217,0.8586324
20200218,0.9928332
20200219,1.3142088
20200220,1.419768
20200221,1.3927788
20200222,2.0620008
20200223,2.2173588
20200224,2.215674
20200225,2.8408644
20200226,2.8630584
20200227,2.9201472
20200228,2.71998
20200229,3.099384
20200301,2.5867512
20200302,3.4541316
20200303,2.947266
20200304,2.6693712
20200305,2.6392392
20200306,3.1183056
20200307,2.9400084
20200308,2.2669956
20200309,2.6405028
20200310,3.1968756
20200311,2.4465564
20200312,2.8991196
20200313,2.6128008
20200314,2.748492
20200315,2.4229368
20200316,2.6513892
20200317,2.4571512
20200318,2.7281124
20200319,2.55474
20200320,2.5931664
20200321,2.6658396
20200322,2.6546292
20200323,2.5188084
20200324,2.363418
