Date,Value
20190112,2.2123368
20190113,1.944972
20190114,2.061126
20190115,2.0799828
20190116,2.1664584
20190117,2.1916656
20190118,2.2646628
20190119,2.5187436
20190120,2.452194
20190121,2.6876772
20190122,2.7650484
20190123,3.0388608
20190124,3.2036796
20190125,3.5730072
20190126,4.2687324
20190127,4.4508528
20190128,4.691196
20190129,4.6894464
20190130,4.7477664
20190131,4.926096
20190201,4.9255128
20190202,4.4919036
20190203,4.1702364
20190204,3.762126
20190205,2.9834568
20190206,4.52466
20190207,5.2794504
20190208,4.947804
20190209,5.0327244
20190210,5.8406184
20190211,6.850818
20190212,6.0218964
20190213,6.4661652
20190214,6.2813232
20190215,5.993514
20190216,5.8336524
20190217,5.9212944
20190218,5.3378676
20190219,4.2599844
20190220,4.3849188
20190221,5.893398
20190222,5.626584
20190223,5.5375488
20190224,5.4098928
20190225,4.065228
20190226,3.7862316
20190227,4.4241876
20190228,4.2871032
20190301,3.4161588
20190302,3.3296832
20190303,3.0625776
20190304,2.8287468
20190305,3.0422952
20190306,2.7928152
20190307,2.6126064
20190308,2.647566
20190309,2.7634932
20190310,2.4766236
20190311,2.6739396
20190312,2.551014
20190313,2.6135136
20190314,2.4527124
20190315,2.596212
20190316,2.8077516
20190317,2.4853392
20190318,2.6093664
20190319,2.5499124
20190320,2.6612064
20190321,2.601882
20190322,2.5371792
20190323,2.67624
20190324,2.3165028
20190325,2.5650432
20190326,2.4061536
20190327,2.4252696
20190328,2.4033996
20190329,2.445876
20190330,2.5901208
20190331,3.234168
20190401,2.555874
20190402,2.790126
20190403,3.2110344
20190404,4.0971744
20190405,5.2246296
20190406,4.009338
20190407,4.4076636
20190408,4.2577812
20190409,3.2913216
20190410,3.0577824
20190411,2.8906956
20190412,2.8290708
20200101,1.6232724
20200102,2.1629592
20200103,2.8488024
20200104,3.1918536
20200105,2.9358288
20200106,3.021138
20200107,3.171636
20200108,3.5300124
20200109,4.1578596
20200110,3.2415552
20200111,3.4352748
20200112,3.4398108
20200113,3.4653096
20200114,3.5831808
20200115,4.0202892
20200116,4.4145324
20200117,4.8814812
20200118,5.531328
20200119,5.5994976
20200120,5.6307312
20200121,6.1703532
20200122,5.4296892
20200123,4.8150936
20200124,4.01841
20200125,1.8726876
20200126,1.6200324
20200127,1.667142
20200128,1.6316964
20200129,1.6458228
20200130,1.809864
20200131,1.7731224
20200201,1.26036
20200202,1.465938
20200203,1.111968
20200204,0.7083936
20200205,0.64638
20200206,0.685746
20200207,0.7427376
20200208,0.8606412
20200209,0.8914212
20200210,0.8407476
20200211,0.623862
20200212,0.6271668
20200213,0.6364008
20200214,0.6696756
20200215,0.709884
20200216,0.7862832
20200217,0.8333604
20200218,1.0722132
20200219,1.3595364
20200220,1.5624576
20200221,1.6356492
20200222,2.0295036
20200223,2.2045284
20200224,2.1062916
20200225,2.371032
20200226,2.382858
20200227,2.3187708
20200228,2.29878
20200229,2.512782
20200301,2.2418856
20200302,2.519262
20200303,2.3723928
20200304,2.2618764
20200305,2.1525912
20200306,2.3591736
20200307,2.2310964
20200308,1.9497348
20200309,2.0246436
20200310,2.3503932
20200311,2.0133684
20200312,2.134998
20200313,2.0186172
20200314,2.0015748
20200315,1.8815328
20200316,1.9546596
20200317,1.8502344
20200318,1.9092348
20200319,1.8862956
20200320,1.8645552
20200321,1.8208152
20200322,1.8434952
20200323,1.7737056
20200324,1.6917984
