Date,Value
20190112,2.5191
20190113,2.370708
20190114,2.551176
20190115,2.597508
20190116,2.7750924
20190117,2.9681316
20190118,3.1173012
20190119,3.3571584
20190120,3.4265268
20190121,3.860136
20190122,4.2849324
20190123,4.6327788
20190124,5.3523828
20190125,6.2125056
20190126,7.4865384
20190127,8.0393148
20190128,8.0558064
20190129,7.9181388
20190130,7.5549024
20190131,7.1346096
20190201,6.6950388
20190202,5.4970812
20190203,4.2206832
20190204,3.1012632
20190205,2.1211956
20190206,3.2522148
20190207,3.8384604
20190208,4.248774
20190209,4.7777364
20190210,5.79312
20190211,5.9858352
20190212,5.346162
20190213,5.46507
20190214,5.4897588
20190215,5.4587844
20190216,5.1606072
20190217,4.7358756
20190218,4.3033032
20190219,3.2096736
20190220,3.3603336
20190221,4.7179584
20190222,4.0658112
20190223,3.9285648
20190224,3.8751696
20190225,3.0747924
20190226,2.9127924
20190227,3.1464612
20190228,3.5256384
20190301,2.7281124
20190302,2.814264
20190303,2.5501716
20190304,2.6568
20190305,2.5027704
20190306,2.3601456
20190307,2.3654916
20190308,2.4113052
20190309,2.4962256
20190310,2.47617
20190311,2.6236872
20190312,2.4723468
20190313,2.4347304
20190314,2.37735
20190315,2.4659964
20190316,2.7341064
20190317,2.4981372
20190318,2.6535276
20190319,2.4600672
20190320,2.452518
20190321,2.4322356
20190322,2.5172856
20190323,2.6957124
20190324,2.4105924
20190325,2.5644924
20190326,2.5107084
20190327,2.4744204
20190328,2.4655104
20190329,2.5910928
20190330,2.7585684
20190331,3.3809076
20190401,2.622942
20190402,2.701836
20190403,3.00105
20190404,3.7216908
20190405,4.9801716
20190406,3.3878412
20190407,4.178466
20190408,4.8607452
20190409,3.8151
20190410,3.4333956
20190411,3.1296456
20190412,3.1071924
20200101,2.1561228
20200102,2.808432
20200103,3.4723728
20200104,3.9506616
20200105,4.0815252
20200106,4.2360732
20200107,4.5757548
20200108,5.251878
20200109,6.4040544
20200110,4.7479932
20200111,5.3005428
20200112,5.1953724
20200113,5.3994924
20200114,5.9281308
20200115,6.5801484
20200116,7.4829744
20200117,8.7858756
20200118,9.2212992
20200119,9.0017244
20200120,8.7823116
20200121,9.1042056
20200122,6.7976496
20200123,5.1552612
20200124,3.4971912
20200125,1.7021664
20200126,1.6047396
20200127,1.6940664
20200128,1.5233832
20200129,1.3401288
20200130,1.3398696
20200131,1.2711816
20200201,1.0668024
20200202,1.1756664
20200203,1.1099268
20200204,0.744876
20200205,0.6943968
20200206,0.7628904
20200207,0.8003124
20200208,0.8510832
20200209,0.8653068
20200210,0.9106668
20200211,0.6443388
20200212,0.6086664
20200213,0.6495876
20200214,0.6051348
20200215,0.6041952
20200216,0.6623532
20200217,0.7111476
20200218,0.9139068
20200219,1.0798272
20200220,1.1964672
20200221,1.28628
20200222,1.447794
20200223,1.478898
20200224,1.4628276
20200225,1.6283592
20200226,1.5598332
20200227,1.4902704
20200228,1.491534
20200229,1.4609484
20200301,1.6053552
20200302,1.7832312
20200303,1.5191064
20200304,1.4125428
20200305,1.35351
20200306,1.4441976
20200307,1.380726
20200308,1.3268448
20200309,1.436454
20200310,1.4537556
20200311,1.4187636
20200312,1.4389488
20200313,1.351728
20200314,1.4072292
20200315,1.4909508
20200316,1.6094052
20200317,1.5387408
20200318,1.5235452
20200319,1.4765976
20200320,1.4757876
20200321,1.5740892
20200322,1.5815088
20200323,1.5835824
20200324,1.496556
