Date,Value
20190112,1.914192
20190113,1.80549
20190114,1.897182
20190115,1.852146
20190116,2.0373768
20190117,2.1592008
20190118,2.1912768
20190119,2.2231584
20190120,2.2081248
20190121,2.1464352
20190122,2.2674816
20190123,2.4069312
20190124,2.521368
20190125,2.665548
20190126,2.9322
20190127,2.9891268
20190128,3.0241512
20190129,2.9502468
20190130,3.0562596
20190131,3.002508
20190201,3.4693596
20190202,3.5429724
20190203,3.276612
20190204,2.8679184
20190205,1.8202644
20190206,2.1377844
20190207,2.3906664
20190208,2.433888
20190209,2.4701436
20190210,2.4620436
20190211,2.5658532
20190212,2.2737996
20190213,2.3682456
20190214,2.2502124
20190215,2.2113
20190216,2.3453712
20190217,2.104056
20190218,1.9264716
20190219,1.8104796
20190220,1.8983808
20190221,2.4090372
20190222,2.2727628
20190223,2.4080328
20190224,2.636226
20190225,1.8102528
20190226,1.6643232
20190227,2.0813436
20190228,2.0992284
20190301,1.735668
20190302,1.7202132
20190303,1.7007408
20190304,1.7208936
20190305,1.7034948
20190306,1.641546
20190307,1.5917796
20190308,1.5845544
20190309,1.6985052
20190310,1.5884424
20190311,1.6616664
20190312,1.6355844
20190313,1.6992828
20190314,1.547424
20190315,1.6173432
20190316,1.7111088
20190317,1.6204212
20190318,1.7064432
20190319,1.6304328
20190320,1.6549596
20190321,1.5747048
20190322,1.59732
20190323,1.707156
20190324,1.5689052
20190325,1.6680816
20190326,1.5603516
20190327,1.584198
20190328,1.5724044
20190329,1.6133904
20190330,1.6801668
20190331,1.9648008
20190401,1.7013888
20190402,1.7556912
20190403,1.7913636
20190404,2.057562
20190405,2.9244888
20190406,2.2574052
20190407,2.4762672
20190408,2.47941
20190409,1.894428
20190410,1.8484848
20190411,1.8512712
20190412,1.8301464
20200101,1.455084
20200102,1.8628704
20200103,2.4285744
20200104,2.7950832
20200105,2.4331752
20200106,2.5274268
20200107,2.8954584
20200108,3.3047352
20200109,3.549258
20200110,2.7794988
20200111,2.8081728
20200112,2.9043684
20200113,2.9593512
20200114,2.999916
20200115,2.9457756
20200116,2.796606
20200117,3.189132
20200118,3.4474248
20200119,3.5977284
20200120,3.882816
20200121,4.6546488
20200122,4.27761
20200123,4.1546196
20200124,3.3891372
20200125,1.9136736
20200126,1.6270632
20200127,1.50093
20200128,1.2153564
20200129,0.9247608
20200130,0.8192664
20200131,0.7488288
20200201,0.5803164
20200202,0.6482916
20200203,0.5765256
20200204,0.4311144
20200205,0.3916188
20200206,0.3756456
20200207,0.3514104
20200208,0.3338172
20200209,0.3292812
20200210,0.3486564
20200211,0.3236112
20200212,0.3239028
20200213,0.344574
20200214,0.3498876
20200215,0.3616488
20200216,0.3728916
20200217,0.4009176
20200218,0.4609872
20200219,0.49167
20200220,0.5306472
20200221,0.517752
20200222,0.5812236
20200223,0.643302
20200224,0.7240752
20200225,0.8281764
20200226,0.9281628
20200227,0.8763552
20200228,0.830088
20200229,0.928584
20200301,0.8744112
20200302,0.9508428
20200303,0.9515556
20200304,0.9563184
20200305,0.9578088
20200306,0.9686304
20200307,0.9882648
20200308,0.8967024
20200309,0.9547956
20200310,1.0309356
20200311,0.9985032
20200312,1.1026044
20200313,1.1786472
20200314,1.3270068
20200315,1.2726072
20200316,1.2879324
20200317,1.3330656
20200318,1.3520844
20200319,1.3687056
20200320,1.3579812
20200321,1.3349772
20200322,1.3022856
20200323,1.2774024
20200324,1.2411468
