Date,Value
20190112,1.656126
20190113,1.6142976
20190114,1.6521084
20190115,1.554552
20190116,1.5871788
20190117,1.5847488
20190118,1.615626
20190119,1.622592
20190120,1.53819
20190121,1.5485256
20190122,1.61514
20190123,1.6095996
20190124,1.6599168
20190125,1.7138952
20190126,1.7907804
20190127,1.7103636
20190128,1.7373528
20190129,1.673946
20190130,1.783134
20190131,1.7049528
20190201,1.7502804
20190202,1.6807176
20190203,1.62081
20190204,1.4781204
20190205,1.2447108
20190206,1.9025928
20190207,2.444418
20190208,3.0578148
20190209,3.5943264
20190210,4.0183128
20190211,4.3654464
20190212,3.8720916
20190213,3.8572524
20190214,3.4701372
20190215,3.3308172
20190216,3.1448412
20190217,2.634768
20190218,2.2813488
20190219,2.2834872
20190220,2.7453492
20190221,3.195288
20190222,3.003318
20190223,2.977236
20190224,3.22704
20190225,2.2849776
20190226,2.179872
20190227,2.4864408
20190228,2.7429516
20190301,2.2335264
20190302,2.1088836
20190303,2.0127852
20190304,1.9356084
20190305,1.8581076
20190306,1.8035136
20190307,1.708452
20190308,1.7451936
20190309,1.8413244
20190310,1.7607132
20190311,1.7418888
20190312,1.6826616
20190313,1.6940016
20190314,1.608012
20190315,1.7514468
20190316,1.8921924
20190317,1.706184
20190318,1.7143488
20190319,1.691928
20190320,1.6341588
20190321,1.5967044
20190322,1.6419348
20190323,1.7616204
20190324,1.5878916
20190325,1.6812036
20190326,1.6242444
20190327,1.6160148
20190328,1.5843924
20190329,1.6027632
20190330,1.7031708
20190331,1.9753956
20190401,1.7222868
20190402,1.741014
20190403,1.7934048
20190404,2.0558124
20190405,3.14847
20190406,2.6452332
20190407,2.5846776
20190408,2.4212844
20190409,1.944486
20190410,1.9226808
20190411,1.920996
20190412,1.9250136
20200101,1.0997856
20200102,1.245618
20200103,1.7683272
20200104,2.0830932
20200105,1.8031248
20200106,1.8338724
20200107,2.0463516
20200108,2.3374332
20200109,2.386908
20200110,1.8990936
20200111,1.9124424
20200112,2.0567844
20200113,2.089638
20200114,2.0161548
20200115,1.9115676
20200116,1.727406
20200117,1.9165896
20200118,1.8935208
20200119,1.8141084
20200120,1.8451476
20200121,2.072952
20200122,1.8682164
20200123,1.7334648
20200124,1.4048964
20200125,0.8788824
20200126,0.8849088
20200127,1.0398456
20200128,1.1744676
20200129,1.1693808
20200130,1.131246
20200131,1.0304496
20200201,0.8090928
20200202,0.8966052
20200203,0.77679
20200204,0.5825196
20200205,0.5221584
20200206,0.5178816
20200207,0.5076432
20200208,0.54999
20200209,0.5174928
20200210,0.4693464
20200211,0.3651804
20200212,0.3448656
20200213,0.3898044
20200214,0.4073976
20200215,0.395442
20200216,0.4583628
20200217,0.49248
20200218,0.5440932
20200219,0.6072084
20200220,0.647028
20200221,0.6541236
20200222,0.7411176
20200223,0.834786
20200224,0.8905788
20200225,0.9548928
20200226,1.050084
20200227,1.0354392
20200228,1.0464228
20200229,1.1745
20200301,1.1305008
20200302,1.1385684
20200303,1.1175084
20200304,1.1463768
20200305,1.1421648
20200306,1.1350044
20200307,1.1366568
20200308,1.1240208
20200309,1.1197764
20200310,1.0953792
20200311,1.1274876
20200312,1.2029796
20200313,1.192482
20200314,1.2916584
20200315,1.3405176
20200316,1.4059332
20200317,1.4313996
20200318,1.421388
20200319,1.4194764
20200320,1.4452668
20200321,1.4471784
20200322,1.412316
20200323,1.4303952
20200324,1.40049
