Date,Value
20190112,11.1789072
20190113,10.823382
20190114,11.1545424
20190115,11.6339976
20190116,13.225194
20190117,14.6631708
20190118,15.036516
20190119,17.4976848
20190120,18.9392904
20190121,22.3543152
20190122,25.4067516
20190123,27.4075812
20190124,30.5649288
20190125,35.0617572
20190126,44.4585672
20190127,50.134788
20190128,52.3402236
20190129,47.6100504
20190130,43.6272804
20190131,43.0720416
20190201,41.1088608
20190202,33.418494
20190203,23.610852
20190204,17.0869176
20190205,10.8034884
20190206,14.2208784
20190207,15.4567764
20190208,13.6554984
20190209,12.3653952
20190210,12.1407984
20190211,11.1800412
20190212,9.5261832
20190213,9.0721944
20190214,8.314164
20190215,7.6957128
20190216,8.118954
20190217,7.6062564
20190218,8.0253828
20190219,7.1230104
20190220,6.94494
20190221,7.7015124
20190222,7.555194
20190223,8.5242132
20190224,8.7202008
20190225,7.456536
20190226,7.3372068
20190227,8.3042496
20190228,10.4053248
20190301,8.2894104
20190302,9.2872656
20190303,8.1182088
20190304,8.4207924
20190305,7.8334128
20190306,8.105508
20190307,8.2849392
20190308,8.5395384
20190309,9.1264644
20190310,8.3377836
20190311,8.8466904
20190312,8.3581956
20190313,8.5499064
20190314,8.354016
20190315,8.4588624
20190316,9.8660916
20190317,8.651286
20190318,9.0107964
20190319,8.2557144
20190320,8.5904064
20190321,8.7999372
20190322,8.9531244
20190323,9.7110252
20190324,8.2516644
20190325,8.6398164
20190326,8.2795284
20190327,8.3662308
20190328,8.9110044
20190329,9.7800696
20190330,11.5074756
20190331,14.4195876
20190401,11.4317244
20190402,13.7302452
20190403,19.3061232
20190404,28.194804
20190405,30.56535
20190406,16.4172096
20190407,10.817226
20190408,11.2562784
20190409,9.64386
20190410,9.1590588
20190411,9.2334816
20190412,9.390816
20200101,9.1938564
20200102,12.7404252
20200103,15.473268
20200104,17.586396
20200105,17.6421564
20200106,18.8897184
20200107,20.1342672
20200108,23.4824832
20200109,31.140288
20200110,21.660696
20200111,26.2063512
20200112,27.8062308
20200113,29.211516
20200114,31.9383324
20200115,37.154052
20200116,44.5119624
20200117,50.8490784
20200118,54.271944
20200119,56.2017852
20200120,58.3637076
20200121,59.528844
20200122,41.7907188
20200123,30.7141956
20200124,20.611098
20200125,9.5510988
20200126,6.611058
20200127,5.37111
20200128,4.3536528
20200129,3.7874952
20200130,3.4856244
20200131,2.981124
20200201,2.5393176
20200202,2.7181008
20200203,2.364066
20200204,1.7477856
20200205,1.5228
20200206,1.5502428
20200207,1.579986
20200208,1.4999904
20200209,1.4504508
20200210,1.5569172
20200211,1.352214
20200212,1.2923712
20200213,1.3281408
20200214,1.3323204
20200215,1.1876868
20200216,1.14696
20200217,1.4011056
20200218,1.5740892
20200219,1.7213472
20200220,1.7801532
20200221,1.8486468
20200222,2.07198
20200223,2.2281804
20200224,2.3820156
20200225,2.5189704
20200226,2.6452332
20200227,2.7090288
20200228,2.7492048
20200229,2.9935656
20200301,3.1472388
20200302,3.1993704
20200303,3.0447576
20200304,2.9672568
20200305,2.9409804
20200306,3.1203144
20200307,3.3685956
20200308,3.3883272
20200309,3.4304796
20200310,3.4712388
20200311,3.5852544
20200312,3.5849304
20200313,3.661362
20200314,3.9450564
20200315,4.0370076
20200316,4.1290884
20200317,3.9898332
20200318,3.9167712
20200319,3.94713
20200320,4.1134716
20200321,4.519638
20200322,4.4593092
20200323,4.6413324
20200324,4.719384
