Date,Value
20190112,3.0589488
20190113,2.8999296
20190114,2.985822
20190115,3.2299884
20190116,3.7212372
20190117,4.178304
20190118,4.298994
20190119,4.7115756
20190120,5.1180984
20190121,5.8335876
20190122,6.7419216
20190123,7.326288
20190124,7.810992
20190125,9.2120652
20190126,12.6649332
20190127,14.858964
20190128,15.4224972
20190129,13.6959012
20190130,12.8554128
20190131,13.3351596
20190201,13.1448096
20190202,10.7927964
20190203,7.8168564
20190204,5.899554
20190205,4.2681168
20190206,7.6128336
20190207,8.9006364
20190208,7.8753384
20190209,7.2246816
20190210,7.3105092
20190211,6.02316
20190212,5.398488
20190213,5.390388
20190214,5.1426252
20190215,5.0330808
20190216,4.5892656
20190217,4.1148648
20190218,3.610494
20190219,3.1161996
20190220,3.3008472
20190221,4.6855908
20190222,3.800682
20190223,4.1663484
20190224,4.1687784
20190225,3.0926772
20190226,3.1475952
20190227,3.8348316
20190228,3.8145168
20190301,3.2261328
20190302,3.413016
20190303,3.1529412
20190304,3.0628692
20190305,3.0120336
20190306,2.96784
20190307,3.1132836
20190308,3.4375104
20190309,3.25458
20190310,2.9446416
20190311,2.9768796
20190312,2.976426
20190313,3.1041144
20190314,2.9422764
20190315,3.085452
20190316,3.3967512
20190317,2.9474928
20190318,2.8731348
20190319,2.8231092
20190320,2.8796796
20190321,2.9483028
20190322,3.1825224
20190323,3.2121036
20190324,2.7149904
20190325,2.8399572
20190326,2.8520748
20190327,2.833056
20190328,2.9848176
20190329,3.2452488
20190330,3.4909704
20190331,4.330098
20190401,3.9041352
20190402,5.1495912
20190403,8.1840132
20190404,13.2529932
20190405,12.7470348
20190406,7.537536
20190407,5.37192
20190408,5.1977052
20190409,4.4412624
20190410,3.6366408
20190411,3.3416064
20190412,3.3152652
20200101,2.7133704
20200102,3.3897528
20200103,4.2279408
20200104,4.7417076
20200105,4.5753984
20200106,4.8079656
20200107,5.198094
20200108,6.0810912
20200109,7.6217436
20200110,6.116472
20200111,7.7123664
20200112,7.7613228
20200113,7.6726116
20200114,8.340408
20200115,9.7445916
20200116,12.7523808
20200117,15.2054172
20200118,15.2421588
20200119,17.443674
20200120,17.7491088
20200121,17.4029472
20200122,12.7985832
20200123,9.8466516
20200124,6.8635188
20200125,3.2700348
20200126,2.7252612
20200127,2.3005944
20200128,2.065824
20200129,1.9462032
20200130,1.937682
20200131,1.75608
20200201,1.5003792
20200202,1.5679008
20200203,1.1959164
20200204,0.8358552
20200205,0.782298
20200206,0.8304444
20200207,0.9259596
20200208,0.8582436
20200209,0.7629552
20200210,0.8033256
20200211,0.6966972
20200212,0.713772
20200213,0.7138368
20200214,0.720414
20200215,0.6943968
20200216,0.6832512
20200217,0.7277364
20200218,0.9100512
20200219,1.0511532
20200220,1.111806
20200221,1.2327876
20200222,1.6257672
20200223,1.6604028
20200224,1.8269064
20200225,2.2053708
20200226,2.1739428
20200227,2.1664908
20200228,2.2940496
20200229,2.2900644
20200301,2.1381732
20200302,2.4554988
20200303,2.1960072
20200304,2.0140812
20200305,2.1113136
20200306,2.2444452
20200307,2.1523968
20200308,1.936872
20200309,2.1756276
20200310,2.3009832
20200311,2.0746368
20200312,2.2139244
20200313,2.1221352
20200314,2.1640284
20200315,2.1492216
20200316,2.1804228
20200317,2.1598164
20200318,2.1780576
20200319,2.1031488
20200320,2.0987424
20200321,2.20806
20200322,2.1922812
20200323,2.2096152
20200324,2.34171
