Date,Value
20190112,2.4833952
20190113,2.3247972
20190114,2.3570352
20190115,2.3266116
20190116,2.3554476
20190117,2.4138972
20190118,2.4932124
20190119,2.664738
20190120,2.6406648
20190121,2.6931852
20190122,2.95407
20190123,3.1053132
20190124,3.2701644
20190125,3.5949744
20190126,3.9430476
20190127,3.9355308
20190128,4.0805208
20190129,4.1108472
20190130,4.187862
20190131,4.4045856
20190201,4.4727876
20190202,4.3086492
20190203,4.2082092
20190204,3.7895364
20190205,3.5846388
20190206,6.2710524
20190207,7.2720828
20190208,7.408746
20190209,7.903494
20190210,8.2520532
20190211,7.3376928
20190212,6.6775104
20190213,7.125246
20190214,7.1036676
20190215,7.2758412
20190216,7.2126288
20190217,6.8718132
20190218,5.8337496
20190219,4.7930616
20190220,5.3443152
20190221,7.6012344
20190222,7.5408732
20190223,7.675074
20190224,8.3558628
20190225,5.6240244
20190226,5.0259204
20190227,6.6777048
20190228,5.7685932
20190301,4.8217032
20190302,4.7638692
20190303,4.3597764
20190304,3.5935164
20190305,4.0877136
20190306,3.5091468
20190307,3.1974912
20190308,3.3340248
20190309,3.4068276
20190310,3.1143852
20190311,3.0484836
20190312,3.0012768
20190313,3.0949452
20190314,2.7316764
20190315,3.1335984
20190316,3.2113584
20190317,2.878578
20190318,2.8917648
20190319,2.7545508
20190320,2.7189108
20190321,2.6657424
20190322,2.7242568
20190323,2.8938708
20190324,2.5222104
20190325,2.7140508
20190326,2.5403544
20190327,2.5621596
20190328,2.526066
20190329,2.6552124
20190330,2.8103112
20190331,3.1686228
20190401,2.599128
20190402,2.72889
20190403,2.9891268
20190404,3.667842
20190405,5.4280368
20190406,3.9088656
20190407,4.5316584
20190408,4.082724
20190409,3.3437772
20190410,3.2120388
20190411,3.1782456
20190412,3.1909788
20200101,1.98936
20200102,1.9859256
20200103,2.8377864
20200104,3.193506
20200105,2.933172
20200106,2.9162268
20200107,3.124494
20200108,3.4003152
20200109,3.8090412
20200110,3.3034716
20200111,3.3840828
20200112,3.3043464
20200113,3.3144876
20200114,3.4534512
20200115,3.616326
20200116,3.8464308
20200117,4.0428396
20200118,4.2004332
20200119,4.2083712
20200120,4.4406468
20200121,5.2501608
20200122,4.814964
20200123,4.6518948
20200124,4.1707872
20200125,2.3343228
20200126,2.6210952
20200127,2.8026648
20200128,2.6469828
20200129,2.4689772
20200130,2.335068
20200131,2.0169972
20200201,1.4683032
20200202,1.6374312
20200203,1.244808
20200204,0.9153648
20200205,0.811296
20200206,0.7908192
20200207,0.8428212
20200208,0.9116064
20200209,0.9384984
20200210,0.9848628
20200211,0.8173872
20200212,0.8775864
20200213,0.9314352
20200214,0.9693108
20200215,0.9753696
20200216,1.11456
20200217,1.2202488
20200218,1.6939044
20200219,2.2075416
20200220,2.3949756
20200221,2.1951324
20200222,3.1204116
20200223,3.4999128
20200224,3.3117984
20200225,3.8280276
20200226,4.129056
20200227,4.3134768
20200228,4.4620632
20200229,4.7463408
20200301,4.0814604
20200302,4.9972464
20200303,4.8965796
20200304,4.3400448
20200305,4.3712136
20200306,4.6568844
20200307,4.5382032
20200308,3.6783072
20200309,3.9010896
20200310,4.3823592
20200311,3.6841068
20200312,4.0572252
20200313,3.9574008
20200314,3.7457316
20200315,3.352104
20200316,3.3877116
20200317,3.18735
20200318,3.42549
20200319,3.3338304
20200320,3.1847256
20200321,3.00915
20200322,3.2252904
20200323,2.934306
20200324,2.7209844
