Date,Value
20190112,11.229192
20190113,8.3296512
20190114,8.2282392
20190115,7.9588656
20190116,8.111016
20190117,8.2386396
20190118,9.1025208
20190119,11.17638
20190120,9.0234
20190121,8.6487912
20190122,8.9287596
20190123,9.4338756
20190124,9.6114924
20190125,10.7567352
20190126,13.8561516
20190127,11.898738
20190128,11.3239296
20190129,11.4039576
20190130,12.08034
20190131,12.9096828
20190201,14.9800752
20190202,15.4587852
20190203,14.2087608
20190204,11.8287864
20190205,6.6135852
20190206,10.32588
20190207,9.85041
20190208,9.9189684
20190209,9.5763384
20190210,11.3086692
20190211,10.4218812
20190212,9.1324584
20190213,9.0284868
20190214,8.018838
20190215,8.1823608
20190216,11.2812588
20190217,9.7824672
20190218,9.6056928
20190219,8.6567292
20190220,8.3302992
20190221,9.6682248
20190222,9.9225
20190223,12.304386
20190224,11.48823
20190225,8.6214456
20190226,8.346888
20190227,9.7893684
20190228,11.6821116
20190301,9.9973764
20190302,12.7628136
20190303,9.6245496
20190304,9.1078668
20190305,8.7126516
20190306,8.6068008
20190307,8.372484
20190308,9.6753204
20190309,12.3230484
20190310,9.165798
20190311,8.7312168
20190312,8.4326832
20190313,8.4964464
20190314,8.315136
20190315,9.5130288
20190316,12.5890524
20190317,9.3266316
20190318,9.095976
20190319,8.6300316
20190320,8.727264
20190321,8.3618568
20190322,9.5596524
20190323,12.4948008
20190324,9.5855724
20190325,9.242586
20190326,8.7267456
20190327,8.6917536
20190328,8.5739796
20190329,9.580518
20190330,12.496356
20190331,13.2702624
20190401,9.5091408
20190402,9.9922248
20190403,11.0857572
20190404,14.6326176
20190405,27.3729132
20190406,15.02226
20190407,13.2521508
20190408,12.0977712
20190409,10.007712
20190410,9.9998064
20190411,10.2989232
20190412,11.155644
20200101,7.1138088
20200102,6.4742652
20200103,13.547088
20200104,13.4632692
20200105,10.2613716
20200106,9.3766572
20200107,10.6234416
20200108,11.7528084
20200109,13.0880124
20200110,12.0137904
20200111,14.5050588
20200112,11.65509
20200113,10.2187656
20200114,10.3919436
20200115,10.9822392
20200116,11.0797632
20200117,11.8211724
20200118,13.868982
20200119,13.3080084
20200120,14.4441144
20200121,17.3685708
20200122,17.404956
20200123,17.591256
20200124,13.7143368
20200125,6.5974824
20200126,5.5686204
20200127,4.6316772
20200128,3.7338732
20200129,3.0615408
20200130,3.0906036
20200131,2.729538
20200201,2.2675788
20200202,2.418174
20200203,2.1420936
20200204,1.7548164
20200205,1.63539
20200206,1.5106824
20200207,1.5764868
20200208,1.6328304
20200209,1.6147188
20200210,1.6811388
20200211,1.5491412
20200212,1.4977224
20200213,1.6337052
20200214,1.5167088
20200215,1.382022
20200216,1.3906728
20200217,1.7006436
20200218,1.81845
20200219,1.8885636
20200220,2.1067776
20200221,2.2053384
20200222,2.383668
20200223,2.3199048
20200224,2.446038
20200225,2.6480196
20200226,2.7662148
20200227,2.7794988
20200228,2.835324
20200229,3.2520528
20200301,2.920698
20200302,3.2570748
20200303,3.2219208
20200304,3.1612356
20200305,3.2819256
20200306,3.5329608
20200307,3.8571876
20200308,3.5776728
20200309,3.5395056
20200310,3.7816308
20200311,3.8651904
20200312,3.9899304
20200313,4.1174568
20200314,4.5865116
20200315,4.2042564
20200316,4.3881912
20200317,4.4139492
20200318,4.5405036
20200319,4.4709408
20200320,4.7903076
20200321,5.2431624
20200322,4.7466648
20200323,4.9747284
20200324,4.919292
