Date,Value
20190112,1.9052496
20190113,1.7213148
20190114,1.885842
20190115,1.8482256
20190116,1.9651896
20190117,1.9909476
20190118,2.0175156
20190119,2.1284208
20190120,2.0683188
20190121,2.2204044
20190122,2.277396
20190123,2.4054084
20190124,2.5628724
20190125,2.7089316
20190126,2.9370276
20190127,3.0098304
20190128,3.053052
20190129,3.1224852
20190130,3.1379724
20190131,3.2837724
20190201,3.4951176
20190202,3.506004
20190203,3.1896504
20190204,2.637036
20190205,1.6339968
20190206,2.2752576
20190207,2.6837244
20190208,2.5752816
20190209,2.5070796
20190210,2.8212624
20190211,2.6615304
20190212,2.2820616
20190213,2.203686
20190214,2.1071664
20190215,1.890864
20190216,1.860246
20190217,1.7765244
20190218,1.7616852
20190219,1.5399396
20190220,1.5780096
20190221,1.9247868
20190222,1.8301464
20190223,1.8879156
20190224,2.1140028
20190225,1.706184
20190226,1.7361216
20190227,1.9618848
20190228,2.2933368
20190301,1.7801208
20190302,1.7778204
20190303,1.677672
20190304,1.6544088
20190305,1.5409764
20190306,1.4579676
20190307,1.4304924
20190308,1.4027256
20190309,1.4410872
20190310,1.4389164
20190311,1.5632028
20190312,1.4599116
20190313,1.3762872
20190314,1.3777128
20190315,1.4403744
20190316,1.4577408
20190317,1.421064
20190318,1.5256512
20190319,1.4352552
20190320,1.42965
20190321,1.2715056
20190322,1.3548708
20190323,1.4177916
20190324,1.3608
20190325,1.4812956
20190326,1.3895712
20190327,1.3929408
20190328,1.373436
20190329,1.4039892
20190330,1.412154
20190331,1.823796
20190401,1.5248736
20190402,1.6037028
20190403,1.6851564
20190404,1.798524
20190405,2.140992
20190406,1.7543628
20190407,1.974456
20190408,2.0249352
20190409,1.7474292
20190410,1.6651332
20190411,1.638954
20190412,1.6430688
20200101,1.366146
20200102,1.8938448
20200103,2.3928372
20200104,2.6530416
20200105,2.512782
20200106,2.5791048
20200107,2.749302
20200108,3.0808836
20200109,3.4465176
20200110,2.7061452
20200111,2.7125928
20200112,2.7421092
20200113,2.6784756
20200114,2.6744904
20200115,2.8646784
20200116,3.0825684
20200117,3.2713308
20200118,3.4301556
20200119,3.484134
20200120,3.7176408
20200121,4.4042292
20200122,4.047894
20200123,3.761802
20200124,3.0531168
20200125,1.644138
20200126,1.5992964
20200127,1.6546032
20200128,1.4734548
20200129,1.2144816
20200130,1.1478024
20200131,0.985284
20200201,0.7737444
20200202,0.7864128
20200203,0.605232
20200204,0.4444632
20200205,0.3618756
20200206,0.3119796
20200207,0.2799036
20200208,0.2553768
20200209,0.2620512
20200210,0.2820744
20200211,0.2419308
20200212,0.2092392
20200213,0.2367468
20200214,0.2128356
20200215,0.2063232
20200216,0.2043792
20200217,0.2252448
20200218,0.2433564
20200219,0.2235924
20200220,0.225018
20200221,0.209304
20200222,0.197964
20200223,0.1997784
20200224,0.2092068
20200225,0.2299104
20200226,0.2474712
20200227,0.2905632
20200228,0.2827872
20200229,0.275076
20200301,0.3062124
20200302,0.3166452
20200303,0.323352
20200304,0.2885544
20200305,0.335988
20200306,0.3494016
20200307,0.3425652
20200308,0.3320676
20200309,0.351378
20200310,0.3963492
20200311,0.4304016
20200312,0.474984
20200313,0.5074812
20200314,0.5439312
20200315,0.6241212
20200316,0.6506892
20200317,0.651564
20200318,0.6362712
20200319,0.6155676
20200320,0.6048432
20200321,0.6487128
20200322,0.6721056
20200323,0.7113744
20200324,0.6956928
