Date,Value
20190112,5.1347844
20190113,4.7669796
20190114,5.3629128
20190115,5.124708
20190116,4.9996116
20190117,5.168934
20190118,5.3543916
20190119,5.5113048
20190120,5.204412
20190121,5.3850096
20190122,5.5287684
20190123,5.6908008
20190124,6.0210216
20190125,6.1845444
20190126,6.5057904
20190127,6.3510804
20190128,6.5008332
20190129,6.5283084
20190130,6.4959084
20190131,6.2678772
20190201,6.8021208
20190202,6.5258784
20190203,6.1488072
20190204,5.849334
20190205,6.1128432
20190206,8.6386176
20190207,10.9974348
20190208,12.6687564
20190209,14.7281652
20190210,21.2576076
20190211,25.622244
20190212,21.6941652
20190213,23.675976
20190214,18.5995116
20190215,15.8172588
20190216,18.0125208
20190217,18.0786492
20190218,13.6230336
20190219,9.7426152
20190220,9.9173808
20190221,17.7487524
20190222,16.1067852
20190223,17.71551
20190224,18.0933264
20190225,12.9545244
20190226,11.774322
20190227,12.7855908
20190228,11.5933032
20190301,9.3062844
20190302,8.774568
20190303,8.2752192
20190304,7.9603884
20190305,8.102754
20190306,7.6548888
20190307,7.1230752
20190308,6.8864256
20190309,7.8278076
20190310,7.0975764
20190311,7.201224
20190312,6.7582188
20190313,7.005366
20190314,6.338412
20190315,6.8916744
20190316,7.6289688
20190317,6.7151268
20190318,7.0604136
20190319,6.78213
20190320,6.5142792
20190321,6.240078
20190322,6.4447164
20190323,7.5215628
20190324,6.260652
20190325,6.916428
20190326,6.7249116
20190327,6.585948
20190328,6.3727236
20190329,6.4388844
20190330,6.7630788
20190331,7.5920328
20190401,6.6013056
20190402,6.8634864
20190403,6.9369372
20190404,7.8461136
20190405,11.7828432
20190406,10.2883284
20190407,11.23551
20190408,11.5984224
20190409,8.5893696
20190410,7.9320708
20190411,8.0011152
20190412,7.6868352
20200101,4.2543468
20200102,4.9095072
20200103,6.7526136
20200104,7.58322
20200105,6.3165096
20200106,6.1507512
20200107,6.1332228
20200108,7.3855476
20200109,8.1834624
20200110,7.3767672
20200111,7.0880184
20200112,6.5997828
20200113,6.4677204
20200114,6.2987868
20200115,6.4390788
20200116,5.8242564
20200117,6.2605224
20200118,6.26211
20200119,6.72867
20200120,6.7852728
20200121,7.9042068
20200122,6.865884
20200123,6.3479052
20200124,5.6046816
20200125,3.5240508
20200126,4.8154824
20200127,6.4868364
20200128,5.9558976
20200129,5.2742016
20200130,5.0800608
20200131,4.7593656
20200201,3.325374
20200202,4.0041864
20200203,3.1617864
20200204,2.069226
20200205,1.903986
20200206,1.9706328
20200207,2.144718
20200208,2.9678724
20200209,2.7753516
20200210,2.596536
20200211,1.8258696
20200212,1.8356544
20200213,2.1289068
20200214,2.2378032
20200215,1.9256616
20200216,2.0093184
20200217,2.2990392
20200218,3.075084
20200219,3.580038
20200220,4.3306164
20200221,4.4330976
20200222,5.6879496
20200223,6.815502
20200224,6.0906492
20200225,7.5620304
20200226,7.7092884
20200227,6.8643612
20200228,6.1224336
20200229,8.5140396
20200301,6.787638
20200302,8.073432
20200303,8.279172
20200304,7.7838408
20200305,7.444872
20200306,7.7350464
20200307,7.3029924
20200308,6.5810556
20200309,6.615918
20200310,7.7266224
20200311,6.4883592
20200312,7.075836
20200313,7.0603164
20200314,6.6263832
20200315,6.4387224
20200316,6.7109148
20200317,6.4377504
20200318,6.1729776
20200319,6.237486
20200320,6.730938
20200321,6.1123572
20200322,6.5343024
20200323,6.7813524
20200324,5.9607252
