Date,Value
20190112,0.8630712
20190113,0.735318
20190114,0.7743924
20190115,0.6710688
20190116,0.684936
20190117,0.6176412
20190118,0.6628068
20190119,0.8352072
20190120,0.7511616
20190121,0.7713144
20190122,0.6972156
20190123,0.6883704
20190124,0.7067412
20190125,0.7786368
20190126,0.9819792
20190127,0.892296
20190128,0.9108936
20190129,0.8143416
20190130,0.8430804
20190131,0.8952444
20190201,1.0480428
20190202,1.3311864
20190203,1.2595824
20190204,0.9307224
20190205,0.8393868
20190206,0.9191556
20190207,1.0432152
20190208,1.0828404
20190209,1.1104776
20190210,1.081998
20190211,1.0878948
20190212,1.0142172
20190213,0.9752724
20190214,0.9305928
20190215,0.9001368
20190216,1.028052
20190217,0.9136152
20190218,0.8881812
20190219,0.7219044
20190220,0.65043
20190221,0.5928876
20190222,0.6058476
20190223,0.804006
20190224,0.7582896
20190225,0.6967296
20190226,0.602802
20190227,0.6047784
20190228,0.8254224
20190301,0.645894
20190302,0.8320644
20190303,0.7386228
20190304,0.7222608
20190305,0.630018
20190306,0.5512536
20190307,0.5466528
20190308,0.6105456
20190309,0.7825572
20190310,0.7192476
20190311,0.7235892
20190312,0.6084396
20190313,0.652212
20190314,0.5606172
20190315,0.6571044
20190316,0.8690004
20190317,0.733374
20190318,0.7296804
20190319,0.6454728
20190320,0.6038064
20190321,0.5981688
20190322,0.6629364
20190323,0.8558136
20190324,0.7119576
20190325,0.7648668
20190326,0.6564564
20190327,0.612846
20190328,0.63261
20190329,0.6734988
20190330,0.8765496
20190331,1.0759392
20190401,0.7682688
20190402,0.6582384
20190403,0.6910272
20190404,0.8354664
20190405,1.2416976
20190406,0.8347536
20190407,0.8935272
20190408,0.9740412
20190409,0.7306524
20190410,0.7152624
20190411,0.6990624
20190412,0.7612704
20200101,0.3020328
20200102,0.2792232
20200103,0.5814828
20200104,0.5943456
20200105,0.4972104
20200106,0.53703
20200107,0.5643108
20200108,0.5959656
20200109,0.6926472
20200110,0.6048756
20200111,0.723006
20200112,0.5808348
20200113,0.4690872
20200114,0.4313412
20200115,0.4234032
20200116,0.4712904
20200117,0.5489208
20200118,0.6442092
20200119,0.5539428
20200120,0.4478976
20200121,0.554526
20200122,0.72171
20200123,0.7985952
20200124,0.7209
20200125,0.4721004
20200126,0.318978
20200127,0.2832084
20200128,0.2549232
20200129,0.2409588
20200130,0.2227824
20200131,0.1830924
20200201,0.1614168
20200202,0.1449252
20200203,0.1353024
20200204,0.1317384
20200205,0.0922752
20200206,0.099144
20200207,0.0917892
20200208,0.0714744
20200209,0.0603612
20200210,0.067716
20200211,0.0502524
20200212,0.044388
20200213,0.0438696
20200214,0.0462024
20200215,0.0408564
20200216,0.0385884
20200217,0.044712
20200218,0.0415044
20200219,0.03645
20200220,0.0368388
20200221,0.0433512
20200222,0.0391716
20200223,0.036936
20200224,0.050058
20200225,0.0423792
20200226,0.04617
20200227,0.0446796
20200228,0.0484056
20200229,0.0470772
20200301,0.0437076
20200302,0.0516132
20200303,0.0512568
20200304,0.046332
20200305,0.0445176
20200306,0.0422496
20200307,0.0428652
20200308,0.0398196
20200309,0.0503172
20200310,0.0456516
20200311,0.0422172
20200312,0.0436428
20200313,0.0470124
20200314,0.0437076
20200315,0.0429948
20200316,0.0494424
20200317,0.047952
20200318,0.0452952
20200319,0.0435456
20200320,0.0444528
20200321,0.0441936
20200322,0.037908
20200323,0.0463968
20200324,0.0470448
