Date,Value
20190112,3.3752376
20190113,3.1560516
20190114,3.3154596
20190115,3.240648
20190116,3.4417872
20190117,3.4942104
20190118,3.6059904
20190119,3.8576736
20190120,3.6143172
20190121,3.6954144
20190122,3.7595016
20190123,3.8927304
20190124,4.0805856
20190125,4.5232668
20190126,5.044842
20190127,4.9247676
20190128,5.1626808
20190129,5.2004916
20190130,5.5241352
20190131,5.6380212
20190201,5.9761152
20190202,6.029802
20190203,5.6279448
20190204,4.9302432
20190205,4.104756
20190206,6.3891828
20190207,7.7685156
20190208,8.6161968
20190209,10.5376464
20190210,13.0355244
20190211,13.8138696
20190212,14.0652936
20190213,15.0440652
20190214,12.9323952
20190215,12.7147644
20190216,10.8904176
20190217,10.625742
20190218,8.6878656
20190219,6.7768812
20190220,7.0219872
20190221,10.7887788
20190222,8.8473708
20190223,9.51588
20190224,8.2319328
20190225,6.5262348
20190226,5.9987952
20190227,6.627258
20190228,6.3377964
20190301,5.0214492
20190302,4.770738
20190303,4.4701632
20190304,4.377078
20190305,4.512024
20190306,4.0051584
20190307,4.0000392
20190308,4.161132
20190309,4.4125884
20190310,3.906144
20190311,4.1590908
20190312,3.8684628
20190313,3.876498
20190314,3.5726832
20190315,3.9811176
20190316,4.2710328
20190317,3.9187476
20190318,4.1547816
20190319,3.8882268
20190320,3.7775808
20190321,3.6261432
20190322,3.7282032
20190323,4.1355036
20190324,3.7928736
20190325,4.3652196
20190326,3.8308464
20190327,3.7403532
20190328,3.6222552
20190329,3.8814228
20190330,4.266918
20190331,5.084208
20190401,4.4042616
20190402,4.0705092
20190403,4.1103288
20190404,5.1811812
20190405,8.1075168
20190406,6.2216424
20190407,8.066952
20190408,8.1755568
20190409,6.0753888
20190410,5.2857036
20190411,4.9115484
20190412,4.8838788
20200101,2.5612848
20200102,3.1265352
20200103,4.2562584
20200104,4.882032
20200105,4.5833364
20200106,4.6744452
20200107,5.1074388
20200108,5.7700512
20200109,6.3150192
20200110,5.3001216
20200111,5.1632964
20200112,4.6888308
20200113,4.6854936
20200114,4.604364
20200115,4.8552372
20200116,4.851414
20200117,5.1035184
20200118,5.4207144
20200119,5.4872964
20200120,6.0325236
20200121,7.2117216
20200122,6.7953492
20200123,6.2147412
20200124,4.5898812
20200125,4.387122
20200126,5.1971868
20200127,1.9801584
20200128,0.8701344
20200129,0.5431212
20200130,0.4048056
20200131,0.3676752
20200201,0.3306744
20200202,0.481464
20200203,0.3367332
20200204,0.317682
20200205,0.30537
20200206,0.310554
20200207,0.3036528
20200208,0.31266
20200209,0.3216996
20200210,0.3314844
20200211,0.3215376
20200212,0.3378024
20200213,0.3909384
20200214,0.489726
20200215,0.4137156
20200216,0.3608712
20200217,0.361422
20200218,0.3782376
20200219,0.4023108
20200220,0.4247316
20200221,0.4720032
20200222,0.5800248
20200223,0.7243668
20200224,0.8178732
20200225,0.9387252
20200226,0.9038952
20200227,0.4547016
20200228,0.32076
20200229,0.2952288
20200301,0.2945484
20200302,0.2897208
20200303,0.273132
20200304,0.2752704
20200305,0.2853792
20200306,0.30051
20200307,0.3290544
20200308,0.3391308
20200309,0.336636
20200310,0.3452868
20200311,0.350568
20200312,0.3396816
20200313,0.4187052
20200314,0.7268616
20200315,1.2581568
20200316,2.2149936
20200317,3.3902064
20200318,4.2773832
20200319,4.75875
20200320,4.9224672
20200321,4.9408056
20200322,5.285898
20200323,5.215428
20200324,5.4394092
