Date,Value
20190112,3.3573528
20190113,3.139722
20190114,3.2768712
20190115,3.2707152
20190116,3.3700212
20190117,3.4189128
20190118,3.5567748
20190119,3.7244448
20190120,3.5147844
20190121,3.6120492
20190122,3.6925632
20190123,3.80538
20190124,3.99978
20190125,4.3229376
20190126,4.61052
20190127,4.4970876
20190128,4.7402496
20190129,4.7614716
20190130,5.1845832
20190131,5.2783164
20190201,5.3633664
20190202,5.2217784
20190203,4.74741
20190204,3.9597012
20190205,3.3871932
20190206,6.4441656
20190207,8.6608116
20190208,10.0837224
20190209,13.53672
20190210,18.6330456
20190211,20.0720268
20190212,18.4195944
20190213,21.0707244
20190214,18.676008
20190215,17.0075376
20190216,14.2769304
20190217,13.6542996
20190218,10.3630428
20190219,7.7214384
20190220,8.83224
20190221,13.642992
20190222,10.0139004
20190223,11.2768848
20190224,9.4366296
20190225,6.9181128
20190226,6.3297612
20190227,7.1536608
20190228,6.6063276
20190301,5.3590248
20190302,5.327694
20190303,4.9958208
20190304,4.7087568
20190305,4.7331216
20190306,4.099248
20190307,4.0314348
20190308,4.3716024
20190309,4.6157688
20190310,3.9339108
20190311,4.2606
20190312,4.0575492
20190313,4.0134852
20190314,3.6376128
20190315,4.1403636
20190316,4.3571844
20190317,3.8387196
20190318,4.135212
20190319,3.992976
20190320,3.7561644
20190321,3.5968212
20190322,3.7792332
20190323,4.2032844
20190324,3.59154
20190325,4.0715136
20190326,3.7685736
20190327,3.72195
20190328,3.5758908
20190329,3.7725264
20190330,4.0347396
20190331,4.7777364
20190401,4.4257752
20190402,4.348566
20190403,4.2326712
20190404,5.0042448
20190405,7.2408492
20190406,9.0673992
20190407,13.0240872
20190408,12.0240936
20190409,7.6823316
20190410,6.2994348
20190411,5.6347164
20190412,5.2711884
20200101,2.6522964
20200102,2.9948292
20200103,4.033476
20200104,4.706586
20200105,4.6366344
20200106,4.616514
20200107,4.9542192
20200108,5.3286336
20200109,5.7146472
20200110,4.9420044
20200111,4.9123584
20200112,4.5170784
20200113,4.71663
20200114,4.5982404
20200115,4.637412
20200116,4.6116864
20200117,4.8414996
20200118,5.0032728
20200119,5.190642
20200120,5.456808
20200121,6.4628928
20200122,5.8622616
20200123,5.2720956
20200124,4.05648
20200125,2.2664448
20200126,3.1819392
20200127,5.6583684
20200128,6.0638868
20200129,6.2552088
20200130,5.8575636
20200131,5.1165756
20200201,3.60855
20200202,4.4688024
20200203,3.2817636
20200204,2.1229776
20200205,2.3573592
20200206,3.4775892
20200207,4.3288668
20200208,5.703696
20200209,7.1736516
20200210,5.1929424
20200211,2.8298808
20200212,2.7213732
20200213,2.5014096
20200214,2.4316524
20200215,2.31822
20200216,2.5647516
20200217,2.5270704
20200218,3.1744224
20200219,3.9182616
20200220,4.174578
20200221,4.3640856
20200222,5.8872096
20200223,5.6920644
20200224,5.8876308
20200225,7.04862
20200226,6.1064604
20200227,5.92191
20200228,5.8025808
20200229,6.880788
20200301,5.573124
20200302,7.10208
20200303,5.3464212
20200304,5.0489568
20200305,4.7810412
20200306,5.2849908
20200307,4.4242848
20200308,3.875526
20200309,4.6898028
20200310,4.7497752
20200311,3.9389652
20200312,4.4523108
20200313,3.7810476
20200314,3.8065464
20200315,3.7418112
20200316,4.0272228
20200317,3.4918776
20200318,3.604824
20200319,3.59073
20200320,3.392442
20200321,3.3258276
20200322,3.4818984
20200323,3.2676372
20200324,3.0027348
