Date,Value
20190112,2.7832248
20190113,2.5922916
20190114,2.7378648
20190115,2.6727408
20190116,2.7242568
20190117,2.7268164
20190118,2.8245348
20190119,2.8425492
20190120,2.7127224
20190121,2.8944216
20190122,2.9275668
20190123,3.0050028
20190124,3.0535704
20190125,3.1563756
20190126,3.3061608
20190127,3.2128812
20190128,3.0928068
20190129,3.0972132
20190130,3.0683772
20190131,3.0399624
20190201,3.1640544
20190202,3.0778704
20190203,2.7344952
20190204,2.4489216
20190205,1.7949276
20190206,3.4413012
20190207,4.2114168
20190208,4.2566796
20190209,4.1107176
20190210,5.6006316
20190211,5.1476472
20190212,4.3546248
20190213,4.1759388
20190214,3.5455644
20190215,2.9620728
20190216,3.3239808
20190217,3.3230088
20190218,3.2127516
20190219,2.6136432
20190220,2.9078352
20190221,3.3808752
20190222,3.245832
20190223,3.2493312
20190224,3.7142712
20190225,2.8134216
20190226,2.7729864
20190227,3.1899744
20190228,3.5587188
20190301,2.946618
20190302,3.0101544
20190303,2.779758
20190304,2.8461456
20190305,2.6892972
20190306,2.55393
20190307,2.5545456
20190308,2.7010584
20190309,2.6755272
20190310,2.565432
20190311,2.6941896
20190312,2.5907688
20190313,2.572236
20190314,2.5810164
20190315,2.63979
20190316,2.7903204
20190317,2.5622568
20190318,2.7276264
20190319,2.6248212
20190320,2.541618
20190321,2.3316012
20190322,2.5521156
20190323,2.6896536
20190324,2.5019604
20190325,2.6512272
20190326,2.5645248
20190327,2.5303752
20190328,2.5086348
20190329,2.567862
20190330,2.6002944
20190331,2.9722464
20190401,2.6751708
20190402,2.7967032
20190403,2.9005776
20190404,3.2778108
20190405,4.4246736
20190406,3.6743544
20190407,3.6620748
20190408,3.5804916
20190409,3.1297752
20190410,3.0539268
20190411,2.9807028
20190412,3.0759264
20200101,2.05497
20200102,1.9938312
20200103,2.9886732
20200104,3.6558216
20200105,2.9759724
20200106,2.8256364
20200107,3.1103352
20200108,3.3889104
20200109,3.581172
20200110,3.215862
20200111,3.3100812
20200112,3.1997916
20200113,3.1584492
20200114,3.1457808
20200115,3.225258
20200116,3.09825
20200117,2.9996244
20200118,3.1126032
20200119,3.1465584
20200120,3.2808888
20200121,3.7139148
20200122,3.3521688
20200123,2.9610036
20200124,2.4460056
20200125,1.5184584
20200126,1.9614636
20200127,2.0521512
20200128,1.8139464
20200129,1.4939964
20200130,1.541754
20200131,1.3051692
20200201,1.1128104
20200202,1.1863908
20200203,0.9243072
20200204,0.6801084
20200205,0.63828
20200206,0.613332
20200207,0.6048756
20200208,0.6316056
20200209,0.7174008
20200210,0.7206732
20200211,0.6091524
20200212,0.590166
20200213,0.6144012
20200214,0.5898096
20200215,0.4636116
20200216,0.494424
20200217,0.583038
20200218,0.6526332
20200219,0.7138044
20200220,0.7639596
20200221,0.7925364
20200222,0.8313192
20200223,0.8976744
20200224,0.95904
20200225,1.0758096
20200226,1.1514636
20200227,1.1837016
20200228,1.1827296
20200229,1.2097836
20200301,1.1669184
20200302,1.2863772
20200303,1.1600172
20200304,1.1146572
20200305,1.1887236
20200306,1.2531996
20200307,1.2552408
20200308,1.2632436
20200309,1.189404
20200310,1.2643452
20200311,1.2911724
20200312,1.3094784
20200313,1.3441464
20200314,1.4094972
20200315,1.4097564
20200316,1.4742
20200317,1.4422536
20200318,1.4599116
20200319,1.4591664
20200320,1.5361488
20200321,1.6231752
20200322,1.6411248
20200323,1.7256888
20200324,1.6782228
