Date,Value
20190112,10.7199288
20190113,9.8576352
20190114,11.1707424
20190115,10.4076252
20190116,10.4908932
20190117,11.0229984
20190118,11.2899744
20190119,12.255624
20190120,12.0066624
20190121,13.4599968
20190122,13.5549936
20190123,14.8425372
20190124,15.1937532
20190125,16.867926
20190126,20.4976008
20190127,22.1859324
20190128,23.0308272
20190129,21.3633936
20190130,21.29733
20190131,20.4157584
20190201,22.1809104
20190202,21.531906
20190203,18.0647496
20190204,14.9078556
20190205,12.4822944
20190206,16.2347652
20190207,15.3649872
20190208,13.4232228
20190209,13.6447416
20190210,15.7212576
20190211,15.6379572
20190212,13.2836436
20190213,12.8896596
20190214,12.2900004
20190215,11.4105672
20190216,11.2434804
20190217,10.9147176
20190218,12.135582
20190219,9.4238316
20190220,10.555596
20190221,11.63646
20190222,10.6669224
20190223,11.2727376
20190224,12.0426912
20190225,11.2738392
20190226,9.9276192
20190227,11.330118
20190228,13.3154928
20190301,10.8470664
20190302,11.2033044
20190303,10.1696796
20190304,11.7880596
20190305,10.2765672
20190306,9.80343
20190307,10.2411216
20190308,10.7582256
20190309,11.5837128
20190310,10.5219
20190311,12.31767
20190312,10.42308
20190313,10.1890548
20190314,10.1534148
20190315,10.7834328
20190316,12.338244
20190317,11.06784
20190318,12.5715564
20190319,10.6259364
20190320,10.5140268
20190321,10.4920272
20190322,10.9166292
20190323,12.4377768
20190324,11.461986
20190325,13.0239252
20190326,11.1854844
20190327,10.7116992
20190328,10.6318008
20190329,11.2791528
20190330,13.0066236
20190331,15.0523596
20190401,13.3414452
20190402,12.5327088
20190403,12.854538
20190404,15.8453172
20190405,25.2897552
20190406,17.7655032
20190407,19.450206
20190408,20.248542
20190409,13.9978368
20190410,12.6239796
20190411,12.730122
20190412,13.3284852
20200101,8.3959092
20200102,9.3257892
20200103,13.5672408
20200104,15.0857964
20200105,15.4079172
20200106,14.906268
20200107,14.63346
20200108,15.9161436
20200109,17.9872488
20200110,15.2336376
20200111,16.1178984
20200112,15.6505608
20200113,16.5664764
20200114,17.1594612
20200115,18.8779896
20200116,19.6589592
20200117,20.7914688
20200118,23.549292
20200119,24.655752
20200120,25.2007848
20200121,28.7207856
20200122,24.3252072
20200123,21.846348
20200124,17.4803184
20200125,8.79255
20200126,7.2351468
20200127,6.20946
20200128,5.363982
20200129,4.4387352
20200130,3.9740868
20200131,3.4540992
20200201,2.9365092
20200202,3.2508864
20200203,2.9491452
20200204,2.0814408
20200205,2.0572704
20200206,2.003292
20200207,2.0244168
20200208,2.2673844
20200209,2.688066
20200210,2.4002244
20200211,1.7404632
20200212,1.5600276
20200213,1.6395372
20200214,1.684314
20200215,1.5157692
20200216,1.4638644
20200217,1.920996
20200218,2.0843244
20200219,2.2178448
20200220,2.4723144
20200221,2.7477144
20200222,2.9957688
20200223,3.184272
20200224,3.7257732
20200225,3.8154564
20200226,3.9784284
20200227,4.0016916
20200228,4.0634784
20200229,4.2514632
20200301,4.3951248
20200302,5.1566544
20200303,4.8724092
20200304,4.7228508
20200305,4.8667716
20200306,5.0167512
20200307,5.1745392
20200308,4.9211064
20200309,5.9310792
20200310,5.3457084
20200311,5.57361
20200312,5.80689
20200313,5.7968784
20200314,6.0231276
20200315,5.9202576
20200316,7.3184148
20200317,6.5099052
20200318,6.4017216
20200319,6.621426
20200320,6.7103964
20200321,7.3487088
20200322,6.8034168
20200323,8.3201904
20200324,7.3086624
