Date,Value
20190112,1.9900728
20190113,1.8149832
20190114,1.8254808
20190115,1.6601436
20190116,1.7197272
20190117,1.6703496
20190118,1.765152
20190119,1.807272
20190120,1.6226568
20190121,1.6413192
20190122,1.624374
20190123,1.6292664
20190124,1.6813008
20190125,1.7577972
20190126,1.881468
20190127,1.797228
20190128,1.7037864
20190129,1.6994124
20190130,1.718334
20190131,1.7731872
20190201,1.8856476
20190202,1.9601676
20190203,1.9170108
20190204,1.6673688
20190205,1.2172032
20190206,2.2356648
20190207,2.8088532
20190208,3.025836
20190209,3.4257492
20190210,4.3559856
20190211,4.2386004
20190212,3.3418656
20190213,3.2552928
20190214,3.0616056
20190215,2.695518
20190216,2.5295652
20190217,2.4442884
20190218,2.3165352
20190219,1.9394964
20190220,2.089638
20190221,2.730996
20190222,2.574018
20190223,2.4902964
20190224,2.6849232
20190225,2.0702304
20190226,2.0449584
20190227,2.3534064
20190228,2.5815996
20190301,2.048166
20190302,2.0333268
20190303,1.8350064
20190304,1.8217224
20190305,1.6942608
20190306,1.6322796
20190307,1.614492
20190308,1.617894
20190309,1.7124696
20190310,1.6531776
20190311,1.6957512
20190312,1.5951168
20190313,1.5368616
20190314,1.5438924
20190315,1.6724232
20190316,1.709262
20190317,1.57464
20190318,1.651266
20190319,1.5890256
20190320,1.6070724
20190321,1.3573008
20190322,1.5328764
20190323,1.6629948
20190324,1.5263964
20190325,1.6721964
20190326,1.563624
20190327,1.5316128
20190328,1.5457716
20190329,1.6215876
20190330,1.6409304
20190331,1.959876
20190401,1.5923628
20190402,1.6905996
20190403,1.7929836
20190404,2.0894436
20190405,3.0924828
20190406,2.2639176
20190407,2.4460056
20190408,2.3685048
20190409,2.0064024
20190410,1.91565
20190411,1.8669852
20190412,1.944648
20200101,1.189728
20200102,1.5943068
20200103,2.1547944
20200104,2.4695604
20200105,2.3532444
20200106,2.3403816
20200107,2.4096852
20200108,2.6454276
20200109,2.9560788
20200110,2.482326
20200111,2.5166376
20200112,2.3524344
20200113,2.1390804
20200114,1.8800424
20200115,1.8271008
20200116,1.7955108
20200117,1.7513172
20200118,1.8052632
20200119,1.764666
20200120,1.8119376
20200121,2.20806
20200122,2.1650652
20200123,2.1515544
20200124,1.7882208
20200125,1.108404
20200126,1.574478
20200127,1.8413568
20200128,1.796418
20200129,1.6166304
20200130,1.6285212
20200131,1.3396428
20200201,1.1001744
20200202,1.1210076
20200203,0.8881812
20200204,0.617382
20200205,0.558738
20200206,0.5462964
20200207,0.5603256
20200208,0.5525172
20200209,0.6203304
20200210,0.6244128
20200211,0.4974372
20200212,0.4640328
20200213,0.513378
20200214,0.4901472
20200215,0.4297212
20200216,0.405486
20200217,0.4387284
20200218,0.4863564
20200219,0.5472684
20200220,0.5898096
20200221,0.615924
20200222,0.5856624
20200223,0.6447276
20200224,0.6985764
20200225,0.7842096
20200226,0.8426268
20200227,0.8458344
20200228,0.7954524
20200229,0.7928604
20200301,0.829116
20200302,0.88209
20200303,0.841752
20200304,0.7541748
20200305,0.7625988
20200306,0.8106804
20200307,0.8112312
20200308,0.7703748
20200309,0.8060796
20200310,0.8035524
20200311,0.8283708
20200312,0.8460936
20200313,0.8510508
20200314,0.8932356
20200315,0.8988084
20200316,0.9357768
20200317,0.9446544
20200318,0.9287784
20200319,0.9024696
20200320,0.9019512
20200321,0.9542124
20200322,0.9410256
20200323,0.9947448
20200324,0.9768924
