Date,Value
20190112,2.6699868
20190113,2.343978
20190114,2.5699032
20190115,2.4296436
20190116,2.63007
20190117,2.6778924
20190118,3.0213972
20190119,2.911626
20190120,2.6368092
20190121,2.7602532
20190122,2.7491724
20190123,2.8738476
20190124,3.0019248
20190125,3.1862808
20190126,3.4342704
20190127,3.3777
20190128,3.2460264
20190129,3.2245452
20190130,3.4157376
20190131,3.56724
20190201,3.9032928
20190202,4.0321152
20190203,3.6794412
20190204,3.1413744
20190205,1.9028844
20190206,2.8118988
20190207,3.461616
20190208,3.880224
20190209,4.4013456
20190210,5.69997
20190211,5.5568592
20190212,4.181868
20190213,4.0761144
20190214,3.8561184
20190215,3.3124788
20190216,3.4111044
20190217,3.3176952
20190218,3.17196
20190219,2.718522
20190220,2.794338
20190221,3.7860048
20190222,3.44493
20190223,3.6092628
20190224,3.8902356
20190225,3.0965328
20190226,3.1042764
20190227,3.6102348
20190228,4.1751612
20190301,3.2478084
20190302,3.3034392
20190303,3.0560328
20190304,2.930256
20190305,2.7806328
20190306,2.5523748
20190307,2.579688
20190308,2.550528
20190309,2.7260064
20190310,2.5309584
20190311,2.64222
20190312,2.4869268
20190313,2.477142
20190314,2.4554664
20190315,2.6252748
20190316,2.7933336
20190317,2.4609744
20190318,2.6065152
20190319,2.5062048
20190320,2.5664364
20190321,2.358558
20190322,2.5260336
20190323,2.764692
20190324,2.4396876
20190325,2.6492832
20190326,2.518938
20190327,2.5522128
20190328,2.5700652
20190329,2.6937684
20190330,2.755782
20190331,3.2931684
20190401,2.6912088
20190402,2.8194156
20190403,3.0262896
20190404,3.5589456
20190405,5.1134328
20190406,3.6491148
20190407,3.5956224
20190408,3.6807372
20190409,3.08124
20190410,2.9675808
20190411,2.9632068
20190412,3.1059612
20200101,1.81278
20200102,2.2342392
20200103,3.0241512
20200104,3.3927336
20200105,3.3216804
20200106,3.2469336
20200107,3.339306
20200108,3.7614456
20200109,4.083534
20200110,3.4754184
20200111,3.535326
20200112,3.2401944
20200113,3.1503492
20200114,3.0800412
20200115,3.2162184
20200116,3.4069896
20200117,3.4408152
20200118,3.5546364
20200119,3.7115172
20200120,3.9194928
20200121,4.796658
20200122,4.5895248
20200123,4.2315372
20200124,3.5859672
20200125,1.9619172
20200126,2.3033484
20200127,2.7710424
20200128,2.6891676
20200129,2.290842
20200130,2.2933368
20200131,1.9110816
20200201,1.5366996
20200202,1.537218
20200203,1.163484
20200204,0.8279496
20200205,0.7412472
20200206,0.7088472
20200207,0.7075836
20200208,0.6926796
20200209,0.7606548
20200210,0.83511
20200211,0.6821496
20200212,0.6819228
20200213,0.6707124
20200214,0.651564
20200215,0.5138964
20200216,0.5274396
20200217,0.594702
20200218,0.7298424
20200219,0.8593452
20200220,0.8754156
20200221,0.8390952
20200222,0.771768
20200223,0.9441684
20200224,0.9840204
20200225,1.1622204
20200226,1.2379068
20200227,1.1730096
20200228,1.1257056
20200229,1.1039976
20200301,1.1520792
20200302,1.2547548
20200303,1.2459744
20200304,1.0640808
20200305,1.096902
20200306,1.1690892
20200307,1.1236644
20200308,1.0125
20200309,1.167696
20200310,1.1475108
20200311,1.1467656
20200312,1.1924496
20200313,1.2092652
20200314,1.2259188
20200315,1.2089412
20200316,1.315278
20200317,1.3017672
20200318,1.3376016
20200319,1.2740328
20200320,1.3576248
20200321,1.4032116
20200322,1.3803372
20200323,1.4673636
20200324,1.4432256
