Date,Value
20190112,2.9200824
20190113,2.5866864
20190114,2.844558
20190115,2.6890056
20190116,2.73375
20190117,2.7585684
20190118,2.772144
20190119,2.7957636
20190120,2.8659096
20190121,2.982906
20190122,2.8694088
20190123,2.9090988
20190124,3.0327048
20190125,3.2038092
20190126,3.3954228
20190127,3.3364548
20190128,3.302856
20190129,3.2721084
20190130,3.4040088
20190131,3.4442496
20190201,3.819798
20190202,3.9383496
20190203,3.6841392
20190204,3.1902012
20190205,2.1728736
20190206,3.5915724
20190207,4.056318
20190208,4.003344
20190209,4.1766192
20190210,5.229522
20190211,5.2537572
20190212,4.2816924
20190213,4.1986836
20190214,4.070574
20190215,3.418362
20190216,3.3838884
20190217,3.2801436
20190218,3.2562
20190219,2.7230256
20190220,2.8861272
20190221,3.7815012
20190222,3.4967052
20190223,3.4290864
20190224,3.809916
20190225,3.0411936
20190226,2.9479464
20190227,3.3319836
20190228,3.7042596
20190301,2.9157408
20190302,2.8978236
20190303,2.7557172
20190304,2.8505844
20190305,2.706858
20190306,2.5382484
20190307,2.5572672
20190308,2.5676352
20190309,2.6289684
20190310,2.5339392
20190311,2.819448
20190312,2.6267976
20190313,2.5864596
20190314,2.5339068
20190315,2.6788968
20190316,2.6745876
20190317,2.560086
20190318,2.8172124
20190319,2.653236
20190320,2.6565732
20190321,2.4961284
20190322,2.5705512
20190323,2.68515
20190324,2.4998544
20190325,2.820906
20190326,2.6675892
20190327,2.6030808
20190328,2.5660152
20190329,2.6133516
20190330,2.521368
20190331,3.0717144
20190401,2.803086
20190402,2.8686636
20190403,2.946294
20190404,3.3723864
20190405,4.3674876
20190406,3.3841152
20190407,4.1655384
20190408,4.40073
20190409,3.6402372
20190410,3.3903684
20190411,3.25863
20190412,3.2042304
20200101,1.8614448
20200102,2.624724
20200103,3.4830648
20200104,3.8146464
20200105,3.6462636
20200106,3.6374832
20200107,3.9585024
20200108,4.3938288
20200109,4.6417536
20200110,3.8947068
20200111,3.8672964
20200112,3.5893368
20200113,3.5049996
20200114,3.32181
20200115,3.3931548
20200116,3.5466012
20200117,3.6717624
20200118,3.7087632
20200119,3.7765764
20200120,3.9163824
20200121,4.6935288
20200122,4.42017
20200123,4.2761196
20200124,3.4746408
20200125,1.8460224
20200126,2.2997196
20200127,2.4317172
20200128,2.1409272
20200129,1.8734328
20200130,1.8500076
20200131,1.5970284
20200201,1.3631328
20200202,1.4141952
20200203,1.1515284
20200204,0.8308656
20200205,0.774846
20200206,0.7486992
20200207,0.7637652
20200208,0.7593912
20200209,0.90234
20200210,0.9224604
20200211,0.6698052
20200212,0.6270696
20200213,0.657072
20200214,0.6858756
20200215,0.4727484
20200216,0.4729104
20200217,0.6652368
20200218,0.7856028
20200219,0.7918884
20200220,0.8599284
20200221,0.854874
20200222,0.8188128
20200223,0.987876
20200224,1.0572768
20200225,1.1060388
20200226,1.1636784
20200227,1.1484828
20200228,1.140642
20200229,1.0864368
20200301,1.2202488
20200302,1.2054744
20200303,1.1056824
20200304,1.0215396
20200305,1.1788416
20200306,1.2193092
20200307,1.1839284
20200308,1.0839744
20200309,1.1088576
20200310,1.1316672
20200311,1.2736764
20200312,1.265868
20200313,1.281906
20200314,1.3057848
20200315,1.3427208
20200316,1.3908672
20200317,1.375866
20200318,1.3939452
20200319,1.3995828
20200320,1.4309136
20200321,1.424142
20200322,1.4051556
20200323,1.5107148
20200324,1.4796108
