Date,Value
20190112,0.630504
20190113,0.5809968
20190114,0.6809508
20190115,0.5714388
20190116,0.5573448
20190117,0.5847228
20190118,0.563274
20190119,0.6420384
20190120,0.5803812
20190121,0.6618996
20190122,0.6017976
20190123,0.6140772
20190124,0.620622
20190125,0.602316
20190126,0.7049268
20190127,0.671004
20190128,0.775008
20190129,0.6525684
20190130,0.6584004
20190131,0.693684
20190201,0.6892452
20190202,0.5971968
20190203,0.564894
20190204,0.4556736
20190205,0.5559192
20190206,0.6667272
20190207,0.8350776
20190208,0.9047052
20190209,0.78084
20190210,0.6976044
20190211,0.780516
20190212,0.7888428
20190213,0.7317216
20190214,0.683154
20190215,0.6556464
20190216,0.6810156
20190217,0.5827788
20190218,0.6587892
20190219,0.486162
20190220,0.485838
20190221,0.55404
20190222,0.5203764
20190223,0.5855652
20190224,0.5312952
20190225,0.604908
20190226,0.5240052
20190227,0.5332392
20190228,0.6728508
20190301,0.5564052
20190302,0.6563592
20190303,0.524394
20190304,0.6480324
20190305,0.5392332
20190306,0.4841532
20190307,0.5589648
20190308,0.5436072
20190309,0.634392
20190310,0.5072868
20190311,0.6447276
20190312,0.5678748
20190313,0.6116472
20190314,0.5861484
20190315,0.5774004
20190316,0.6505272
20190317,0.553068
20190318,0.6704856
20190319,0.5848848
20190320,0.6109992
20190321,0.603774
20190322,0.5420844
20190323,0.6313788
20190324,0.50949
20190325,0.6383448
20190326,0.5592564
20190327,0.5444172
20190328,0.6115176
20190329,0.5432832
20190330,0.5952204
20190331,0.6673428
20190401,0.6591456
20190402,0.6123276
20190403,0.5370948
20190404,0.6027048
20190405,0.8216964
20190406,0.9256356
20190407,0.6125544
20190408,0.784242
20190409,0.6479028
20190410,0.6198444
20190411,0.6954984
20190412,0.6368544
20200101,0.5101704
20200102,0.39285
20200103,0.6540264
20200104,0.7753644
20200105,0.821178
20200106,0.8548092
20200107,0.7065144
20200108,0.7415064
20200109,0.751518
20200110,0.6346836
20200111,0.7825248
20200112,0.7506756
20200113,0.7756884
20200114,0.6494256
20200115,0.6337116
20200116,0.691416
20200117,0.6422652
20200118,0.742122
20200119,0.7010064
20200120,0.8821548
20200121,0.82458
20200122,0.6695784
20200123,0.5551092
20200124,0.3788532
20200125,0.3323268
20200126,0.2725488
20200127,0.2673324
20200128,0.2539512
20200129,0.2260548
20200130,0.2221668
20200131,0.1900584
20200201,0.193266
20200202,0.2060964
20200203,0.2682396
20200204,0.1828008
20200205,0.1172232
20200206,0.0870588
20200207,0.0669708
20200208,0.0506088
20200209,0.04374
20200210,0.0852768
20200211,0.05589
20200212,0.0545616
20200213,0.0584496
20200214,0.0517428
20200215,0.0503496
20200216,0.0473688
20200217,0.1238652
20200218,0.1427544
20200219,0.219186
20200220,0.150822
20200221,0.058644
20200222,0.0485028
20200223,0.0471744
20200224,0.0564732
20200225,0.0474336
20200226,0.0495396
20200227,0.0543672
20200228,0.052326
20200229,0.057996
20200301,0.0567972
20200302,0.0776304
20200303,0.0677484
20200304,0.0638604
20200305,0.0734832
20200306,0.0721872
20200307,0.0804168
20200308,0.076464
20200309,0.0939276
20200310,0.0768852
20200311,0.076788
20200312,0.0781812
20200313,0.079866
20200314,0.0838188
20200315,0.0773712
20200316,0.1004724
20200317,0.07857
20200318,0.0665172
20200319,0.0689796
20200320,0.0627264
20200321,0.0573156
20200322,0.0473688
20200323,0.073872
20200324,0.0607176
