Date,Value
20190112,0.5307768
20190113,0.4927716
20190114,0.409374
20190115,0.436914
20190116,0.4394088
20190117,0.4088232
20190118,0.436752
20190119,0.5081292
20190120,0.474984
20190121,0.4119984
20190122,0.4408344
20190123,0.4639356
20190124,0.4601772
20190125,0.4775436
20190126,0.5515452
20190127,0.5344056
20190128,0.462186
20190129,0.4838292
20190130,0.5025564
20190131,0.4938732
20190201,0.5360904
20190202,0.5717628
20190203,0.511758
20190204,0.439668
20190205,0.3846204
20190206,0.3965112
20190207,0.3813804
20190208,0.388476
20190209,0.4170528
20190210,0.4441068
20190211,0.4406724
20190212,0.4609548
20190213,0.4729104
20190214,0.4962708
20190215,0.4820796
20190216,0.5279256
20190217,0.498636
20190218,0.4165344
20190219,0.424278
20190220,0.3922344
20190221,0.3712716
20190222,0.400302
20190223,0.4824684
20190224,0.4792608
20190225,0.3838752
20190226,0.3863052
20190227,0.4260276
20190228,0.5611356
20190301,0.4593996
20190302,0.5123412
20190303,0.4959468
20190304,0.4166964
20190305,0.4036716
20190306,0.4185756
20190307,0.3911976
20190308,0.4654908
20190309,0.5160672
20190310,0.5029776
20190311,0.4279716
20190312,0.424764
20190313,0.4326372
20190314,0.4049676
20190315,0.4403484
20190316,0.5749704
20190317,0.524556
20190318,0.4372056
20190319,0.4367844
20190320,0.4471848
20190321,0.4477356
20190322,0.4998348
20190323,0.5635656
20190324,0.4894344
20190325,0.4110264
20190326,0.4191912
20190327,0.4206168
20190328,0.4127112
20190329,0.4641624
20190330,0.5350212
20190331,0.6406452
20190401,0.4150764
20190402,0.433026
20190403,0.4865832
20190404,0.5412096
20190405,0.7093332
20190406,0.4486104
20190407,0.5078052
20190408,0.4866804
20190409,0.4422924
20190410,0.4614408
20190411,0.4630932
20190412,0.4790988
20200101,0.2970756
20200102,0.19683
20200103,0.5621076
20200104,0.577692
20200105,0.5144796
20200106,0.5003208
20200107,0.576396
20200108,0.5587056
20200109,0.602478
20200110,0.5081616
20200111,0.5747436
20200112,0.5398812
20200113,0.4361364
20200114,0.4334472
20200115,0.4582656
20200116,0.4597884
20200117,0.4775436
20200118,0.5271156
20200119,0.5154192
20200120,0.4503276
20200121,0.5204736
20200122,0.56376
20200123,0.5303556
20200124,0.5230008
20200125,0.3596076
20200126,0.2975616
20200127,0.2711556
20200128,0.2270592
20200129,0.2021436
20200130,0.186786
20200131,0.1804356
20200201,0.1823148
20200202,0.1740852
20200203,0.1505304
20200204,0.1428192
20200205,0.179658
20200206,0.1250964
20200207,0.0932796
20200208,0.078894
20200209,0.0610092
20200210,0.0493452
20200211,0.0531036
20200212,0.0480492
20200213,0.048276
20200214,0.052002
20200215,0.0589356
20200216,0.0555012
20200217,0.0444852
20200218,0.0594864
20200219,0.0468828
20200220,0.0306828
20200221,0.0309096
20200222,0.038556
20200223,0.0375192
20200224,0.0405324
20200225,0.0439992
20200226,0.045036
20200227,0.04536
20200228,0.0535248
20200229,0.0577368
20200301,0.0583524
20200302,0.0560196
20200303,0.056214
20200304,0.0610416
20200305,0.0594864
20200306,0.0633096
20200307,0.079704
20200308,0.0779868
20200309,0.0758484
20200310,0.0754596
20200311,0.075168
20200312,0.073548
20200313,0.0784404
20200314,0.0954504
20200315,0.082458
20200316,0.0851148
20200317,0.0829116
20200318,0.0785052
20200319,0.0753948
20200320,0.0726732
20200321,0.0854388
20200322,0.078408
20200323,0.0713448
20200324,0.0661932
