Date,Value
20190112,0.8186184
20190113,0.771444
20190114,0.8204328
20190115,0.8046864
20190116,0.8163828
20190117,0.8146332
20190118,0.8300556
20190119,0.8505972
20190120,0.8011872
20190121,0.8225388
20190122,0.8302824
20190123,0.8369568
20190124,0.8624556
20190125,0.8638488
20190126,0.914814
20190127,0.842886
20190128,0.8491392
20190129,0.8184888
20190130,0.8671536
20190131,0.8120412
20190201,0.8535456
20190202,0.8121708
20190203,0.728838
20190204,0.6558408
20190205,0.5324616
20190206,0.798174
20190207,0.991764
20190208,1.1434284
20190209,1.251126
20190210,1.2847572
20190211,1.358856
20190212,1.2503484
20190213,1.2113064
20190214,1.0848816
20190215,1.0178784
20190216,1.047492
20190217,0.89667
20190218,0.7926012
20190219,0.8446032
20190220,0.9121896
20190221,1.1234052
20190222,1.0529676
20190223,1.0115604
20190224,1.0496628
20190225,0.8070516
20190226,0.80676
20190227,0.9375264
20190228,1.1225952
20190301,0.9091764
20190302,0.9204516
20190303,0.8853948
20190304,0.8821548
20190305,0.8517312
20190306,0.8178732
20190307,0.8006688
20190308,0.7835292
20190309,0.8027748
20190310,0.7929252
20190311,0.8070192
20190312,0.8042328
20190313,0.7881624
20190314,0.7856352
20190315,0.8041356
20190316,0.8542584
20190317,0.783756
20190318,0.8280792
20190319,0.81405
20190320,0.7778592
20190321,0.7535268
20190322,0.7747164
20190323,0.8285976
20190324,0.7556652
20190325,0.8110692
20190326,0.7799004
20190327,0.7752348
20190328,0.77031
20190329,0.7694028
20190330,0.8004744
20190331,0.9265104
20190401,0.8129484
20190402,0.8196228
20190403,0.8317728
20190404,0.9117036
20190405,1.2604248
20190406,1.2840444
20190407,1.2194064
20190408,1.1593044
20190409,0.9239508
20190410,0.9575496
20190411,0.930366
20190412,0.9633168
20200101,0.6163452
20200102,0.603288
20200103,0.8813448
20200104,1.0468764
20200105,0.8417196
20200106,0.8759016
20200107,1.0028124
20200108,1.1674044
20200109,1.1673072
20200110,0.9728748
20200111,0.9905004
20200112,0.9963324
20200113,0.9803916
20200114,0.9667512
20200115,0.9267048
20200116,0.835596
20200117,0.8852976
20200118,0.9479268
20200119,0.9186372
20200120,0.9528192
20200121,1.040526
20200122,0.9369756
20200123,0.828954
20200124,0.7405668
20200125,0.5159052
20200126,0.5334984
20200127,0.5844636
20200128,0.6085044
20200129,0.5119848
20200130,0.4383072
20200131,0.4003668
20200201,0.280422
20200202,0.2746224
20200203,0.2624724
20200204,0.1843884
20200205,0.1624212
20200206,0.1513728
20200207,0.141264
20200208,0.1357236
20200209,0.1479708
20200210,0.1571724
20200211,0.1425924
20200212,0.1541268
20200213,0.1590516
20200214,0.1609956
20200215,0.1669248
20200216,0.1645272
20200217,0.18711
20200218,0.2177604
20200219,0.2285172
20200220,0.2155248
20200221,0.2124792
20200222,0.2332152
20200223,0.2383344
20200224,0.2513268
20200225,0.2757564
20200226,0.3226392
20200227,0.3170664
20200228,0.3203712
20200229,0.3649212
20200301,0.3827736
20200302,0.3838104
20200303,0.3529332
20200304,0.364338
20200305,0.3567888
20200306,0.3525444
20200307,0.3718872
20200308,0.3462264
20200309,0.3480408
20200310,0.3869208
20200311,0.374382
20200312,0.4004316
20200313,0.4247964
20200314,0.4652316
20200315,0.4671432
20200316,0.525852
20200317,0.544158
20200318,0.5612976
20200319,0.5726052
20200320,0.6156648
20200321,0.608634
20200322,0.6183216
20200323,0.6550632
20200324,0.6301476
