Date,Value
20190112,0.8901576
20190113,0.8036496
20190114,0.8220204
20190115,0.7909164
20190116,0.8667972
20190117,0.9095976
20190118,0.9011412
20190119,0.8953416
20190120,0.832518
20190121,0.8344944
20190122,0.8905464
20190123,0.9160452
20190124,0.9433584
20190125,0.968598
20190126,1.0116252
20190127,1.0020996
20190128,1.01898
20190129,0.9807156
20190130,0.964224
20190131,0.8468388
20190201,1.0194336
20190202,1.09188
20190203,1.0525464
20190204,1.0184292
20190205,0.697248
20190206,1.052676
20190207,1.17531
20190208,1.1252196
20190209,1.0882188
20190210,1.1059092
20190211,1.0658952
20190212,1.012662
20190213,0.9937728
20190214,0.9228816
20190215,0.887598
20190216,0.9074592
20190217,0.7284816
20190218,0.7191828
20190219,0.7614
20190220,0.8268156
20190221,0.8924904
20190222,0.9106344
20190223,0.9592992
20190224,1.0575684
20190225,0.7686252
20190226,0.726084
20190227,0.8524116
20190228,0.990144
20190301,0.817452
20190302,0.8307036
20190303,0.8055612
20190304,0.7969428
20190305,0.762858
20190306,0.7515504
20190307,0.7352532
20190308,0.7417656
20190309,0.8262324
20190310,0.7545636
20190311,0.782946
20190312,0.7510644
20190313,0.7567344
20190314,0.7500924
20190315,0.7736148
20190316,0.8543556
20190317,0.7675884
20190318,0.7825896
20190319,0.7664868
20190320,0.761724
20190321,0.7665516
20190322,0.7734852
20190323,0.8171604
20190324,0.7415064
20190325,0.785214
20190326,0.7606872
20190327,0.7560864
20190328,0.7385256
20190329,0.7828812
20190330,0.8324208
20190331,0.9547308
20190401,0.8324856
20190402,0.884358
20190403,0.9206784
20190404,1.0720512
20190405,1.54629
20190406,1.0537452
20190407,1.0757124
20190408,1.0812852
20190409,0.9232704
20190410,0.899424
20190411,0.8971236
20190412,0.9037332
20200101,0.6121008
20200102,0.6642324
20200103,0.9659088
20200104,1.0946988
20200105,0.8560404
20200106,0.8852976
20200107,1.0367028
20200108,1.1503296
20200109,1.1146896
20200110,0.940086
20200111,0.9761148
20200112,1.1409012
20200113,1.1107044
20200114,1.0958004
20200115,1.03275
20200116,0.9235296
20200117,1.0311624
20200118,1.0848492
20200119,1.06353
20200120,1.0799892
20200121,1.25631
20200122,1.1862936
20200123,1.1627388
20200124,0.9794196
20200125,0.5898096
20200126,0.5424408
20200127,0.4593348
20200128,0.3925908
20200129,0.3514428
20200130,0.3198528
20200131,0.2767932
20200201,0.2262492
20200202,0.2291328
20200203,0.2146824
20200204,0.1681884
20200205,0.1617408
20200206,0.1480032
20200207,0.1481004
20200208,0.1452168
20200209,0.15471
20200210,0.152766
20200211,0.1315116
20200212,0.1401948
20200213,0.1428192
20200214,0.1492344
20200215,0.1344276
20200216,0.1446012
20200217,0.1659528
20200218,0.176418
20200219,0.1989684
20200220,0.2050272
20200221,0.208332
20200222,0.2197368
20200223,0.241218
20200224,0.2601072
20200225,0.2899152
20200226,0.3190104
20200227,0.3208248
20200228,0.32076
20200229,0.3375108
20200301,0.3247776
20200302,0.3451248
20200303,0.3397464
20200304,0.3471012
20200305,0.347328
20200306,0.3443472
20200307,0.3613896
20200308,0.3502764
20200309,0.358344
20200310,0.3594132
20200311,0.3777516
20200312,0.3771036
20200313,0.3925908
20200314,0.4275504
20200315,0.4282308
20200316,0.4706424
20200317,0.4524984
20200318,0.4649724
20200319,0.4934196
20200320,0.495396
20200321,0.5272776
20200322,0.5117904
20200323,0.5542992
20200324,0.5389416
