Date,Value
20190112,0.4866804
20190113,0.4818204
20190114,0.4967244
20190115,0.4606308
20190116,0.5290272
20190117,0.5090364
20190118,0.4751784
20190119,0.4802328
20190120,0.4656204
20190121,0.4715496
20190122,0.4786452
20190123,0.4706748
20190124,0.4797144
20190125,0.4785156
20190126,0.4847688
20190127,0.4600476
20190128,0.4648752
20190129,0.4273884
20190130,0.4204872
20190131,0.4161132
20190201,0.4279392
20190202,0.3962196
20190203,0.3890916
20190204,0.376974
20190205,0.3184272
20190206,0.4172472
20190207,0.4768632
20190208,0.532656
20190209,0.5823252
20190210,0.6911568
20190211,0.7945452
20190212,0.6747624
20190213,0.6885972
20190214,0.6595992
20190215,0.6594048
20190216,0.6367572
20190217,0.5822604
20190218,0.5850468
20190219,0.5686524
20190220,0.5964192
20190221,0.750708
20190222,0.7238808
20190223,0.73305
20190224,0.811458
20190225,0.66663
20190226,0.6377292
20190227,0.7825896
20190228,0.7887132
20190301,0.6304068
20190302,0.5711148
20190303,0.59535
20190304,0.5986224
20190305,0.5939244
20190306,0.581256
20190307,0.5401404
20190308,0.5079348
20190309,0.5398488
20190310,0.544158
20190311,0.546264
20190312,0.5366736
20190313,0.5493096
20190314,0.5172012
20190315,0.5401404
20190316,0.5596452
20190317,0.5479164
20190318,0.56538
20190319,0.5411124
20190320,0.5359284
20190321,0.5429916
20190322,0.5262732
20190323,0.535086
20190324,0.5208624
20190325,0.559224
20190326,0.5327856
20190327,0.5417928
20190328,0.5174604
20190329,0.5152248
20190330,0.5260464
20190331,0.630342
20190401,0.5950584
20190402,0.5752944
20190403,0.56619
20190404,0.6127164
20190405,0.734346
20190406,0.6655284
20190407,0.7897824
20190408,0.8202384
20190409,0.6682824
20190410,0.6736932
20190411,0.6770628
20190412,0.6391548
20200101,0.3362472
20200102,0.4047732
20200103,0.5467824
20200104,0.6486804
20200105,0.6155352
20200106,0.6217884
20200107,0.6681204
20200108,0.7383312
20200109,0.7325316
20200110,0.5951232
20200111,0.5932764
20200112,0.6188076
20200113,0.6133968
20200114,0.567
20200115,0.5417928
20200116,0.5188212
20200117,0.5342112
20200118,0.5009364
20200119,0.4873284
20200120,0.4734936
20200121,0.5147064
20200122,0.4708368
20200123,0.4431672
20200124,0.4237596
20200125,0.3437964
20200126,0.3763908
20200127,0.4207788
20200128,0.4345488
20200129,0.4071708
20200130,0.3598668
20200131,0.3451572
20200201,0.2624724
20200202,0.2551176
20200203,0.2476008
20200204,0.1766772
20200205,0.1420416
20200206,0.1384128
20200207,0.1347192
20200208,0.1413288
20200209,0.1405836
20200210,0.1682208
20200211,0.1435968
20200212,0.14418
20200213,0.1531872
20200214,0.1332612
20200215,0.1270404
20200216,0.1298268
20200217,0.1282392
20200218,0.1377
20200219,0.1483596
20200220,0.161514
20200221,0.1607364
20200222,0.1789776
20200223,0.2042496
20200224,0.214326
20200225,0.2568348
20200226,0.2831436
20200227,0.2863836
20200228,0.2657772
20200229,0.320598
20200301,0.2962332
20200302,0.3397464
20200303,0.3310308
20200304,0.3222828
20200305,0.3046248
20200306,0.3165156
20200307,0.3510864
20200308,0.2994084
20200309,0.3181356
20200310,0.35883
20200311,0.3311928
20200312,0.3612924
20200313,0.3480408
20200314,0.3675132
20200315,0.3530304
20200316,0.3720492
20200317,0.3765852
20200318,0.3749004
20200319,0.3775572
20200320,0.3710772
20200321,0.350406
20200322,0.37341
20200323,0.3896424
20200324,0.381672
