Date,Value
20190112,0.5727348
20190113,0.5353452
20190114,0.5298696
20190115,0.5159376
20190116,0.5546232
20190117,0.5703696
20190118,0.5804784
20190119,0.5970348
20190120,0.555174
20190121,0.5174928
20190122,0.589032
20190123,0.601182
20190124,0.6179652
20190125,0.6462504
20190126,0.7140312
20190127,0.6951744
20190128,0.6670512
20190129,0.6414228
20190130,0.6447924
20190131,0.6740172
20190201,0.7093332
20190202,0.7143228
20190203,0.6732396
20190204,0.6935544
20190205,0.53703
20190206,0.6094116
20190207,0.6555816
20190208,0.6733044
20190209,0.6358824
20190210,0.6165396
20190211,0.6054912
20190212,0.5473008
20190213,0.55404
20190214,0.54189
20190215,0.5231952
20190216,0.544482
20190217,0.5002884
20190218,0.4997376
20190219,0.473364
20190220,0.4773816
20190221,0.5557896
20190222,0.5861484
20190223,0.6271344
20190224,0.7140636
20190225,0.5232276
20190226,0.4711608
20190227,0.5698836
20190228,0.580608
20190301,0.5015844
20190302,0.5576364
20190303,0.5640192
20190304,0.4779972
20190305,0.470934
20190306,0.451332
20190307,0.4545072
20190308,0.499932
20190309,0.517428
20190310,0.49248
20190311,0.4929336
20190312,0.4895316
20190313,0.4959468
20190314,0.4737528
20190315,0.5001264
20190316,0.5413068
20190317,0.4668516
20190318,0.4677912
20190319,0.4879764
20190320,0.4919292
20190321,0.4766364
20190322,0.4948776
20190323,0.5387796
20190324,0.4923504
20190325,0.4960116
20190326,0.4786128
20190327,0.4826952
20190328,0.5000616
20190329,0.5188212
20190330,0.563922
20190331,0.6650424
20190401,0.5500548
20190402,0.5565024
20190403,0.5859216
20190404,0.6621588
20190405,0.9452376
20190406,0.7760124
20190407,0.6765444
20190408,0.6363036
20190409,0.5979744
20190410,0.589518
20190411,0.5869584
20190412,0.610416
20200101,0.3669948
20200102,0.4267404
20200103,0.6107076
20200104,0.6841584
20200105,0.6179004
20200106,0.633096
20200107,0.7020432
20200108,0.7706664
20200109,0.8536104
20200110,0.6863292
20200111,0.6688656
20200112,0.6685416
20200113,0.6667272
20200114,0.6914808
20200115,0.732564
20200116,0.689148
20200117,0.7244964
20200118,0.73224
20200119,0.7205436
20200120,0.762048
20200121,0.861516
20200122,0.7987572
20200123,0.7844688
20200124,0.6846444
20200125,0.4222044
20200126,0.3327804
20200127,0.2741688
20200128,0.2305584
20200129,0.19197
20200130,0.1655964
20200131,0.151794
20200201,0.1355616
20200202,0.1374408
20200203,0.1240272
20200204,0.1005372
20200205,0.089424
20200206,0.0866052
20200207,0.0874476
20200208,0.087966
20200209,0.090882
20200210,0.0952236
20200211,0.0777276
20200212,0.073548
20200213,0.0780516
20200214,0.084078
20200215,0.0758808
20200216,0.0766584
20200217,0.085536
20200218,0.0864432
20200219,0.0828792
20200220,0.0918864
20200221,0.1000512
20200222,0.1062396
20200223,0.1229904
20200224,0.1529604
20200225,0.1599912
20200226,0.1826064
20200227,0.1718172
20200228,0.1764504
20200229,0.1958904
20200301,0.1849716
20200302,0.19926
20200303,0.2041848
20200304,0.2045412
20200305,0.213678
20200306,0.2121228
20200307,0.2193804
20200308,0.211086
20200309,0.209466
20200310,0.226962
20200311,0.2422224
20200312,0.2466288
20200313,0.2454624
20200314,0.2789316
20200315,0.2611116
20200316,0.2615976
20200317,0.266166
20200318,0.2858004
20200319,0.28593
20200320,0.3028428
20200321,0.3227688
20200322,0.3013848
20200323,0.3123684
20200324,0.3120768
