Date,Value
20190112,3.7164096
20190113,3.4259112
20190114,3.6300636
20190115,3.5632872
20190116,3.635766
20190117,3.7918044
20190118,3.8093328
20190119,3.9325824
20190120,3.800034
20190121,4.0317264
20190122,4.1505696
20190123,4.40316
20190124,4.585248
20190125,4.8067992
20190126,5.2384968
20190127,5.2992792
20190128,5.4928044
20190129,5.4570996
20190130,5.3498556
20190131,5.0848236
20190201,5.4980856
20190202,5.3329752
20190203,4.7204532
20190204,4.2681492
20190205,4.1139252
20190206,6.140286
20190207,7.1528184
20190208,7.181784
20190209,7.6731948
20190210,7.9701732
20190211,8.2528632
20190212,6.8927436
20190213,6.8667264
20190214,5.5526796
20190215,5.6992572
20190216,6.1203924
20190217,5.6541564
20190218,4.8627216
20190219,4.0924764
20190220,4.6106172
20190221,5.8504032
20190222,5.1166404
20190223,5.64408
20190224,6.1821468
20190225,4.3259832
20190226,4.1720184
20190227,4.8436056
20190228,5.1264252
20190301,4.2367536
20190302,4.4939124
20190303,3.968514
20190304,3.9881484
20190305,3.8171736
20190306,3.6435096
20190307,3.5744328
20190308,3.8354472
20190309,3.972564
20190310,3.590568
20190311,3.7066572
20190312,3.5201304
20190313,3.5705448
20190314,3.49434
20190315,3.7913508
20190316,4.0594932
20190317,3.5220096
20190318,3.7193256
20190319,3.6271152
20190320,3.5604684
20190321,3.541968
20190322,3.7249956
20190323,4.0774752
20190324,3.4955712
20190325,3.7802052
20190326,3.5495172
20190327,3.5640648
20190328,3.5322156
20190329,3.7118736
20190330,3.8968128
20190331,4.372704
20190401,3.7630332
20190402,3.8550492
20190403,4.0114116
20190404,4.7098908
20190405,7.7237712
20190406,5.9259924
20190407,5.9741712
20190408,6.0403644
20190409,4.6443456
20190410,4.4185176
20190411,4.4076636
20190412,4.5906912
20200101,2.73456
20200102,3.2088312
20200103,4.435074
20200104,4.8624624
20200105,4.10832
20200106,4.2229512
20200107,4.5711864
20200108,5.3377704
20200109,5.7749436
20200110,4.8126636
20200111,5.0776308
20200112,5.1131088
20200113,5.1066612
20200114,5.0595516
20200115,5.2257312
20200116,5.234382
20200117,5.7996
20200118,5.8660848
20200119,6.1800732
20200120,6.541398
20200121,7.254036
20200122,6.2454564
20200123,5.6884356
20200124,4.6002168
20200125,2.6904312
20200126,2.60496
20200127,2.5980912
20200128,2.200284
20200129,1.9702764
20200130,1.8128124
20200131,1.56006
20200201,1.2284136
20200202,1.2850488
20200203,1.0170684
20200204,0.7371972
20200205,0.7092684
20200206,0.6863292
20200207,0.6587568
20200208,0.5843016
20200209,0.5487588
20200210,0.547884
20200211,0.4784508
20200212,0.484542
20200213,0.5113368
20200214,0.5317488
20200215,0.5412096
20200216,0.5696568
20200217,0.770472
20200218,0.90396
20200219,0.9469224
20200220,0.9924768
20200221,0.9738792
20200222,1.1456316
20200223,1.2846924
20200224,1.505466
20200225,1.6525944
20200226,1.8828288
20200227,1.82817
20200228,1.8552888
20200229,2.1341556
20200301,2.2026492
20200302,2.4774012
20200303,2.4801876
20200304,2.5574292
20200305,2.633148
20200306,2.6579988
20200307,2.5618356
20200308,2.4261444
20200309,2.6045064
20200310,2.6377488
20200311,2.469204
20200312,2.6297136
20200313,2.5117776
20200314,2.5316388
20200315,2.530116
20200316,2.653074
20200317,2.5392204
20200318,2.5998408
20200319,2.6237196
20200320,2.5709076
20200321,2.6014284
20200322,2.5593408
20200323,2.5770312
20200324,2.45997
