Date,Value
20190112,6.2175276
20190113,5.8191372
20190114,7.683174
20190115,6.069654
20190116,5.7759156
20190117,6.1183512
20190118,6.2400132
20190119,6.4196064
20190120,6.1418088
20190121,7.3892088
20190122,6.2027532
20190123,6.38361
20190124,6.5075076
20190125,6.6069432
20190126,6.630822
20190127,6.1474788
20190128,7.255818
20190129,5.5640844
20190130,5.2108272
20190131,4.8215412
20190201,4.5188604
20190202,3.8527164
20190203,3.639816
20190204,3.3622128
20190205,3.965922
20190206,6.5205
20190207,7.4600676
20190208,9.447192
20190209,12.4943472
20190210,17.395074
20190211,20.3837148
20190212,17.3868768
20190213,16.2005184
20190214,14.8264668
20190215,12.6163656
20190216,11.3368572
20190217,11.3284008
20190218,11.9455236
20190219,8.0118396
20190220,8.7808212
20190221,11.1269376
20190222,9.7935804
20190223,9.619074
20190224,9.6119784
20190225,9.7616664
20190226,7.7978376
20190227,8.6322996
20190228,9.840204
20190301,7.6527828
20190302,7.2550404
20190303,6.94818
20190304,8.9479404
20190305,7.2414648
20190306,6.8594688
20190307,6.974262
20190308,6.9581592
20190309,7.060122
20190310,6.8933592
20190311,9.1645992
20190312,7.3974708
20190313,7.1947116
20190314,7.0451208
20190315,7.1376228
20190316,7.611084
20190317,7.6749444
20190318,9.5423184
20190319,7.1948736
20190320,7.2306756
20190321,7.1141004
20190322,6.9205752
20190323,7.1973036
20190324,7.2599976
20190325,9.4696128
20190326,7.4626596
20190327,6.8748912
20190328,6.7669992
20190329,6.8229216
20190330,7.075512
20190331,8.546796
20190401,9.5116356
20190402,7.6385916
20190403,6.9344424
20190404,7.5944304
20190405,10.4267736
20190406,10.2716424
20190407,16.2705996
20190408,19.0956852
20190409,10.87506
20190410,9.1971612
20190411,8.7545448
20190412,8.6268564
20200101,4.633038
20200102,4.667544
20200103,7.052022
20200104,7.678476
20200105,9.5546952
20200106,8.2661472
20200107,7.5110652
20200108,7.9364124
20200109,8.2719792
20200110,7.6930236
20200111,7.4344392
20200112,7.02675
20200113,8.2559088
20200114,6.69384
20200115,6.483078
20200116,6.419574
20200117,6.0462936
20200118,5.728968
20200119,5.6163456
20200120,5.3363772
20200121,5.2280964
20200122,4.3067052
20200123,3.7339704
20200124,2.867886
20200125,1.9504476
20200126,3.6312948
20200127,5.2192188
20200128,5.8599612
20200129,5.2701516
20200130,5.1093828
20200131,4.8856608
20200201,4.1366376
20200202,4.9727844
20200203,4.5668448
20200204,3.224124
20200205,3.3622452
20200206,3.721788
20200207,3.9593124
20200208,4.873284
20200209,5.4913788
20200210,4.5541116
20200211,2.6944164
20200212,2.1664908
20200213,2.1266388
20200214,1.9243656
20200215,1.6889148
20200216,1.5252624
20200217,1.8123588
20200218,1.9827828
20200219,2.1216492
20200220,2.2349844
20200221,2.3656536
20200222,2.494314
20200223,2.7801144
20200224,3.1474656
20200225,3.2241564
20200226,3.1833648
20200227,3.1077108
20200228,2.9643408
20200229,3.265596
20200301,3.1574124
20200302,4.0390488
20200303,3.4119792
20200304,3.1102056
20200305,3.123684
20200306,3.2573016
20200307,3.1680072
20200308,2.9006748
20200309,3.8915964
20200310,3.4890264
20200311,3.2696784
20200312,3.4544232
20200313,3.4211484
20200314,3.3252444
20200315,3.3382692
20200316,4.8853044
20200317,3.9058524
20200318,3.7190664
20200319,3.913272
20200320,3.9803076
20200321,3.928338
20200322,3.6797976
20200323,5.4090504
20200324,4.0942584
