Date,Value
20190112,2.7241596
20190113,2.5871724
20190114,2.8462428
20190115,2.8430028
20190116,2.8791612
20190117,2.9201148
20190118,2.9119824
20190119,3.0685716
20190120,2.9485296
20190121,3.0207816
20190122,3.1442904
20190123,3.2248368
20190124,3.315978
20190125,3.5300124
20190126,3.9523788
20190127,3.9514716
20190128,4.0234644
20190129,3.9852972
20190130,4.1526108
20190131,4.2501672
20190201,4.900176
20190202,4.9138164
20190203,4.2360732
20190204,3.7407744
20190205,2.8380132
20190206,3.7578492
20190207,4.54734
20190208,4.5705384
20190209,4.6439244
20190210,4.7569356
20190211,4.6221192
20190212,3.9851352
20190213,3.7932624
20190214,2.591838
20190215,2.7133704
20190216,3.86208
20190217,3.6924336
20190218,3.3813936
20190219,2.5551936
20190220,2.8306908
20190221,3.7316052
20190222,3.4495956
20190223,3.7362384
20190224,4.0680144
20190225,3.030372
20190226,2.89575
20190227,3.4112988
20190228,3.8168172
20190301,3.117528
20190302,3.3053508
20190303,2.9706588
20190304,2.9719548
20190305,3.0223368
20190306,2.8909548
20190307,2.829006
20190308,2.9178792
20190309,3.2146632
20190310,2.8533708
20190311,2.8691496
20190312,2.8196748
20190313,2.8054512
20190314,2.6644788
20190315,2.8336716
20190316,3.2307336
20190317,2.839374
20190318,2.95083
20190319,2.8370412
20190320,2.800818
20190321,2.6868348
20190322,2.878254
20190323,3.2133672
20190324,2.805678
20190325,2.9502792
20190326,2.835648
20190327,2.7969948
20190328,2.7740556
20190329,2.873394
20190330,3.097926
20190331,3.7017972
20190401,3.0825684
20190402,3.2984172
20190403,3.4278228
20190404,4.0531428
20190405,6.2159076
20190406,4.8134412
20190407,4.3141896
20190408,4.3578
20190409,3.3773112
20190410,3.3580656
20190411,3.3218424
20190412,3.4249716
20200101,2.1818808
20200102,2.5346844
20200103,3.5687304
20200104,4.0507452
20200105,2.6923428
20200106,2.9281176
20200107,3.2158296
20200108,4.1040756
20200109,4.6021932
20200110,3.8820708
20200111,3.8944476
20200112,3.8315592
20200113,3.7230192
20200114,3.614058
20200115,3.7907676
20200116,3.7480968
20200117,4.1851728
20200118,4.4585316
20200119,4.8482064
20200120,5.2192512
20200121,6.1353612
20200122,5.6046492
20200123,5.2577424
20200124,4.3726716
20200125,2.1898836
20200126,1.931364
20200127,1.75446
20200128,1.3957596
20200129,1.0917504
20200130,1.1480616
20200131,1.0263024
20200201,0.840942
20200202,0.9306252
20200203,0.799956
20200204,0.6334848
20200205,0.6028668
20200206,0.5339196
20200207,0.553878
20200208,0.5319108
20200209,0.6164424
20200210,0.690282
20200211,0.5920776
20200212,0.561006
20200213,1.40697
20200214,2.1598812
20200215,0.5102352
20200216,0.59535
20200217,1.0584432
20200218,0.7496712
20200219,0.8414604
20200220,0.881442
20200221,0.942354
20200222,1.1327688
20200223,1.1509776
20200224,1.2181104
20200225,1.3782312
20200226,1.4101128
20200227,1.354158
20200228,1.2684276
20200229,1.4116356
20200301,1.5132744
20200302,1.6616664
20200303,1.554714
20200304,1.5405552
20200305,1.5471972
20200306,1.6577784
20200307,1.6545708
20200308,1.6295904
20200309,1.7166168
20200310,1.7218008
20200311,1.7459388
20200312,1.8196488
20200313,1.8046152
20200314,1.84923
20200315,1.8402228
20200316,1.9178208
20200317,1.9142244
20200318,1.94481
20200319,1.9208016
20200320,1.9850508
20200321,2.0169324
20200322,2.061126
20200323,2.0735028
20200324,2.0315448
