Date,Value
20190112,5.3372196
20190113,4.9785192
20190114,5.2514568
20190115,5.2536276
20190116,5.6608308
20190117,6.040656
20190118,6.2280576
20190119,6.8812092
20190120,6.9910128
20190121,7.5463164
20190122,8.4436344
20190123,8.9491068
20190124,9.7655544
20190125,10.7492832
20190126,12.3060708
20190127,12.4501536
20190128,13.0945248
20190129,13.426884
20190130,13.2071796
20190131,12.913344
20190201,13.4498232
20190202,12.8505852
20190203,11.8675692
20190204,10.47006
20190205,8.42886
20190206,11.2689468
20190207,12.2030388
20190208,11.8833156
20190209,11.5729236
20190210,11.460528
20190211,10.2452688
20190212,8.3472768
20190213,8.4299616
20190214,7.7742828
20190215,7.1474724
20190216,6.8219496
20190217,6.2843364
20190218,5.9137776
20190219,5.4062964
20190220,5.3936604
20190221,5.4544104
20190222,5.186916
20190223,5.3457408
20190224,5.6348136
20190225,4.6591848
20190226,4.4916768
20190227,4.8569544
20190228,5.6014416
20190301,4.546692
20190302,4.7882664
20190303,4.303692
20190304,4.3904268
20190305,3.9660192
20190306,3.8563128
20190307,3.9220848
20190308,4.2406092
20190309,4.6625544
20190310,4.343058
20190311,4.5684972
20190312,4.0502916
20190313,4.0900464
20190314,4.2062328
20190315,4.8043368
20190316,5.4848664
20190317,4.902444
20190318,4.9664016
20190319,4.3939908
20190320,4.2632892
20190321,4.2163416
20190322,4.362984
20190323,4.6956996
20190324,4.1580216
20190325,4.40235
20190326,4.0260888
20190327,4.0588776
20190328,4.0997988
20190329,4.4077284
20190330,4.8121452
20190331,5.540238
20190401,4.4886636
20190402,4.4678952
20190403,4.8163572
20190404,6.169284
20190405,11.21364
20190406,7.0561368
20190407,7.0834824
20190408,6.5829348
20190409,5.0629212
20190410,4.9596624
20190411,4.8550752
20190412,5.2220052
20200101,4.4581104
20200102,5.645538
20200103,7.5195864
20200104,8.6584788
20200105,8.4831948
20200106,8.5962384
20200107,9.2083716
20200108,10.4570352
20200109,13.1311692
20200110,8.9865936
20200111,9.8984916
20200112,10.20357
20200113,10.789524
20200114,11.6664624
20200115,12.4566012
20200116,12.7674144
20200117,13.7998404
20200118,15.1861716
20200119,15.1843572
20200120,15.9832116
20200121,18.1455552
20200122,15.36408
20200123,14.3529084
20200124,11.95722
20200125,7.1458848
20200126,6.5735064
20200127,5.9879412
20200128,4.8853692
20200129,4.0571604
20200130,3.5312112
20200131,2.9217348
20200201,2.3435892
20200202,2.5621272
20200203,2.129166
20200204,1.5484284
20200205,1.4039568
20200206,1.3652388
20200207,1.3474188
20200208,1.319652
20200209,1.3121676
20200210,1.270566
20200211,1.0422432
20200212,0.996786
20200213,0.996624
20200214,1.0122084
20200215,0.968598
20200216,0.9858672
20200217,1.093014
20200218,1.1679228
20200219,1.2636324
20200220,1.301832
20200221,1.346058
20200222,1.5063084
20200223,1.658232
20200224,1.8695448
20200225,2.0610612
20200226,2.1781224
20200227,2.1897216
20200228,2.2038156
20200229,2.3662692
20200301,2.4591276
20200302,2.5293708
20200303,2.319354
20200304,2.2797288
20200305,2.34171
20200306,2.3719392
20200307,2.4751008
20200308,2.3795532
20200309,2.5304724
20200310,2.4633072
20200311,2.4947028
20200312,2.5416828
20200313,2.6077788
20200314,2.7375408
20200315,2.635092
20200316,2.7135
20200317,2.65761
20200318,2.674782
20200319,2.6881308
20200320,2.816046
20200321,3.06747
20200322,2.8765692
20200323,3.0085992
20200324,2.8498392
