Date,Value
20190112,4.2509124
20190113,3.911814
20190114,4.1738652
20190115,4.0420296
20190116,4.1091948
20190117,4.255416
20190118,4.4736624
20190119,4.7710296
20190120,4.7034756
20190121,4.882032
20190122,4.9328028
20190123,5.0549184
20190124,5.3645976
20190125,5.6929068
20190126,6.0863076
20190127,6.0900984
20190128,6.4260864
20190129,6.4309464
20190130,6.7724424
20190131,7.1617608
20190201,7.6538196
20190202,7.7420448
20190203,7.5949488
20190204,7.3351656
20190205,7.4211552
20190206,10.2888792
20190207,12.1424832
20190208,13.8506436
20190209,17.0672508
20190210,19.56798
20190211,16.269984
20190212,15.5105928
20190213,15.0809364
20190214,16.8536376
20190215,14.6534508
20190216,14.7987324
20190217,13.1883876
20190218,11.7832968
20190219,10.0657404
20190220,11.6657172
20190221,12.0379932
20190222,12.0533184
20190223,11.2879008
20190224,12.2050152
20190225,8.3466936
20190226,8.2415232
20190227,10.0260828
20190228,8.4250692
20190301,7.1262504
20190302,7.1396964
20190303,6.3986436
20190304,6.1924824
20190305,6.16734
20190306,5.5363176
20190307,5.3804088
20190308,5.8354992
20190309,5.7705372
20190310,5.1317064
20190311,5.347458
20190312,5.1695496
20190313,4.937274
20190314,4.7061648
20190315,5.1366312
20190316,5.4270648
20190317,4.8979728
20190318,5.3005104
20190319,5.088258
20190320,5.2255368
20190321,5.172174
20190322,5.41809
20190323,5.53068
20190324,4.7648736
20190325,5.0346036
20190326,4.672242
20190327,4.617648
20190328,4.5217764
20190329,4.7416752
20190330,5.0522292
20190331,5.8376052
20190401,4.8102336
20190402,4.7194488
20190403,4.8414024
20190404,5.7277368
20190405,8.9880192
20190406,7.4310696
20190407,8.7388956
20190408,7.5897648
20190409,5.890482
20190410,5.6208168
20190411,5.3235468
20190412,5.4607608
20200101,3.2555844
20200102,3.597858
20200103,5.053752
20200104,5.6475792
20200105,5.5490832
20200106,5.4402516
20200107,5.681988
20200108,6.2460396
20200109,6.8267448
20200110,5.8985496
20200111,6.060906
20200112,5.8594104
20200113,5.9013036
20200114,5.8087692
20200115,6.050538
20200116,6.393492
20200117,6.842556
20200118,7.0958592
20200119,7.399026
20200120,7.8238224
20200121,9.300906
20200122,8.9251308
20200123,8.7244776
20200124,7.6058676
20200125,5.1637824
20200126,5.7206088
20200127,6.5899008
20200128,6.8146272
20200129,6.462828
20200130,6.3673776
20200131,5.2505496
20200201,3.8801592
20200202,4.5956484
20200203,3.7718136
20200204,2.6795124
20200205,2.5736292
20200206,3.3593292
20200207,3.849768
20200208,3.9754476
20200209,3.152682
20200210,2.5335504
20200211,1.8435276
20200212,1.7417916
20200213,1.8533772
20200214,1.8478692
20200215,1.7662212
20200216,1.9095912
20200217,1.8653652
20200218,2.1519432
20200219,2.7161892
20200220,3.0171852
20200221,3.5084016
20200222,4.0873572
20200223,4.8334644
20200224,5.0621112
20200225,5.3796312
20200226,5.9754024
20200227,5.913162
20200228,6.070302
20200229,5.7346704
20200301,5.7185028
20200302,5.9823684
20200303,5.7226824
20200304,5.3350812
20200305,5.5404648
20200306,5.7643164
20200307,5.40027
20200308,4.6548108
20200309,5.43348
20200310,5.2009776
20200311,4.8955428
20200312,5.1411672
20200313,4.9104144
20200314,4.6761624
20200315,4.5663912
20200316,4.6810224
20200317,4.7019528
20200318,4.91751
20200319,4.6560096
20200320,4.416768
20200321,4.5425448
20200322,4.439286
20200323,4.3157124
20200324,4.0079772
