Date,Value
20190112,0.0672624
20190113,0.0697572
20190114,0.090396
20190115,0.0739368
20190116,0.0645408
20190117,0.0642168
20190118,0.0604584
20190119,0.0680076
20190120,0.0697248
20190121,0.0728028
20190122,0.0613656
20190123,0.0629208
20190124,0.064152
20190125,0.0616572
20190126,0.0695304
20190127,0.0666792
20190128,0.0757188
20190129,0.0687528
20190130,0.0648972
20190131,0.0694332
20190201,0.0729324
20190202,0.0728352
20190203,0.0671976
20190204,0.062694
20190205,0.0460404
20190206,0.0637308
20190207,0.0980424
20190208,0.1338444
20190209,0.1693548
20190210,0.2004264
20190211,0.253206
20190212,0.2294892
20190213,0.2212272
20190214,0.2050272
20190215,0.183546
20190216,0.1603152
20190217,0.1513404
20190218,0.1568808
20190219,0.1294056
20190220,0.1166724
20190221,0.1113912
20190222,0.1052352
20190223,0.0919512
20190224,0.0877068
20190225,0.0888732
20190226,0.0850176
20190227,0.0821988
20190228,0.0891
20190301,0.06885
20190302,0.0674568
20190303,0.0623052
20190304,0.0806112
20190305,0.0715068
20190306,0.057996
20190307,0.05994
20190308,0.0606528
20190309,0.0673272
20190310,0.0697248
20190311,0.0823932
20190312,0.0753624
20190313,0.0680724
20190314,0.0653184
20190315,0.0629856
20190316,0.0720252
20190317,0.067878
20190318,0.0814212
20190319,0.0773064
20190320,0.068202
20190321,0.0697896
20190322,0.063828
20190323,0.0671328
20190324,0.06804
20190325,0.0823608
20190326,0.0754272
20190327,0.0710532
20190328,0.0696276
20190329,0.0709884
20190330,0.074844
20190331,0.1066284
20190401,0.0877068
20190402,0.0796392
20190403,0.07128
20190404,0.0690444
20190405,0.0603288
20190406,0.0760104
20190407,0.105138
20190408,0.1377648
20190409,0.1200744
20190410,0.1145016
20190411,0.1032264
20190412,0.0960012
20200101,0.0386208
20200102,0.049248
20200103,0.0514512
20200104,0.0472392
20200105,0.0575424
20200106,0.0490212
20200107,0.041634
20200108,0.0458784
20200109,0.0618516
20200110,0.0439992
20200111,0.0652212
20200112,0.0771444
20200113,0.096714
20200114,0.080838
20200115,0.069822
20200116,0.0575748
20200117,0.0484704
20200118,0.050058
20200119,0.0423792
20200120,0.0405972
20200121,0.0432864
20200122,0.0403704
20200123,0.0388152
20200124,0.0352188
20200125,0.0216756
20200126,0.0259848
20200127,0.0389124
20200128,0.0504144
20200129,0.0548208
20200130,0.0637308
20200131,0.0596808
20200201,0.0555336
20200202,0.0434484
20200203,0.051192
20200204,0.0466884
20200205,0.0397224
20200206,0.0363204
20200207,0.0407268
20200208,0.0441288
20200209,0.0450036
20200210,0.0388476
20200211,0.0158112
20200212,0.013608
20200213,0.0118584
20200214,0.0150984
20200215,0.0157464
20200216,0.0161352
20200217,0.0203796
20200218,0.0159732
20200219,0.0128304
20200220,0.011016
20200221,0.0133812
20200222,0.013446
20200223,0.011988
20200224,0.0210276
20200225,0.0144828
20200226,0.0114048
20200227,0.0104328
20200228,0.0147096
20200229,0.0155196
20200301,0.0159084
20200302,0.025272
20200303,0.0185652
20200304,0.017496
20200305,0.0200232
20200306,0.0206712
20200307,0.019278
20200308,0.017172
20200309,0.0227448
20200310,0.0151308
20200311,0.0127332
20200312,0.0117612
20200313,0.011664
20200314,0.0100116
20200315,0.0118584
20200316,0.0160056
20200317,0.0125388
20200318,0.0096552
20200319,0.0079056
20200320,0.0094608
20200321,0.009558
20200322,0.0087804
20200323,0.0102708
20200324,0.0086508
