Date,Value
20190112,3.5249904
20190113,3.1009392
20190114,3.6767196
20190115,3.2685768
20190116,3.3761772
20190117,3.5305308
20190118,3.7126836
20190119,4.0998636
20190120,3.8555352
20190121,4.12128
20190122,3.745602
20190123,3.8984652
20190124,4.0140684
20190125,4.2918984
20190126,4.95315
20190127,4.8380652
20190128,5.039496
20190129,4.7758572
20190130,4.973886
20190131,5.4536004
20190201,6.015708
20190202,5.8844556
20190203,5.1139188
20190204,4.4420076
20190205,2.98728
20190206,4.5626976
20190207,4.3892604
20190208,4.0635432
20190209,3.6924012
20190210,3.681774
20190211,3.2185836
20190212,2.6276076
20190213,2.5090236
20190214,2.4711156
20190215,2.3083056
20190216,3.0436884
20190217,2.8723248
20190218,3.3105348
20190219,2.5726896
20190220,2.5575912
20190221,2.6675892
20190222,2.6573508
20190223,3.237894
20190224,3.5185752
20190225,3.1980744
20190226,2.8421604
20190227,3.09501
20190228,3.854304
20190301,3.311442
20190302,3.7826676
20190303,3.2396112
20190304,3.594132
20190305,3.0017628
20190306,2.8950696
20190307,3.0065256
20190308,3.3569316
20190309,3.794364
20190310,3.237732
20190311,3.6514152
20190312,3.0440448
20190313,2.9953476
20190314,3.047868
20190315,3.375918
20190316,3.9959892
20190317,3.3916968
20190318,3.7664352
20190319,3.17034
20190320,3.1182084
20190321,3.1294836
20190322,3.4430508
20190323,4.182354
20190324,3.7407744
20190325,3.9150216
20190326,3.2652396
20190327,3.1729644
20190328,3.18654
20190329,3.3562512
20190330,4.0533048
20190331,4.5700524
20190401,3.9213072
20190402,3.719196
20190403,4.0494816
20190404,5.49504
20190405,10.0544976
20190406,5.7022704
20190407,5.5141884
20190408,5.2106328
20190409,3.6321696
20190410,3.5524656
20190411,3.6500868
20190412,3.9999744
20200101,2.8301724
20200102,2.885868
20200103,4.7580696
20200104,5.524524
20200105,5.1445368
20200106,4.6594116
20200107,4.835214
20200108,5.4946512
20200109,6.0151572
20200110,5.3398764
20200111,5.6794284
20200112,5.3388072
20200113,5.1239628
20200114,4.5200592
20200115,4.6871784
20200116,4.9217868
20200117,5.0071932
20200118,5.1489108
20200119,5.5336608
20200120,5.9718708
20200121,7.012818
20200122,6.6174732
20200123,6.4302984
20200124,5.1361128
20200125,2.5204932
20200126,2.0054952
20200127,1.3991616
20200128,1.0397484
20200129,0.8480376
20200130,0.840942
20200131,0.7331472
20200201,0.6667272
20200202,0.7266996
20200203,0.6883704
20200204,0.5409828
20200205,0.4882032
20200206,0.4352292
20200207,0.4910544
20200208,0.4638384
20200209,0.523584
20200210,0.6417144
20200211,0.4481568
20200212,0.4298832
20200213,0.471906
20200214,0.4508136
20200215,0.359802
20200216,0.5172984
20200217,0.6372432
20200218,0.5541696
20200219,0.5415336
20200220,0.5729616
20200221,0.580284
20200222,0.6111936
20200223,0.6514344
20200224,0.7782156
20200225,0.721062
20200226,0.7655472
20200227,0.7961652
20200228,0.8058528
20200229,0.7993728
20200301,0.8530272
20200302,1.0318752
20200303,0.9359712
20200304,0.9134856
20200305,0.9747216
20200306,0.9780912
20200307,0.9956196
20200308,0.9686304
20200309,1.1359116
20200310,1.0907784
20200311,1.140966
20200312,1.1630628
20200313,1.18908
20200314,1.2670344
20200315,1.2549816
20200316,1.4088816
20200317,1.3085064
20200318,1.3119408
20200319,1.3273956
20200320,1.42398
20200321,1.5211152
20200322,1.43127
20200323,1.6610184
20200324,1.5436332
