Date,Value
20190112,0.1032912
20190113,0.1101276
20190114,0.1201392
20190115,0.1120068
20190116,0.1133028
20190117,0.1032912
20190118,0.1026756
20190119,0.11016
20190120,0.1064988
20190121,0.106272
20190122,0.0995652
20190123,0.1023516
20190124,0.1013472
20190125,0.1087668
20190126,0.1056564
20190127,0.111618
20190128,0.1005372
20190129,0.104976
20190130,0.1004724
20190131,0.1099332
20190201,0.1077624
20190202,0.102384
20190203,0.1033884
20190204,0.1020276
20190205,0.0770148
20190206,0.0821664
20190207,0.0899748
20190208,0.1005696
20190209,0.0930204
20190210,0.0953532
20190211,0.1159596
20190212,0.131058
20190213,0.1533816
20190214,0.1593432
20190215,0.1546128
20190216,0.15228
20190217,0.1592784
20190218,0.1663092
20190219,0.1673136
20190220,0.179334
20190221,0.2115396
20190222,0.2422548
20190223,0.2476332
20190224,0.2972376
20190225,0.2419632
20190226,0.23652
20190227,0.3283092
20190228,0.3020976
20190301,0.2373624
20190302,0.2403756
20190303,0.2749464
20190304,0.2278368
20190305,0.2488644
20190306,0.2309472
20190307,0.2259252
20190308,0.2414124
20190309,0.2265732
20190310,0.2053512
20190311,0.2165616
20190312,0.2315952
20190313,0.2556036
20190314,0.2163996
20190315,0.2137428
20190316,0.2187
20190317,0.2094012
20190318,0.206712
20190319,0.222426
20190320,0.2190888
20190321,0.2074572
20190322,0.2022732
20190323,0.20412
20190324,0.2033748
20190325,0.2248884
20190326,0.2082348
20190327,0.2038284
20190328,0.2164644
20190329,0.2004588
20190330,0.1951128
20190331,0.2586492
20190401,0.2014308
20190402,0.210276
20190403,0.2011716
20190404,0.2001996
20190405,0.2160756
20190406,0.2343492
20190407,0.2245968
20190408,0.2358396
20190409,0.2676564
20190410,0.271188
20190411,0.2439396
20190412,0.2388852
20200101,0.07857
20200102,0.1089612
20200103,0.1350432
20200104,0.1562328
20200105,0.1602504
20200106,0.1738584
20200107,0.1848744
20200108,0.194724
20200109,0.2265732
20200110,0.1598616
20200111,0.1426248
20200112,0.1601856
20200113,0.1542888
20200114,0.1437588
20200115,0.1340712
20200116,0.1347516
20200117,0.1280124
20200118,0.121014
20200119,0.12474
20200120,0.1138536
20200121,0.12231
20200122,0.1217916
20200123,0.1237032
20200124,0.1136268
20200125,0.083106
20200126,0.0847584
20200127,0.0795096
20200128,0.0904608
20200129,0.0840456
20200130,0.086508
20200131,0.0711828
20200201,0.0631152
20200202,0.0758808
20200203,0.0698544
20200204,0.0504144
20200205,0.0427356
20200206,0.037746
20200207,0.0431568
20200208,0.0414396
20200209,0.0511596
20200210,0.0512244
20200211,0.0465588
20200212,0.0430272
20200213,0.0480168
20200214,0.0472068
20200215,0.046008
20200216,0.0538812
20200217,0.057186
20200218,0.0499932
20200219,0.05346
20200220,0.0606852
20200221,0.0601668
20200222,0.0671004
20200223,0.0627912
20200224,0.0726408
20200225,0.0794772
20200226,0.0755568
20200227,0.1026432
20200228,0.1040688
20200229,0.11583
20200301,0.113076
20200302,0.1238976
20200303,0.1093824
20200304,0.1161216
20200305,0.1301508
20200306,0.1251288
20200307,0.1243512
20200308,0.123444
20200309,0.1238652
20200310,0.1423008
20200311,0.134784
20200312,0.1327104
20200313,0.12474
20200314,0.1249344
20200315,0.1222776
20200316,0.1235412
20200317,0.1261656
20200318,0.1238976
20200319,0.1331964
20200320,0.1326456
20200321,0.1203984
20200322,0.1352376
20200323,0.132354
20200324,0.1246428
