Date,Value
20190112,1.9575756
20190113,1.9041156
20190114,1.9657728
20190115,1.9761732
20190116,2.0065644
20190117,2.138886
20190118,2.1722904
20190119,2.2614876
20190120,2.3141052
20190121,2.447658
20190122,2.6432244
20190123,2.727432
20190124,2.9392956
20190125,3.2757696
20190126,3.6369324
20190127,3.8463012
20190128,3.898368
20190129,3.8598444
20190130,3.7813068
20190131,3.963492
20190201,3.9788172
20190202,3.691008
20190203,3.3488316
20190204,3.1290624
20190205,2.4559524
20190206,3.259116
20190207,4.0282272
20190208,4.5761112
20190209,5.244426
20190210,6.079212
20190211,5.4420984
20190212,4.7614068
20190213,4.7626056
20190214,4.8495348
20190215,4.755348
20190216,4.5978192
20190217,4.3365456
20190218,4.0931568
20190219,3.6029124
20190220,3.6989136
20190221,4.0726152
20190222,3.9567528
20190223,3.9412008
20190224,4.434912
20190225,3.2037768
20190226,3.0970512
20190227,3.6087768
20190228,3.5767332
20190301,2.933496
20190302,2.9270808
20190303,2.7967356
20190304,2.6815536
20190305,2.7021276
20190306,2.50209
20190307,2.385126
20190308,2.4275376
20190309,2.3382432
20190310,2.2776552
20190311,2.3114808
20190312,2.2477176
20190313,2.2310316
20190314,2.2013856
20190315,2.2370256
20190316,2.338308
20190317,2.1859632
20190318,2.2410432
20190319,2.1525588
20190320,2.1470508
20190321,2.1020796
20190322,2.130624
20190323,2.15136
20190324,2.040714
20190325,2.1112164
20190326,2.0559744
20190327,2.0470644
20190328,2.0728548
20190329,2.1323736
20190330,2.2365072
20190331,2.7530928
20190401,2.2762296
20190402,2.3917032
20190403,2.5384752
20190404,2.776842
20190405,3.4875684
20190406,2.7297324
20190407,2.6748468
20190408,2.69082
20190409,2.2957668
20190410,2.2827096
20190411,2.2486896
20190412,2.3217192
20200101,1.6085628
20200102,1.6433928
20200103,2.2685508
20200104,2.7800172
20200105,2.6633124
20200106,2.7105192
20200107,2.8488348
20200108,3.202902
20200109,3.7107072
20200110,2.9870208
20200111,3.051918
20200112,2.9954772
20200113,3.1451004
20200114,3.3208704
20200115,3.5791632
20200116,3.8011032
20200117,4.0560264
20200118,4.1112036
20200119,4.1675472
20200120,4.283766
20200121,4.9372092
20200122,4.3190496
20200123,3.87585
20200124,3.4161588
20200125,2.0531232
20200126,2.4473664
20200127,2.944026
20200128,2.618406
20200129,2.1288096
20200130,1.7417268
20200131,1.4241096
20200201,1.1713896
20200202,1.2293208
20200203,0.9497412
20200204,0.7270236
20200205,0.6861996
20200206,0.6954984
20200207,0.749736
20200208,0.8058852
20200209,0.7614324
20200210,0.7266024
20200211,0.6508512
20200212,0.6623856
20200213,0.7481808
20200214,0.7714116
20200215,0.7485372
20200216,0.79785
20200217,0.8696484
20200218,0.9500328
20200219,1.1251548
20200220,1.2394944
20200221,1.3080852
20200222,1.5585696
20200223,1.7570844
20200224,1.863324
20200225,2.1132252
20200226,2.3134896
20200227,2.4184332
20200228,2.4913332
20200229,2.4665472
20200301,2.4542028
20200302,2.61873
20200303,2.4156468
20200304,2.3154012
20200305,2.2729896
20200306,2.3892084
20200307,2.362446
20200308,2.15217
20200309,2.134674
20200310,2.3160492
20200311,2.2080276
20200312,2.2663476
20200313,2.1932208
20200314,2.092554
20200315,1.9945764
20200316,2.0202372
20200317,1.956474
20200318,2.0244816
20200319,1.9575432
20200320,1.8745344
20200321,1.866078
20200322,1.8828288
20200323,1.8263232
20200324,1.7680032
