Date,Value
20190112,6.4232352
20190113,5.3700732
20190114,5.8201092
20190115,5.597586
20190116,5.5107216
20190117,5.5833948
20190118,5.8689684
20190119,6.688332
20190120,5.6416176
20190121,5.9034096
20190122,5.9980176
20190123,6.1902792
20190124,6.1462152
20190125,6.4990836
20190126,7.4464596
20190127,6.6339648
20190128,6.589998
20190129,6.1292376
20190130,6.1738524
20190131,6.1996428
20190201,6.4885212
20190202,6.338736
20190203,6.0802812
20190204,6.0716628
20190205,6.1560324
20190206,9.1145088
20190207,10.3260744
20190208,10.739304
20190209,11.6265456
20190210,15.3051768
20190211,20.0886804
20190212,20.0822328
20190213,21.4780572
20190214,22.5155376
20190215,21.5242272
20190216,20.4281676
20190217,20.3477832
20190218,19.413108
20190219,14.7379176
20190220,15.8302512
20190221,22.2330096
20190222,20.9558988
20190223,20.7996012
20190224,18.7817616
20190225,15.0841116
20190226,13.3687584
20190227,14.438736
20190228,13.6753272
20190301,10.8798228
20190302,10.4749848
20190303,9.2648124
20190304,9.0993132
20190305,9.2520468
20190306,8.4921372
20190307,8.2197828
20190308,8.2171584
20190309,9.235296
20190310,7.876278
20190311,8.4903552
20190312,8.0740152
20190313,8.110044
20190314,7.528302
20190315,8.2089612
20190316,9.473922
20190317,7.6863816
20190318,8.1059616
20190319,7.6300056
20190320,7.6449096
20190321,7.3161792
20190322,7.8360696
20190323,9.4540932
20190324,7.5278484
20190325,8.3350944
20190326,7.978338
20190327,7.823628
20190328,7.4922084
20190329,7.9054704
20190330,8.9842284
20190331,10.2995712
20190401,7.732584
20190402,7.9427304
20190403,8.1478224
20190404,9.624582
20190405,16.8223068
20190406,13.9337496
20190407,15.1270416
20190408,14.2649748
20190409,10.5788268
20190410,9.6118164
20190411,9.29475
20190412,9.8364132
20200101,4.642272
20200102,5.3414964
20200103,7.6059648
20200104,8.3184084
20200105,7.7609016
20200106,7.6636692
20200107,7.5275244
20200108,8.0195508
20200109,8.4476844
20200110,7.74522
20200111,8.3571588
20200112,6.9340536
20200113,6.8484528
20200114,6.5194632
20200115,6.608466
20200116,6.5939832
20200117,6.7141872
20200118,7.2268848
20200119,6.7973256
20200120,6.7844304
20200121,7.7281128
20200122,6.9117624
20200123,6.5742516
20200124,6.2030772
20200125,3.3996024
20200126,3.7441116
20200127,4.642272
20200128,4.7847348
20200129,4.300776
20200130,4.0356792
20200131,3.6726372
20200201,2.587302
20200202,2.730834
20200203,2.1558636
20200204,1.2755232
20200205,0.9958464
20200206,0.9017244
20200207,0.8120088
20200208,0.8702316
20200209,0.952398
20200210,1.0683576
20200211,1.005048
20200212,1.1856456
20200213,1.6137144
20200214,1.9686564
20200215,2.3318928
20200216,2.5998084
20200217,3.4503408
20200218,4.7708028
20200219,5.7648024
20200220,7.128486
20200221,7.695
20200222,8.684172
20200223,10.7118612
20200224,9.7167924
20200225,10.7882604
20200226,11.0112372
20200227,10.4608908
20200228,10.0084896
20200229,12.0535452
20200301,10.669968
20200302,11.5895772
20200303,11.6177328
20200304,10.5487596
20200305,9.524142
20200306,10.3047552
20200307,9.7551216
20200308,8.4524472
20200309,8.3394684
20200310,9.3598416
20200311,8.4200472
20200312,8.1604908
20200313,8.1997596
20200314,7.6551804
20200315,7.2048204
20200316,7.9135056
20200317,7.2382572
20200318,7.1034408
20200319,7.254522
20200320,7.476948
20200321,7.6793184
20200322,7.8744312
20200323,8.4108456
20200324,7.3892412
