Date,Value
20200321,4.5544
20200320,5.1586
20200323,5.1893
20200322,4.3967
20200325,5.1822
20200324,5.2172
20190310,4.3003
20190311,4.8766
20200208,2.7553
20200209,2.5509
20190314,4.8529
20190315,4.9718
20190316,4.582
20190317,4.2356
20200202,2.7687
20200203,3.3798
20200201,2.7806
20200206,3.1261
20200207,3.1268
20200204,3.2293
20200205,3.1601
20200129,2.7717
20200128,2.7562
20200123,4.392
20200122,4.757
20200121,4.9217
20200120,5.0678
20200127,2.938
20200126,3.2763
20200125,3.4938
20200124,4.0921
20200311,4.7196
20190130,4.3217
20200217,3.3686
20200108,5.5462
20200219,3.4554
20200218,3.3689
20190303,4.2362
20190302,4.4394
20190301,4.9098
20190307,4.7249
20190306,4.7022
20190305,4.8057
20190304,4.6931
20200215,2.5981
20200214,3.162
20190309,4.3969
20200216,2.5636
20200211,3.2217
20200210,3.2214
20200213,3.2501
20200212,3.2285
20190224,3.92
20190225,4.5449
20190226,4.5298
20190227,4.6781
20190220,4.4846
20190221,4.4862
20190222,4.5651
20190223,4.1627
20200116,5.3823
20200117,5.343
20200114,5.4039
20200115,5.3996
20190228,4.8114
20200113,5.457
20200110,5.5607
20200111,4.9293
20190308,4.9739
20200101,5.0112
20200103,5.6421
20200102,5.5474
20200105,4.6029
20200104,4.9549
20200107,5.4686
20200106,5.5236
20200109,5.5386
20190131,4.4504
20200118,4.6788
20200119,5.0684
20190312,4.8773
20190328,4.7677
20190313,4.8534
20190321,4.83
20190320,4.859
20190323,4.4528
20190322,4.9341
20190325,4.8345
20190324,4.2747
20190327,4.715
20190326,4.8064
20190208,3.3666
20190209,3.3925
20190202,4.1168
20190203,3.6304
20190201,4.1216
20190206,3.4703
20190207,3.265
20190204,3.7128
20190205,3.5916
20190318,4.8277
20190129,4.4913
20190128,4.6087
20190319,4.9055
20190123,4.6155
20190122,4.5903
20190121,4.5739
20190120,3.9631
20190127,3.922
20190126,4.0776
20190125,4.6024
20190124,4.6787
20190219,4.7329
20190218,4.6411
20190215,4.3669
20190214,4.3646
20190217,3.7379
20190216,3.9265
20190211,4.2501
20190210,3.6032
20190213,4.3258
20190212,4.3492
20190118,4.783
20190119,4.1643
20190116,4.7873
20190117,4.7851
20190114,4.7804
20190115,4.859
20190112,4.3747
20190113,4.2151
20200310,4.8071
20200112,4.7611
20200312,4.7599
20200313,4.8524
20200314,4.3028
20200315,4.1043
20200316,5.0388
20200317,5.0104
20200318,5.0296
20200319,5.0152
20200303,4.5654
20200302,4.5858
20200301,3.6489
20200307,4.007
20200306,4.6649
20200305,4.561
20200304,4.5948
20200309,4.7719
20200308,3.8053
20200224,4.2624
20200225,4.137
20200226,4.1642
20200227,4.2972
20200220,3.4153
20200221,3.644
20200222,3.3739
20200223,3.4446
20200228,4.2592
20200229,3.656
20200130,2.6757
20200131,2.8019
