Date,Value
20200321,3.5034
20200320,3.5764
20200323,3.3717
20200322,3.5379
20200324,3.3683
20190310,3.6538
20190311,3.5482
20200208,1.2343
20200209,1.1606
20190314,3.5651
20190315,3.7816
20190316,3.7521
20190317,3.5256
20200202,1.4164
20200203,1.4613
20200201,1.4686
20200206,1.3643
20200207,1.3253
20200204,1.3669
20200205,1.3828
20200129,1.6685
20200128,1.8405
20200123,3.3267
20200122,3.2816
20200121,3.2621
20200120,3.3784
20200127,2.2518
20200126,2.963
20200125,3.1164
20200124,3.2855
20200311,3.008
20190130,3.5628
20200217,1.0321
20200108,3.4335
20200219,0.8917
20200218,0.9622
20190303,3.6462
20190302,3.6979
20190301,3.7476
20190307,3.4557
20190306,3.4062
20190305,3.508
20190304,3.4122
20200215,0.9813
20200214,1.0217
20190309,3.6057
20200216,1.0043
20200211,1.1417
20200210,1.1951
20200213,1.0572
20200212,1.0833
20190224,3.3918
20190225,3.4498
20190226,3.3683
20190227,3.5263
20190220,3.5607
20190221,3.5132
20190222,3.5192
20190223,3.4477
20200116,3.384
20200117,3.3653
20200114,3.4047
20200115,3.4808
20190228,3.6026
20200113,3.5005
20200110,3.513
20200111,3.2878
20190308,3.8244
20200101,3.4426
20200103,3.5177
20200102,3.4379
20200105,3.2341
20200104,3.2922
20200107,3.4456
20200106,3.4397
20200109,3.4444
20190131,3.685
20200118,3.2535
20200119,3.2909
20190312,3.5291
20190328,3.4837
20190313,3.5864
20190321,3.5632
20190320,3.5807
20190323,3.6573
20190322,3.794
20190325,3.5845
20190324,3.642
20190327,3.52
20190326,3.4558
20190208,3.5513
20190209,3.5412
20190202,3.6479
20190203,3.377
20190201,3.3837
20190206,3.6116
20190207,3.4778
20190204,3.6425
20190205,3.627
20190318,3.5074
20190129,3.5248
20190128,3.5841
20190319,3.5207
20190123,3.5847
20190122,3.5281
20190121,3.6323
20190120,3.6121
20190127,3.3843
20190126,3.4713
20190125,3.5655
20190124,3.6226
20190219,3.4904
20190218,3.6634
20190215,3.5361
20190214,3.5267
20190217,3.3278
20190216,3.3879
20190211,3.6586
20190210,3.5242
20190213,3.6057
20190212,3.6011
20190118,3.7294
20190119,3.6164
20190116,3.6129
20190117,3.6711
20190114,3.6178
20190115,3.7074
20190112,3.5206
20190113,3.5001
20200310,2.9548
20200112,3.2802
20200312,3.1081
20200313,3.2208
20200314,3.1857
20200315,3.1973
20200316,3.3748
20200317,3.4167
20200318,3.413
20200319,3.4243
20200303,1.1026
20200302,1.058
20200301,1.0094
20200307,2.1652
20200306,1.8852
20200305,1.1125
20200304,1.1018
20200309,2.9532
20200308,2.6509
20200224,0.9165
20200225,0.9226
20200226,0.958
20200227,0.943
20200220,0.8778
20200221,0.8869
20200222,0.8801
20200223,0.8871
20200228,0.9337
20200229,0.9944
20200130,1.6407
20200131,1.5421
