Date,Value
20200321,4.7611
20200320,5.3815
20200323,5.3719
20200322,4.7021
20200324,5.4175
20190310,4.5474
20190311,5.1015
20200208,2.433
20200209,2.3617
20190314,5.0693
20190315,5.2447
20190316,4.7464
20190317,4.5629
20200202,2.6983
20200203,2.8657
20200201,2.7611
20200206,2.6348
20200207,2.5911
20200204,2.7503
20200205,2.7028
20200129,2.9777
20200128,3.0665
20200123,4.0859
20200122,4.3813
20200121,4.6323
20200120,4.8366
20200127,3.219
20200126,3.3551
20200125,3.8902
20200124,3.9248
20200311,4.715
20190130,4.1728
20200217,3.1865
20200108,5.6199
20200219,3.2661
20200218,3.1352
20190303,4.4312
20190302,4.5208
20190301,5.097
20190307,4.967
20190306,4.9495
20190305,4.9874
20190304,4.9908
20200215,2.5024
20200214,2.8339
20190309,4.6201
20200216,2.5073
20200211,2.7827
20200210,2.7791
20200213,2.7847
20200212,2.8633
20190224,4.1437
20190225,4.7716
20190226,4.7726
20190227,4.8477
20190220,4.4854
20190221,4.5138
20190222,4.6989
20190223,4.264
20200116,5.3212
20200117,5.2519
20200114,5.4665
20200115,5.36
20190228,5.0588
20200113,5.6482
20200110,5.6189
20200111,5.0323
20190308,5.3199
20200101,5.1098
20200103,5.7514
20200102,5.6397
20200105,4.6601
20200104,4.9871
20200107,5.5547
20200106,5.5002
20200109,5.5909
20190131,4.1631
20200118,4.5546
20200119,4.8616
20190312,4.9743
20190328,5.0772
20190313,4.9773
20190321,5.1491
20190320,5.047
20190323,4.7923
20190322,5.1902
20190325,5.1197
20190324,4.5669
20190327,5.0928
20190326,5.1076
20190208,3.2704
20190209,3.2661
20190202,3.976
20190203,3.6273
20190201,4.0844
20190206,3.3965
20190207,3.2765
20190204,3.607
20190205,3.5018
20190318,5.1203
20190129,4.4498
20190128,4.5962
20190319,5.1287
20190123,4.6511
20190122,4.5499
20190121,4.6398
20190120,4.0749
20190127,4.0481
20190126,4.3139
20190125,4.8384
20190124,4.7147
20190219,4.6296
20190218,4.5376
20190215,4.379
20190214,4.3057
20190217,3.8408
20190216,3.9704
20190211,4.0285
20190210,3.4806
20190213,4.2458
20190212,4.195
20190118,4.7361
20190119,4.211
20190116,4.6526
20190117,4.6943
20190114,5.1045
20190115,4.7758
20190112,4.5119
20190113,4.4587
20200310,4.6355
20200112,5.0053
20200312,4.677
20200313,4.9139
20200314,4.356
20200315,4.3106
20200316,5.1067
20200317,5.1219
20200318,5.0879
20200319,5.1595
20200303,4.3663
20200302,4.3632
20200301,3.647
20200307,3.9657
20200306,4.6238
20200305,4.4438
20200304,4.3796
20200309,4.6703
20200308,3.8312
20200224,3.8366
20200225,3.822
20200226,3.8296
20200227,3.9593
20200220,3.1743
20200221,3.275
20200222,2.8847
20200223,2.9629
20200228,4.1763
20200229,3.6184
20200130,2.7901
20200131,2.8651
