Date,Value
20200321,4.4492
20200320,4.9269
20200323,4.7923
20200322,4.2385
20200324,4.718
20190310,4.1353
20190311,4.0329
20200208,2.3558
20200209,2.5531
20190314,3.9744
20190315,4.4259
20190316,4.073
20190317,3.9515
20200202,2.703
20200203,2.7507
20200201,2.7635
20200206,2.1175
20200207,2.3246
20200204,2.5732
20200205,2.3387
20200129,3.1205
20200128,3.2782
20200123,5.5897
20200122,5.9921
20200121,5.9748
20200120,5.9285
20200127,3.5857
20200126,4.4714
20200125,5.2889
20200124,5.0116
20200311,4.7575
20190130,4.8244
20200217,3.6853
20200108,4.9171
20200219,3.6284
20200218,3.5861
20190303,4.208
20190302,3.9616
20190301,4.3998
20190307,3.8565
20190306,3.8681
20190305,3.9981
20190304,3.9759
20200215,2.9855
20200214,3.2443
20190309,3.8758
20200216,3.3021
20200211,3.3439
20200210,3.1309
20200213,3.4924
20200212,3.4678
20190224,3.9976
20190225,4.0906
20190226,3.9094
20190227,3.9911
20190220,4.9325
20190221,4.3088
20200118,5.4186
20190223,4.0378
20200116,5.5706
20200117,5.6142
20200114,5.3731
20200115,5.3592
20190228,4.1412
20200113,5.4407
20200110,5.1802
20200111,5.0398
20190308,4.3501
20200101,4.5582
20200103,5.0655
20200102,4.888
20200105,4.5098
20200104,4.5418
20200107,4.8971
20200106,4.7228
20200109,5.1704
20190131,5.1841
20190222,4.4667
20200119,5.7384
20190312,4.0782
20190328,3.8666
20190313,3.8679
20190321,3.7632
20190320,4.008
20190323,3.9013
20190322,4.1666
20190325,3.9918
20190324,3.9936
20190327,3.9017
20190326,3.9035
20190208,5.5299
20190209,5.3551
20190202,5.2077
20190203,4.5748
20190201,5.0422
20190206,5.86
20190207,5.7517
20190204,4.472
20190205,5.166
20190318,3.9076
20190129,5.1541
20190128,4.959
20190319,3.9335
20190123,4.7045
20190122,4.5504
20190121,4.4643
20190120,4.1956
20190127,4.3108
20190126,4.3306
20190125,4.6213
20190124,4.7376
20190219,4.7834
20190218,4.7715
20190215,4.6726
20190214,4.9936
20190217,4.2031
20190216,4.3194
20190211,5.4543
20190210,5.2349
20190213,4.9942
20190212,5.3249
20190118,4.5072
20190119,4.2152
20190116,4.1727
20190117,4.3399
20190114,4.079
20190115,4.2325
20190112,3.8296
20190113,3.9823
20200310,4.7629
20200112,5.0843
20200312,4.7817
20200313,4.721
20200314,4.6837
20200315,4.5618
20200316,4.7843
20200317,4.8288
20200318,4.7909
20200319,4.7731
20200303,4.5779
20200302,4.257
20200301,4.3407
20200307,4.619
20200306,4.7953
20200305,4.7024
20200304,4.7152
20200309,4.6996
20200308,4.4118
20200224,3.9133
20200225,3.9481
20200226,3.8431
20200227,3.5498
20200220,3.4032
20200221,3.5978
20200222,3.4484
20200223,3.4628
20200228,4.2193
20200229,4.3812
20200130,3.079
20200131,2.8906
