Date,Value
20200321,4.7008
20200320,4.7524
20200323,4.8149
20200322,4.6553
20200324,4.7877
20190310,4.6824
20190311,4.6689
20200208,1.4303
20200209,1.5642
20190314,4.6346
20190315,5.0051
20190316,4.9055
20190317,4.5698
20200202,1.5124
20200203,1.5807
20200201,1.4624
20200206,1.3887
20200207,1.5683
20200204,1.495
20200205,1.4142
20200129,1.4969
20200128,1.5898
20200123,5.3633
20200122,5.8726
20200121,5.8486
20200120,5.9141
20200127,1.6669
20200126,2.1168
20200125,3.6407
20200124,4.1379
20200311,4.0996
20190130,5.0463
20200217,1.784
20200108,5.0269
20200219,1.8891
20200218,1.8118
20190303,4.7341
20190302,4.8498
20190301,5.0434
20190307,4.5101
20190306,4.52
20190305,4.7454
20190304,4.6371
20200215,1.5214
20200214,1.5646
20190309,4.6178
20200216,1.5813
20200211,1.6834
20200210,1.7496
20200213,1.6591
20200212,1.685
20190224,4.4793
20190225,4.5723
20190226,4.4768
20190227,4.4824
20190220,5.0591
20190221,4.7592
20190222,4.8568
20190223,4.6156
20200116,5.4228
20200117,5.5607
20200114,5.5112
20200115,5.5136
20190228,4.6196
20200113,5.5461
20200110,5.6005
20200111,5.1221
20190308,4.8884
20200101,4.9316
20200103,5.3958
20200102,5.2991
20200105,3.9612
20200104,5.002
20200107,4.4871
20200106,4.9745
20200109,5.3606
20190131,5.2986
20200118,5.3911
20200119,5.7539
20190312,4.6808
20190328,4.3963
20190313,4.6549
20190321,4.5121
20190320,4.6379
20190323,4.5525
20190322,4.8296
20190325,4.6415
20190324,4.5794
20190327,4.5095
20190326,4.5226
20190208,4.7743
20190209,4.4085
20190202,5.2424
20190203,4.8327
20190201,5.1222
20190206,5.7887
20190207,5.199
20190204,3.8482
20190205,4.8185
20190318,4.6055
20190129,5.2182
20190128,5.1019
20190319,4.6029
20190123,4.9968
20190122,4.9008
20190121,4.9217
20190120,4.5057
20190127,4.6625
20190126,4.7156
20190125,4.8526
20190124,4.9986
20190219,4.5719
20190218,5.0059
20190215,4.5522
20190214,3.7995
20190217,4.636
20190216,4.7324
20190211,5.0873
20190210,4.1029
20190213,4.7119
20190212,5.1843
20190118,4.8947
20190119,4.3541
20190116,4.5177
20190117,4.7062
20190114,4.5662
20190115,4.5644
20190112,4.3802
20190113,4.3847
20200310,4.0453
20200112,5.2093
20200312,4.1065
20200313,4.1194
20200314,4.1701
20200315,4.2691
20200316,4.4606
20200317,4.6282
20200318,4.6569
20200319,4.6595
20200303,3.4779
20200302,3.3043
20200301,2.9316
20200307,3.6946
20200306,3.687
20200305,3.5456
20200304,3.4574
20200309,3.7111
20200308,3.5739
20200224,2.3042
20200225,2.3917
20200226,2.3779
20200227,2.3328
20200220,1.8944
20200221,2.1596
20200222,2.2271
20200223,2.1903
20200228,2.4153
20200229,2.6452
20200130,1.5239
20200131,1.5116
