Date,Value
20200321,4.6214
20200320,4.7454
20200323,4.8087
20200322,4.5438
20200324,4.7443
20190310,4.4407
20190311,4.5714
20200208,2.4296
20200209,2.0821
20190314,4.5425
20190315,4.8169
20190316,4.6352
20190317,4.3091
20200202,2.9607
20200203,2.9369
20200201,3.1654
20200206,2.5786
20200207,2.4703
20200204,2.8331
20200205,2.7156
20200129,3.8299
20200128,4.0186
20200123,5.312
20200122,5.4861
20200121,5.4544
20200120,5.4899
20200127,4.575
20200126,4.8787
20200125,4.3775
20200124,4.5751
20200311,4.449
20190130,4.7972
20200217,2.4817
20200108,5.0246
20200219,2.873
20200218,2.5983
20190303,4.455
20190302,4.585
20190301,4.8835
20190307,4.4856
20190306,4.4087
20190305,4.5961
20190304,4.4962
20200215,2.1256
20200214,2.173
20190309,4.3754
20200216,2.1635
20200211,2.101
20200210,2.1726
20200213,2.0675
20200212,2.1688
20190224,4.3373
20190225,4.4723
20190226,4.4018
20190227,4.5229
20190220,4.8666
20190221,4.671
20190222,4.6918
20200119,5.2575
20200116,5.4283
20200117,5.4164
20200114,5.2929
20200115,5.294
20190228,4.6755
20200113,5.2977
20200110,5.2498
20200111,4.9202
20190308,4.9148
20200101,4.8772
20200103,5.0563
20200102,5.0234
20200105,4.6634
20200104,4.7453
20200107,4.9215
20200106,4.9949
20200109,5.1432
20190131,5.0659
20200118,5.0471
20190223,4.4092
20190312,4.5682
20190328,4.5107
20190313,4.5743
20190321,4.4315
20190320,4.5054
20190323,4.4892
20190322,4.7957
20190325,4.6429
20190324,4.487
20190327,4.4893
20190326,4.5306
20190208,4.8042
20190209,4.794
20190202,5.0158
20190203,4.5803
20190201,4.7818
20190206,5.0346
20190207,4.9103
20190204,4.4607
20190205,4.7477
20190318,4.5898
20190129,4.9019
20190128,4.9918
20190319,4.5763
20190123,4.6709
20190122,4.6444
20190121,4.738
20190120,4.4404
20190127,4.4531
20190126,4.4821
20190125,4.7503
20190124,4.8009
20190219,4.9759
20190218,4.8571
20190215,4.4867
20190214,4.8029
20190217,4.2674
20190216,4.3492
20190211,4.966
20190210,4.8765
20190213,4.9021
20190212,4.9707
20190118,4.7452
20190119,4.4871
20190116,4.5825
20190117,4.6638
20190114,4.5708
20190115,4.725
20190112,4.3365
20190113,4.2476
20200310,4.2461
20200112,4.8814
20200312,4.3159
20200313,4.5064
20200314,4.3587
20200315,4.2552
20200316,4.5623
20200317,4.6171
20200318,4.5942
20200319,4.6176
20200303,3.633
20200302,4.0371
20200301,3.6614
20200307,3.9464
20200306,4.0662
20200305,4.0404
20200304,3.9104
20200309,4.2124
20200308,3.9106
20200224,3.8344
20200225,3.66
20200226,3.6453
20200227,3.689
20200220,3.0385
20200221,3.4484
20200222,3.2327
20200223,3.4164
20200228,3.6484
20200229,3.6536
20200130,3.6157
20200131,3.359
