Date,Value
20200321,4.3379
20200320,4.5474
20200323,4.7077
20200322,4.2515
20200324,4.708
20190310,4.0247
20190311,4.3936
20200208,2.2372
20200209,1.9923
20190314,4.3351
20190315,4.5341
20190316,4.1321
20190317,3.8321
20200202,2.5483
20200203,2.7553
20200201,2.6021
20200206,2.27
20200207,2.2569
20200204,2.5464
20200205,2.3729
20200129,3.0145
20200128,3.525
20200123,4.8089
20200122,5.0729
20200121,5.1799
20200120,5.2185
20200127,4.2247
20200126,4.4056
20200125,4.2024
20200124,4.3364
20190130,4.4421
20200217,2.4222
20200108,5.0577
20200219,2.8125
20200218,2.5316
20190303,4.0205
20190302,4.1286
20190301,4.5596
20190307,4.3263
20190306,4.2409
20190305,4.4181
20190304,4.3067
20200215,1.92
20200214,2.3878
20190309,3.9557
20200216,1.8043
20200211,2.2375
20200210,2.308
20200213,2.3584
20200212,2.2778
20190224,3.8253
20190225,4.2828
20190226,4.1768
20190227,4.2642
20190220,4.4265
20190221,4.342
20190222,4.3813
20190223,3.9423
20200116,5.306
20200117,5.3055
20200114,5.1861
20200115,5.2016
20200112,4.6126
20200113,5.2404
20200110,5.1845
20200111,4.6427
20190308,4.6509
20200101,4.6873
20200103,5.1066
20200102,5.099
20200105,4.4735
20200104,4.5994
20200107,5.0596
20200106,5.1443
20200109,5.0621
20190131,4.5454
20200118,4.8015
20200119,5.0774
20190312,4.4431
20190328,4.3668
20190313,4.337
20190321,4.1759
20190320,4.4223
20190323,4.0093
20190322,4.4391
20190325,4.4402
20190324,4.0431
20190327,4.3659
20190326,4.3923
20190208,4.1842
20190209,4.1089
20190202,4.3669
20190203,3.846
20190201,4.2583
20190206,4.2473
20190207,4.4452
20190204,3.8353
20190205,4.0413
20190318,4.3721
20190129,4.534
20190128,4.5878
20190319,4.3888
20190123,4.3701
20190122,4.3573
20190121,4.4452
20190120,3.9414
20190127,3.9653
20190126,3.9989
20190125,4.3934
20190124,4.5073
20190219,4.3196
20190218,4.4979
20190215,4.1582
20190214,4.3798
20190217,3.7802
20190216,3.844
20190211,4.4525
20190210,4.1196
20190213,4.4181
20190212,4.4334
20190118,4.4483
20190119,4.0517
20190116,4.2716
20190117,4.3599
20190114,4.395
20190115,4.4244
20190112,3.94
20190113,3.8704
20190228,4.4316
20200310,3.7782
20200311,4.1183
20200312,4.0364
20200313,4.3343
20200314,4.0111
20200315,3.8347
20200316,4.557
20200317,4.4066
20200318,4.5348
20200319,4.1728
20200303,3.6267
20200302,3.6683
20200301,3.1135
20200307,3.3177
20200306,3.7198
20200305,3.6672
20200304,3.5379
20200309,3.7937
20200308,3.5088
20200224,3.5853
20200225,3.37
20200226,3.3986
20200227,3.4149
20200220,3.0346
20200221,3.0914
20200222,2.6207
20200223,2.7881
20200228,3.3776
20200229,3.109
20200130,2.7661
20200131,2.7495
