Date,Value
20200321,4.4283
20200320,4.6606
20200323,4.7148
20200322,4.36
20200324,4.6713
20190310,4.1124
20190311,4.2101
20200208,1.8603
20200209,1.7619
20190314,4.2625
20190315,4.3995
20190316,4.113
20190317,3.8416
20200202,2.3128
20200203,2.4868
20200201,2.3297
20200206,2.1581
20200207,2.0751
20200204,2.4208
20200205,2.3268
20200129,2.8872
20200128,2.9869
20200123,4.876
20200122,5.1062
20200121,5.039
20200120,4.9796
20200127,3.2947
20200126,3.5703
20200125,3.5639
20200124,4.1645
20200311,4.4617
20190130,4.399
20200217,2.5098
20200108,4.7216
20200219,2.6353
20200218,2.6003
20190303,4.1195
20190302,4.1282
20190301,4.4729
20190307,4.0798
20190306,4.0647
20190305,4.2744
20190304,4.1374
20200215,1.9809
20200214,1.9756
20190309,3.9916
20200216,2.0404
20200211,1.9099
20200210,1.916
20200213,1.9626
20200212,1.9377
20190224,3.7353
20190225,4.2033
20190226,3.9981
20190227,4.1773
20190220,4.5276
20190221,4.2476
20190222,4.3095
20190223,4.0535
20200116,4.7459
20200117,5.022
20200114,4.8556
20200115,4.3401
20190228,4.32
20200113,4.9129
20200110,4.101
20200111,4.1934
20190308,4.459
20200101,4.5465
20200103,4.7809
20200102,4.6978
20200105,4.1564
20200104,4.2613
20200107,4.5585
20200106,4.4869
20200109,4.4934
20190131,4.5148
20200118,4.5202
20200119,4.8339
20190312,4.277
20190328,4.0331
20190313,4.2975
20190321,4.1209
20190320,4.0755
20190323,3.9717
20190322,4.3601
20190325,4.1794
20190324,4.0157
20190327,4.0288
20190326,4.0279
20190208,5.1958
20190209,4.7945
20190202,4.682
20190203,4.1975
20190201,4.3984
20190206,5.1672
20190207,5.3382
20190204,4.1741
20190205,4.6707
20190318,4.1326
20190129,4.7412
20190128,4.7705
20190319,4.1719
20190123,4.3151
20190122,4.2588
20190121,4.1421
20190120,3.7542
20190127,4.1165
20190126,4.101
20190125,4.3503
20190124,4.4059
20190219,4.7148
20190218,4.5935
20190215,4.4292
20190214,4.5192
20190217,3.7356
20190216,3.9301
20190211,4.9442
20190210,4.8458
20190213,4.8336
20190212,4.9724
20190118,4.4465
20190119,4.1834
20190116,4.1837
20190117,4.3151
20190114,4.1979
20190115,4.3084
20190112,4.051
20190113,3.9791
20200310,4.4694
20200112,4.4383
20200312,4.4342
20200313,4.5523
20200314,4.2959
20200315,4.1264
20200316,4.5847
20200317,4.5922
20200318,4.5421
20200319,4.5601
20200303,4.2977
20200302,4.3145
20200301,3.8745
20200307,4.1058
20200306,4.3774
20200305,4.2843
20200304,4.3133
20200309,4.4017
20200308,3.7908
20200224,4.223
20200225,4.0939
20200226,4.0335
20200227,3.7728
20200220,2.574
20200221,2.7624
20200222,3.1265
20200223,3.4076
20200228,4.104
20200229,3.9205
20200130,2.8758
20200131,2.7182
