Date,Value
20200321,3.8123
20200320,3.8359
20200323,4.021
20200322,3.92
20200324,3.9942
20190310,4.4122
20190311,4.4274
20200208,1.3364
20200209,1.3619
20190314,4.4357
20190315,4.6748
20190316,4.6329
20190317,4.3319
20200202,1.5184
20200203,1.6466
20200201,1.6027
20200206,1.4481
20200207,1.4281
20200204,1.578
20200205,1.5427
20200129,1.842
20200128,1.8266
20200123,4.6418
20200122,4.9912
20200121,5.0489
20200120,5.1671
20200127,1.8848
20200126,2.3791
20200125,2.5445
20200124,3.5026
20200311,3.2325
20190130,4.3364
20200217,1.5209
20200108,5.1027
20200219,1.6038
20200218,1.5573
20190303,4.342
20190302,4.5131
20190301,4.638
20190307,4.3277
20190306,4.2517
20190305,4.4188
20190304,4.3298
20200215,1.3455
20200214,1.2619
20190309,4.4389
20200216,1.3512
20200211,1.3971
20200210,1.4589
20200213,1.3943
20200212,1.3932
20190224,4.0562
20190225,4.2036
20190226,4.1647
20190227,4.3302
20190220,4.4499
20190221,4.2363
20200118,4.8692
20190223,4.1776
20200116,5.1563
20200117,5.1152
20200114,5.1061
20200115,5.0997
20190228,4.4414
20200113,5.135
20200110,5.2587
20200111,4.9475
20190308,4.6657
20200101,4.7806
20200103,5.1109
20200102,5.0706
20200105,4.5326
20200104,4.8146
20200107,4.8784
20200106,4.4962
20200109,5.1415
20190131,4.449
20190222,4.3191
20200119,5.0996
20190312,4.4343
20190328,4.3405
20190313,4.4516
20190321,4.3897
20190320,4.4118
20190323,4.4768
20190322,4.6295
20190325,4.4919
20190324,4.4143
20190327,4.382
20190326,4.3704
20190208,4.0355
20190209,3.7435
20190202,4.2845
20190203,3.88
20190201,4.2262
20190206,4.2805
20190207,4.0357
20190204,3.1307
20190205,3.7056
20190318,4.3752
20190129,4.3897
20190128,4.3878
20190319,4.4236
20190123,4.3561
20190122,4.3232
20190121,4.3368
20190120,4.0755
20190127,4.0756
20190126,4.1911
20190125,4.352
20190124,4.3974
20190219,4.1477
20190218,4.4439
20190215,4.0538
20190214,3.6402
20190217,4.0224
20190216,4.0918
20190211,4.1439
20190210,3.9986
20190213,4.0231
20190212,3.8384
20190118,4.4234
20190119,4.1978
20190116,4.2815
20190117,4.3525
20190114,4.2742
20190115,4.3739
20190112,4.1243
20190113,3.9833
20200310,3.1671
20200112,4.8002
20200312,3.1956
20200313,3.3054
20200314,3.3861
20200315,3.4203
20200316,3.5422
20200317,3.6324
20200318,3.686
20200319,3.6946
20200303,2.6166
20200302,2.5743
20200301,2.4384
20200307,2.9251
20200306,2.8349
20200305,2.7482
20200304,2.7145
20200309,3.0215
20200308,2.7623
20200224,1.9837
20200225,2.0181
20200226,2.1119
20200227,2.1041
20200220,1.6097
20200221,1.7214
20200222,1.7584
20200223,1.8174
20200228,2.2638
20200229,2.1194
20200130,1.8206
20200131,1.7007
