Date,Value
20200321,4.3239
20200320,4.8522
20200323,4.8133
20200322,4.3153
20200324,4.7503
20190310,4.2937
20190311,4.5362
20200208,1.6304
20200209,1.6333
20190314,4.4948
20190315,4.8152
20190316,4.5568
20190317,4.1806
20200202,2.1452
20200203,2.3264
20200201,2.1125
20200206,1.7808
20200207,1.7796
20200204,2.1755
20200205,2.0095
20200129,2.2686
20200128,2.4383
20200123,5.1212
20200122,5.339
20200121,5.3294
20200120,5.3664
20200127,2.4844
20200126,3.1273
20200125,3.4386
20200124,4.1307
20200311,4.5426
20190130,4.6797
20200217,2.2651
20200108,5.021
20200219,2.4613
20200218,2.3217
20190303,4.2793
20190302,4.3099
20190301,4.7074
20190307,4.3697
20190306,4.3526
20190305,4.5396
20190304,4.4088
20200215,1.7598
20200214,1.9662
20190309,4.3435
20200216,1.7272
20200211,1.9376
20200210,1.9667
20200213,2.0374
20200212,1.9629
20190224,3.9702
20190225,4.3151
20190226,4.0898
20190227,4.4119
20190220,4.6541
20190221,4.2281
20190222,4.4996
20190223,4.14
20200116,5.2238
20200117,5.2976
20200114,5.1506
20200115,4.975
20190228,4.5681
20200113,5.2063
20200110,5.1294
20200111,4.8043
20190308,4.8397
20200101,4.4744
20200103,5.2386
20200102,5.0316
20200105,4.3295
20200104,4.6352
20200107,5.0154
20200106,4.9849
20200109,4.9961
20190131,4.8718
20200118,4.8646
20200119,5.1734
20190312,4.5555
20190328,4.3507
20190313,4.5216
20190321,4.3958
20190320,4.5001
20190323,4.3064
20190322,4.6961
20190325,4.4842
20190324,4.2532
20190327,4.3475
20190326,4.3707
20190208,4.8972
20190209,4.6214
20190202,4.7927
20190203,4.3881
20190201,4.6176
20190206,5.239
20190207,5.1169
20190204,3.8338
20190205,4.5364
20190318,4.4188
20190129,4.8168
20190128,4.7724
20190319,4.4441
20190123,4.5997
20190122,4.4894
20190121,4.5301
20190120,4.0613
20190127,4.1426
20190126,4.2979
20190125,4.685
20190124,4.6851
20190219,4.5271
20190218,4.6009
20190215,4.442
20190214,4.4904
20190217,3.8991
20190216,4.0729
20190211,4.5794
20190210,4.1565
20190213,4.5176
20190212,4.7264
20190118,4.753
20190119,4.3286
20190116,4.39
20190117,4.5715
20190114,4.432
20190115,4.5367
20190112,4.1452
20190113,4.0833
20200310,4.5133
20200112,4.6201
20200312,4.5199
20200313,4.6756
20200314,4.3449
20200315,4.1441
20200316,4.6751
20200317,4.7038
20200318,4.7089
20200319,4.6764
20200303,4.3331
20200302,4.1974
20200301,3.5703
20200307,4.1432
20200306,4.5295
20200305,4.3489
20200304,4.3708
20200309,4.5064
20200308,3.8266
20200224,3.8826
20200225,3.8275
20200226,3.7595
20200227,3.2899
20200220,2.378
20200221,2.7939
20200222,2.806
20200223,2.9303
20200228,3.7983
20200229,3.8006
20200130,2.1973
20200131,2.1356
