Date,Value
20200321,4.047
20200320,4.1581
20200323,4.277
20200322,4.054
20200324,4.2697
20190310,3.9958
20190311,4.0477
20200208,0.964
20200209,0.8544
20190314,4.0342
20190315,4.2
20190316,4.1383
20190317,3.8941
20200202,1.1728
20200203,1.241
20200201,1.2544
20200206,1.0413
20200207,1.0081
20200204,1.1751
20200205,1.0796
20200129,1.4429
20200128,1.7305
20200123,3.5009
20200122,3.6659
20200121,3.7377
20200120,3.8488
20200127,2.3623
20200126,2.882
20200125,3.0351
20200124,3.3571
20200311,3.3652
20190130,3.641
20200217,0.7003
20200108,4.2375
20200219,0.639
20200218,0.6773
20190303,3.8565
20190302,3.9781
20190301,4.139
20190307,3.8957
20190306,3.8496
20190305,4.0086
20190304,3.8677
20200215,0.6732
20200214,0.6926
20190309,3.9249
20200216,0.663
20200211,0.737
20200210,0.7637
20200213,0.7001
20200212,0.717
20190224,3.549
20190225,3.7563
20190226,3.7496
20190227,3.9316
20190220,3.7173
20190221,3.6609
20190222,3.7246
20190223,3.6067
20200116,3.9913
20200117,3.9632
20200114,4.0502
20200115,3.8327
20190228,4.0693
20200113,4.1969
20200110,4.282
20200111,3.9781
20190308,4.169
20200101,4.1608
20200103,4.3086
20200102,4.2882
20200105,3.8986
20200104,3.9785
20200107,4.1899
20200106,4.2628
20200109,4.2368
20190131,3.7319
20200118,3.7308
20200119,3.8
20190312,4.0898
20190328,3.9766
20190313,4.0833
20190321,4.0435
20190320,4.0393
20190323,4.0032
20190322,4.1937
20190325,4.0798
20190324,3.9769
20190327,3.9825
20190326,3.9961
20190208,3.3578
20190209,3.369
20190202,3.5747
20190203,3.2087
20190201,3.4171
20190206,3.4276
20190207,3.3948
20190204,3.3991
20190205,3.4133
20190318,4.0255
20190129,3.6528
20190128,3.7538
20190319,4.0678
20190123,3.7039
20190122,3.7284
20190121,3.7685
20190120,3.7774
20190127,3.3987
20190126,3.4955
20190125,3.707
20190124,3.8164
20190219,3.6925
20190218,3.8559
20190215,3.6519
20190214,3.6687
20190217,3.4856
20190216,3.4848
20190211,3.6038
20190210,3.399
20190213,3.7344
20190212,3.687
20190118,4.0358
20190119,3.851
20190116,3.9009
20190117,3.9684
20190114,3.935
20190115,4.0968
20190112,3.7702
20190113,3.6731
20200310,3.2389
20200112,3.9077
20200312,3.5056
20200313,3.5713
20200314,3.5523
20200315,3.5837
20200316,3.8887
20200317,3.9397
20200318,4.0136
20200319,4.0948
20200303,0.9181
20200302,0.8703
20200301,0.7876
20200307,2.0645
20200306,1.655
20200305,1.0584
20200304,0.9447
20200309,3.1268
20200308,2.7391
20200224,0.6898
20200225,0.6979
20200226,0.7224
20200227,0.7279
20200220,0.6442
20200221,0.6485
20200222,0.6286
20200223,0.6358
20200228,0.7477
20200229,0.765
20200130,1.3748
20200131,1.4146
