Date,Value
20200321,4.1854
20200320,4.4655
20200323,4.5758
20200322,4.148
20200324,4.5796
20190310,4.5689
20190311,4.7937
20200208,1.8649
20200209,1.8007
20190314,4.7541
20190315,5.0493
20190316,4.8612
20190317,4.525
20200202,2.3969
20200203,2.3567
20200201,2.4638
20200206,2.0675
20200207,2.047
20200204,2.0457
20200205,2.0653
20200129,2.5981
20200128,2.8173
20200123,5.023
20200122,5.2513
20200121,5.3244
20200120,5.3488
20200127,2.7068
20200126,3.5056
20200125,2.5229
20200124,3.9981
20200311,4.0758
20190130,4.6864
20200217,2.2353
20200108,5.6842
20200219,2.3661
20200218,2.3153
20190303,4.7019
20190302,4.7752
20190301,5.0691
20190307,4.5369
20190306,4.5742
20190305,4.8371
20190304,4.5311
20200215,2.1386
20200214,2.4057
20190309,4.339
20200216,1.7205
20200211,2.2388
20200210,2.1688
20200213,2.3225
20200212,2.2556
20190224,4.0916
20190225,4.2083
20190226,4.4016
20190227,4.6561
20190220,4.6002
20190221,4.5484
20200118,5.1214
20190223,4.1099
20200116,5.4182
20200117,5.2342
20200114,5.3866
20200115,5.4258
20190228,4.8533
20200113,5.4535
20200110,5.693
20200111,5.1784
20190308,4.8953
20200101,5.5702
20200103,5.7253
20200102,5.7335
20200105,5.136
20200104,5.225
20200107,5.5737
20200106,5.5562
20200109,5.6085
20190131,4.8126
20190222,4.6329
20200119,5.0844
20190312,4.8921
20190328,4.6455
20190313,4.8415
20190321,4.7789
20190320,4.7897
20190323,4.3128
20190322,5.0532
20190325,4.6069
20190324,4.3777
20190327,4.6501
20190326,4.6342
20190208,4.6522
20190209,4.5208
20190202,4.5773
20190203,4.2222
20190201,4.4629
20190206,4.8726
20190207,4.4305
20190204,3.6689
20190205,4.2707
20190318,4.5294
20190129,4.7689
20190128,4.7409
20190319,4.7686
20190123,4.622
20190122,4.5498
20190121,4.4514
20190120,4.5388
20190127,4.3203
20190126,4.3801
20190125,4.6181
20190124,4.7161
20190219,4.4801
20190218,4.4699
20190215,4.6683
20190214,4.7422
20190217,4.3185
20190216,4.4784
20190211,4.3762
20190210,4.5231
20190213,4.7474
20190212,4.7995
20190118,4.9609
20190119,4.7326
20190116,4.5982
20190117,4.7795
20190114,4.7136
20190115,4.7984
20190112,4.4792
20190113,4.492
20200310,4.0877
20200112,4.8563
20200312,4.1888
20200313,4.2984
20200314,3.9222
20200315,3.9034
20200316,4.1133
20200317,4.3643
20200318,4.2249
20200319,4.2663
20200303,3.6716
20200302,3.7632
20200301,3.2615
20200307,3.5483
20200306,3.6768
20200305,3.5855
20200304,3.1079
20200309,4.1773
20200308,3.6777
20200224,3.017
20200225,3.0539
20200226,3.188
20200227,3.2686
20200220,2.452
20200221,2.5804
20200222,2.3895
20200223,2.448
20200228,3.3883
20200229,3.2449
20200130,2.6886
20200131,2.6188
