Date,Value
20200321,4.2914
20200320,5.1042
20200323,5.2789
20200322,4.3091
20200324,5.2864
20190310,4.3069
20190311,5.0084
20200208,2.4546
20200209,2.3997
20190314,4.9114
20190315,5.003
20190316,4.4043
20190317,4.1332
20200202,2.4118
20200203,2.5253
20200201,2.4384
20200206,2.3085
20200207,2.3742
20200204,2.5147
20200205,2.3706
20200129,2.6672
20200128,2.7236
20200123,5.1257
20200122,5.6142
20200121,5.6907
20200120,5.7513
20200127,2.9855
20200126,3.3502
20200125,3.9501
20200124,4.2704
20200311,4.8215
20190130,4.9658
20200217,2.8527
20200108,5.5717
20200219,3.1451
20200218,3.0549
20190303,4.2164
20190302,4.361
20190301,5.1006
20190307,4.8613
20190306,4.8397
20190305,5.0164
20190304,4.8641
20200215,1.9133
20200214,2.9727
20190309,4.2566
20200216,1.8584
20200211,3.0385
20200210,3.1878
20200213,3.0462
20200212,3.0797
20190224,3.9576
20190225,4.8048
20190226,4.7713
20190227,4.9159
20190220,4.7695
20190221,4.7654
20190222,4.8087
20190223,4.1025
20200116,5.7917
20200117,5.7931
20200114,5.6917
20200115,5.7542
20190228,5.0796
20200113,5.7593
20200110,5.793
20200111,4.9633
20190308,5.0921
20200101,4.7847
20200103,5.7009
20200102,5.6948
20200105,4.6402
20200104,4.7627
20200107,5.6731
20200106,5.6771
20200109,5.7365
20190131,5.0516
20200118,5.0084
20200119,5.672
20190312,5.0108
20190328,4.873
20190313,5.0136
20190321,4.7362
20190320,4.9454
20190323,4.3072
20190322,5.1106
20190325,5.0564
20190324,4.2721
20190327,4.9
20190326,4.9048
20190208,4.1971
20190209,4.1823
20190202,4.8435
20190203,4.1899
20190201,4.7839
20190206,4.3147
20190207,4.3169
20190204,3.8023
20190205,4.0585
20190318,4.8916
20190129,5.0057
20190128,5.0541
20190319,4.9478
20190123,4.8783
20190122,4.8664
20190121,4.8794
20190120,4.1798
20190127,4.11
20190126,4.2281
20190125,4.9268
20190124,4.9851
20190219,4.7263
20190218,4.9969
20190215,4.5676
20190214,4.8394
20190217,3.9462
20190216,4.0112
20190211,4.8459
20190210,4.1463
20190213,4.915
20190212,4.8974
20190118,5.02
20190119,4.2976
20190116,4.8462
20190117,4.9331
20190114,4.9139
20190115,5.0172
20190112,4.2025
20190113,4.0727
20200310,4.7914
20200112,4.8272
20200312,4.7103
20200313,4.9227
20200314,4.0884
20200315,3.8516
20200316,4.9696
20200317,4.9193
20200318,4.9721
20200319,4.9379
20200303,4.5466
20200302,4.6751
20200301,3.7109
20200307,3.6795
20200306,4.6189
20200305,4.5623
20200304,4.1021
20200309,4.5889
20200308,3.866
20200224,4.4807
20200225,4.3615
20200226,4.4368
20200227,4.4435
20200220,3.2669
20200221,3.203
20200222,2.8933
20200223,3.1187
20200228,4.3394
20200229,3.6761
20200130,2.5839
20200131,2.4968
