Date,Value
20200321,4.2322
20200320,4.1345
20200323,4.4383
20200322,4.1926
20200324,4.3215
20190310,4.095
20190311,3.896
20200208,0.8603
20200209,0.7678
20190314,3.9706
20190315,4.3551
20190316,4.2736
20190317,3.8826
20200202,1.4013
20200203,1.3509
20200201,1.5117
20200206,0.9511
20200207,0.9105
20200204,1.122
20200205,1.0633
20200129,1.6591
20200128,1.9325
20200123,4.0528
20200122,4.0849
20200121,4.0918
20200120,4.1609
20200127,2.598
20200126,3.6326
20200125,3.6476
20200124,4.093
20200311,3.5086
20190130,4.0874
20200217,0.5817
20200108,4.1934
20200219,0.5321
20200218,0.5658
20190303,4.043
20190302,4.165
20190301,4.2544
20190307,3.9016
20190306,3.859
20190305,4.1043
20190304,3.8426
20200215,0.5856
20200214,0.56
20190309,3.983
20200216,0.5744
20200211,0.6104
20200210,0.7037
20200213,0.5695
20200212,0.5833
20190224,3.6155
20190225,3.8045
20190226,3.7051
20190227,4.0054
20190220,3.9213
20190221,3.7627
20190222,3.784
20190223,3.7191
20200116,4.2381
20200117,4.2984
20200114,4.2522
20200115,4.223
20190228,4.1092
20200113,4.2489
20200110,4.3397
20200111,4.1304
20190308,4.2924
20200101,4.1828
20200103,4.256
20200102,4.1446
20200105,3.93
20200104,4.0229
20200107,4.1179
20200106,4.2699
20200109,4.2761
20190131,4.1964
20200118,4.0681
20200119,4.0312
20190312,4.0971
20190328,4.0407
20190313,4.1057
20190321,4.0369
20190320,4.07
20190323,4.1263
20190322,4.4729
20190325,4.2373
20190324,4.2482
20190327,4.0469
20190326,4.0171
20190208,4.1008
20190209,3.98
20190202,4.1597
20190203,3.6474
20190201,3.8062
20190206,4.2747
20190207,4.161
20190204,4.2234
20190205,4.2491
20190318,3.9986
20190129,4.121
20190128,4.2192
20190319,3.9852
20190123,3.9195
20190122,3.8933
20190121,3.9796
20190120,4.0271
20190127,3.7059
20190126,3.804
20190125,3.9633
20190124,4.2183
20190219,3.9101
20190218,4.171
20190215,3.8796
20190214,3.9528
20190217,3.5845
20190216,3.6941
20190211,4.1031
20190210,3.9763
20190213,4.1238
20190212,4.0765
20190118,4.3265
20190119,4.0762
20190116,3.9515
20190117,4.139
20190114,3.9998
20190115,4.2596
20190112,3.8583
20190113,3.7754
20200310,2.6598
20200112,4.034
20200312,3.6823
20200313,3.821
20200314,3.8987
20200315,3.8634
20200316,4.0742
20200317,4.1336
20200318,4.2101
20200319,4.2144
20200303,0.6898
20200302,0.6705
20200301,0.6216
20200307,1.0756
20200306,0.7898
20200305,0.6894
20200304,0.6901
20200309,2.0781
20200308,1.6376
20200224,0.5628
20200225,0.5662
20200226,0.5839
20200227,0.5801
20200220,0.5452
20200221,0.5375
20200222,0.5484
20200223,0.5383
20200228,0.5902
20200229,0.6272
20200130,1.5655
20200131,1.6186
