Date,Value
20200321,4.7716
20200320,4.7931
20200323,5.0201
20200322,4.8957
20200324,5.0003
20190310,5.0787
20190311,5.0579
20200208,1.8005
20200209,1.8718
20190314,5.0744
20190315,5.3304
20190316,5.2571
20190317,4.9673
20200202,1.9105
20200203,2.2224
20200201,2.1113
20200206,1.9409
20200207,1.9817
20200204,2.0763
20200205,2.0523
20200129,2.2914
20200128,2.393
20200123,5.0828
20200122,5.619
20200121,5.7607
20200120,5.8599
20200127,2.4206
20200126,2.7633
20200125,3.0286
20200124,3.5238
20200311,4.0416
20190130,5.0421
20200217,1.897
20200108,5.57
20200219,2.012
20200218,1.9525
20190303,4.9921
20190302,5.104
20190301,5.2891
20190307,4.9376
20190306,4.8412
20190305,5.0702
20190304,4.9451
20200215,1.5548
20200214,1.6263
20190309,5.0125
20200216,1.688
20200211,1.8531
20200210,1.9717
20200213,1.8936
20200212,1.8473
20190224,4.6202
20190225,4.7967
20190226,4.7555
20190227,4.9308
20190220,5.0557
20190221,4.85
20200118,5.4846
20190223,4.7155
20200116,5.8695
20200117,5.7734
20200114,5.7899
20200115,5.8184
20190228,5.0728
20200113,5.6734
20200110,5.7029
20200111,5.3616
20190308,5.1902
20200101,5.3669
20200103,5.6964
20200102,5.6446
20200105,5.1762
20200104,5.3603
20200107,5.3686
20200106,5.2351
20200109,5.558
20190131,5.2108
20190222,4.9269
20200119,5.7226
20190312,5.0932
20190328,4.9397
20190313,5.0936
20190321,4.9698
20190320,5.1363
20190323,5.0266
20190322,5.2982
20190325,5.1507
20190324,5.0339
20190327,5.0217
20190326,5.0495
20190208,4.6263
20190209,4.1999
20190202,4.9584
20190203,4.4179
20190201,4.9469
20190206,4.4789
20190207,4.5207
20190204,3.2644
20190205,3.8716
20190318,5.0261
20190129,5.1094
20190128,5.1035
20190319,5.1035
20190123,4.993
20190122,4.8971
20190121,4.8633
20190120,4.582
20190127,4.7461
20190126,4.8483
20190125,5.1037
20190124,5.1726
20190219,4.229
20190218,4.8626
20190215,4.4589
20190214,4.4583
20190217,4.6401
20190216,4.6232
20190211,4.7933
20190210,4.6074
20190213,4.4942
20190212,4.5757
20190118,4.9833
20190119,4.6864
20190116,4.8065
20190117,4.8949
20190114,4.9195
20190115,4.8933
20190112,4.6026
20190113,4.5804
20200310,3.9319
20200112,5.3111
20200312,4.0053
20200313,4.2326
20200314,4.279
20200315,4.3544
20200316,4.5097
20200317,4.6095
20200318,4.7148
20200319,4.6335
20200303,3.2338
20200302,3.1937
20200301,2.9409
20200307,3.5665
20200306,3.5298
20200305,3.3922
20200304,3.3031
20200309,3.3848
20200308,3.5288
20200224,2.5068
20200225,2.4798
20200226,2.7102
20200227,2.6798
20200220,2.024
20200221,2.1231
20200222,2.1271
20200223,2.2177
20200228,2.7182
20200229,2.726
20200130,2.3197
20200131,2.1856
