Date,Value
20200321,3.0264
20200320,3.1457
20200323,3.3907
20200322,3.0749
20200324,3.3368
20190310,3.0763
20190311,3.1194
20200208,2.0069
20200209,1.999
20190314,3.1128
20190315,3.24
20190316,3.0941
20190317,3.2795
20200202,1.9309
20200203,2.1277
20200201,2.0447
20200206,2.0722
20200207,2.124
20200204,2.1399
20200205,2.0827
20200129,2.1876
20200128,2.2072
20200123,2.5426
20200122,2.5533
20200121,2.4217
20200120,2.4638
20200127,2.2362
20200126,2.0725
20200125,1.969
20200124,2.4308
20200311,2.806
20190130,2.6245
20200217,2.2797
20200108,2.7593
20200219,2.2317
20200218,2.1504
20190303,3.4681
20190302,3.2685
20190301,3.3814
20190307,2.9224
20190306,3.0025
20190305,3.1059
20190304,3.4734
20200215,2.0764
20200214,2.2039
20190309,2.9248
20200216,2.1101
20200211,2.152
20200210,2.1582
20200213,2.1496
20200212,2.1246
20190224,2.6143
20190225,2.8405
20190226,2.8371
20190227,3.1052
20190220,2.708
20190221,2.7396
20200118,2.4651
20190223,2.601
20200116,2.6984
20200117,2.6709
20200114,2.6648
20200115,2.6501
20190228,3.4271
20200113,2.6861
20200110,2.7756
20200111,2.5845
20190308,3.21
20200101,2.7555
20200103,2.9293
20200102,2.774
20200105,2.5982
20200104,2.6707
20200107,2.7619
20200106,2.7394
20200109,2.7294
20190131,2.7404
20190222,2.7629
20200119,2.5065
20190312,3.1162
20190328,3.5777
20190313,3.2104
20190321,3.4205
20190320,3.3186
20190323,3.2129
20190322,3.5596
20190325,3.429
20190324,3.4425
20190327,3.386
20190326,3.4318
20190208,2.5908
20190209,2.5179
20190202,2.6587
20190203,2.5815
20190201,2.5254
20190206,2.3903
20190207,2.592
20190204,2.6237
20190205,2.507
20190318,3.3011
20190129,2.6401
20190128,2.6854
20190319,3.2899
20190123,2.6703
20190122,2.6358
20190121,2.7426
20190120,2.6007
20190127,2.4519
20190126,2.4641
20190125,2.632
20190124,2.6965
20190219,2.801
20190218,2.8558
20190215,2.6926
20190214,2.6238
20190217,2.4409
20190216,2.4573
20190211,2.602
20190210,2.4229
20190213,2.695
20190212,2.6604
20190118,2.8114
20190119,2.6987
20190116,2.7463
20190117,2.7788
20190114,2.8016
20190115,2.8467
20190112,2.5754
20190113,2.6066
20200310,2.9101
20200112,2.4922
20200312,2.9252
20200313,2.97
20200314,2.7985
20200315,2.7907
20200316,3.0155
20200317,3.0724
20200318,3.0962
20200319,3.1254
20200303,2.5592
20200302,2.5389
20200301,2.5261
20200307,2.6786
20200306,2.7539
20200305,2.7124
20200304,2.6151
20200309,2.932
20200308,2.6342
20200224,2.0293
20200225,2.2064
20200226,2.3751
20200227,2.3121
20200220,2.3161
20200221,2.4067
20200222,2.5033
20200223,2.4966
20200228,2.4209
20200229,2.4863
20200130,2.0855
20200131,2.0489
