Date,Value
20200321,4.7005
20200320,5.2943
20200323,5.5005
20200322,4.4864
20200324,5.4933
20190310,4.7161
20190311,5.2981
20200208,1.8099
20200209,1.7909
20190314,5.2185
20190315,5.5066
20190316,4.9657
20190317,4.5932
20200202,2.3456
20200203,2.4491
20200201,2.4504
20200206,1.9101
20200207,1.8753
20200204,2.1938
20200205,2.0126
20200129,2.6709
20200128,2.7802
20200123,4.4978
20200122,5.1978
20200121,5.5116
20200120,5.6851
20200127,2.9927
20200126,3.0323
20200125,2.922
20200124,3.378
20200311,4.8218
20190130,4.8143
20200217,2.81
20200108,6.0185
20200219,2.9399
20200218,2.8569
20190303,4.6527
20190302,4.8699
20190301,5.4378
20190307,5.1584
20190306,5.1331
20190305,5.3154
20190304,5.1531
20200215,2.0864
20200214,2.4387
20190309,4.8044
20200216,1.9913
20200211,2.3179
20200210,2.3698
20200213,2.3903
20200212,2.3553
20190224,4.2849
20190225,4.9569
20190226,4.9471
20190227,5.116
20190220,4.9595
20190221,4.9555
20190222,5.0164
20190223,4.4956
20200116,6.0312
20200117,5.9355
20200114,5.9671
20200115,6.0001
20190228,5.284
20200113,6.0336
20200110,6.1182
20200111,5.3816
20190308,5.4815
20200101,5.0589
20200103,6.0595
20200102,5.9959
20200105,5.1151
20200104,5.3483
20200107,6.0112
20200106,6.1032
20200109,6.0586
20190131,4.8731
20200118,5.2437
20200119,5.5441
20190312,5.3147
20190328,5.1772
20190313,5.2419
20190321,4.737
20190320,5.2874
20190323,4.8328
20190322,5.3146
20190325,5.3239
20190324,4.6475
20190327,5.1943
20190326,5.2275
20190208,3.3738
20190209,3.5029
20190202,4.371
20190203,3.6496
20190201,4.4362
20190206,3.2213
20190207,3.297
20190204,3.1194
20190205,3.1704
20190318,5.2303
20190129,4.9029
20190128,4.9779
20190319,5.3324
20190123,4.9293
20190122,4.9387
20190121,4.9727
20190120,4.3021
20190127,4.1876
20190126,4.3782
20190125,4.8991
20190124,5.0471
20190219,4.7929
20190218,5.0529
20190215,4.5602
20190214,4.7659
20190217,4.111
20190216,4.2242
20190211,4.4732
20190210,3.8197
20190213,4.759
20190212,4.6805
20190118,5.1517
20190119,4.5572
20190116,4.9916
20190117,5.0717
20190114,5.0609
20190115,5.1624
20190112,4.5586
20190113,4.2577
20200310,4.7326
20200112,5.107
20200312,4.8352
20200313,4.9387
20200314,4.2189
20200315,3.7783
20200316,5.1344
20200317,5.0216
20200318,5.1491
20200319,5.1424
20200303,4.3087
20200302,4.3444
20200301,3.2253
20200307,3.6815
20200306,4.4525
20200305,4.3866
20200304,4.1842
20200309,4.686
20200308,3.5393
20200224,3.8645
20200225,3.8106
20200226,3.8439
20200227,3.8957
20200220,3.089
20200221,3.1672
20200222,2.6446
20200223,2.7012
20200228,3.7641
20200229,3.2947
20200130,2.5092
20200131,2.4819
