Date,Value
20200321,3.9079
20200320,3.9007
20200323,4.1303
20200322,3.868
20200324,4.1218
20190310,3.8555
20190311,3.8735
20200208,1.2893
20200209,0.9603
20190314,3.8825
20190315,4.1536
20190316,4.0736
20190317,3.7372
20200202,1.4602
20200203,1.5432
20200201,1.573
20200206,1.3487
20200207,1.3572
20200204,1.4087
20200205,1.373
20200129,1.7735
20200128,1.9753
20200123,3.5708
20200122,3.6839
20200121,3.7282
20200120,3.8523
20200127,2.588
20200126,3.3057
20200125,3.3796
20200124,3.662
20190130,3.6847
20200217,0.7356
20200108,4.0268
20200219,0.6722
20200218,0.7134
20190303,3.8013
20190302,3.9304
20190301,4.0659
20190307,3.8082
20190306,3.7634
20190305,3.9326
20190304,3.7604
20200215,0.8111
20200214,0.8123
20190309,3.7941
20200216,0.7516
20200211,0.8984
20200210,0.8888
20200213,0.8258
20200212,0.8502
20190224,3.4151
20190225,3.6444
20190226,3.6167
20190227,3.8473
20190220,3.6734
20190221,3.6296
20190222,3.6015
20190223,3.4668
20200116,3.9029
20200117,3.8345
20200114,3.9064
20200115,3.8805
20200112,3.7184
20200113,4.007
20200110,4.0748
20200111,3.7953
20190308,4.0674
20200101,3.9743
20200103,4.0865
20200102,4.0822
20200105,3.6725
20200104,3.7782
20200107,4.0038
20200106,4.0545
20200109,4.0171
20190131,3.7613
20200118,3.6641
20200119,3.7214
20190312,4.0019
20190328,3.9562
20190313,3.9746
20190321,3.972
20190320,3.989
20190323,3.9312
20190322,4.1492
20190325,4.0853
20190324,3.9295
20190327,3.9503
20190326,3.9433
20190208,3.6185
20190209,3.563
20190202,3.5989
20190203,3.2352
20190201,3.379
20190206,3.7114
20190207,3.6232
20190204,3.742
20190205,3.7267
20190318,3.9377
20190129,3.701
20190128,3.8031
20190319,3.9966
20190123,3.704
20190122,3.699
20190121,3.7758
20190120,3.6852
20190127,3.3942
20190126,3.4755
20190125,3.6804
20190124,3.8825
20190219,3.658
20190218,3.8017
20190215,3.5821
20190214,3.615
20190217,3.3335
20190216,3.4254
20190211,3.6986
20190210,3.5277
20190213,3.7282
20190212,3.7517
20190118,3.9884
20190119,3.7791
20190116,3.7771
20190117,3.8827
20190114,3.7909
20190115,4.0105
20190112,3.6307
20190113,3.5405
20190228,3.9409
20200310,2.8629
20200311,3.0182
20200312,3.1874
20200313,3.3293
20200314,3.3761
20200315,3.3753
20200316,3.724
20200317,3.8076
20200318,3.9315
20200319,3.9442
20200303,0.774
20200302,0.7641
20200301,0.721
20200307,1.8879
20200306,1.9349
20200305,1.8101
20200304,0.9702
20200309,2.5944
20200308,2.0709
20200224,0.6792
20200225,0.6877
20200226,0.6904
20200227,0.6889
20200220,0.6666
20200221,0.6686
20200222,0.6601
20200223,0.6485
20200228,0.6988
20200229,0.7235
20200130,1.6876
20200131,1.7099
