Date,Value
20200321,4.5155
20200320,4.83
20200323,4.888
20200322,4.4475
20200324,4.9355
20190310,4.41
20190311,4.4845
20200208,2.8633
20200209,2.7885
20190314,4.4908
20190315,4.8424
20190316,4.446
20190317,4.3443
20200202,3.0117
20200203,3.0649
20200201,3.0159
20200206,3.0355
20200207,3.0262
20200204,2.9929
20200205,2.9889
20200129,3.3342
20200128,3.4001
20200123,5.3518
20200122,5.4812
20200121,5.5652
20200120,5.4339
20200127,3.4207
20200126,3.6984
20200125,2.9342
20200124,4.5298
20200311,4.6349
20190130,4.7827
20200217,2.9852
20200108,5.3177
20200219,3.2445
20200218,3.0771
20190303,4.5145
20190302,4.3569
20190301,4.948
20190307,4.3978
20190306,4.3243
20190305,4.5474
20190304,4.3751
20200215,2.9715
20200214,3.0271
20190309,4.2818
20200216,2.7098
20200211,3.0285
20200210,3.0527
20200213,2.8245
20200212,3.0302
20190224,4.1686
20190225,4.3118
20190226,4.3695
20190227,4.4998
20190220,5.082
20190221,4.5353
20190222,4.6826
20190223,4.2458
20200116,5.4166
20200117,5.5271
20200114,5.4225
20200115,5.4117
20190228,4.6052
20200113,5.3238
20200110,5.5987
20200111,5.0877
20190308,5.0004
20200101,5.3355
20200103,5.5246
20200102,5.4126
20200105,5.0458
20200104,4.9659
20200107,5.2739
20200106,5.2896
20200109,5.3014
20190131,4.9319
20200118,5.0225
20200119,5.2564
20190312,4.5655
20190328,4.2923
20190313,4.5061
20190321,4.4093
20190320,4.4761
20190323,4.173
20190322,4.8328
20190325,4.3339
20190324,4.2785
20190327,4.3538
20190326,4.3749
20190208,4.7554
20190209,4.8218
20190202,4.8023
20190203,4.5481
20190201,4.6814
20190206,4.3494
20190207,4.5606
20190204,4.1167
20190205,4.2331
20190318,4.4065
20190129,4.7839
20190128,4.8077
20190319,4.4742
20190123,4.6995
20190122,4.6604
20190121,4.4546
20190120,4.5426
20190127,4.2965
20190126,4.3127
20190125,4.7528
20190124,4.7813
20190219,4.6772
20190218,4.7963
20190215,4.7056
20190214,4.7364
20190217,4.3302
20190216,4.3913
20190211,4.8821
20190210,4.8412
20190213,4.8521
20190212,4.8963
20190118,5.0226
20190119,4.6861
20190116,4.5681
20190117,4.7953
20190114,4.627
20190115,4.7734
20190112,4.4361
20190113,4.5316
20200310,4.5418
20200112,5.0376
20200312,4.6275
20200313,4.6793
20200314,4.229
20200315,4.1641
20200316,4.7372
20200317,4.7639
20200318,4.7667
20200319,4.7591
20200303,4.3467
20200302,4.3431
20200301,3.9915
20200307,4.1808
20200306,4.3936
20200305,4.2283
20200304,4.2521
20200309,4.5465
20200308,4.2791
20200224,3.937
20200225,3.9976
20200226,3.9745
20200227,4.0224
20200220,3.3639
20200221,3.4092
20200222,3.2475
20200223,3.4591
20200228,4.1069
20200229,3.9892
20200130,3.4151
20200131,3.134
