Date,Value
20200321,3.9197
20200320,4.5533
20200323,4.6038
20200322,3.5557
20200324,4.5644
20190310,4.3354
20190311,4.7435
20200208,1.5488
20200209,1.6913
20190314,4.6961
20190315,5.0538
20190316,4.5031
20190317,4.1396
20200202,1.3277
20200203,1.5027
20200201,1.4121
20200206,1.3305
20200207,1.4783
20200204,1.4844
20200205,1.4918
20200129,1.5311
20200128,1.6165
20200123,2.9103
20200122,3.5254
20200121,4.0543
20200120,4.3927
20200127,1.6051
20200126,1.9348
20200125,1.9937
20200124,2.5117
20200311,4.0207
20190130,3.92
20200217,2.3886
20200108,5.3035
20200219,2.3942
20200218,2.3922
20190303,4.2946
20190302,4.256
20190301,4.8897
20190307,4.6166
20190306,4.5673
20190305,4.6988
20190304,4.6344
20200215,1.4888
20200214,2.1859
20190309,4.3187
20200216,1.7042
20200211,1.9395
20200210,2.1106
20200213,2.11
20200212,2.0543
20190224,3.9421
20190225,4.4728
20190226,4.4197
20190227,4.5253
20190220,4.1813
20190221,4.1692
20190222,4.4796
20200119,4.511
20200116,5.003
20200117,5.0247
20200114,5.1226
20200115,4.9774
20190228,4.7335
20200113,5.2062
20200110,5.2275
20200111,4.7322
20190308,4.8176
20200101,4.6962
20200103,5.2993
20200102,5.2856
20200105,4.4679
20200104,4.6151
20200107,5.2923
20200106,5.3318
20200109,5.2114
20190131,3.7893
20200118,4.4416
20190223,3.993
20190312,4.8182
20190328,4.5966
20190313,4.7854
20190321,4.6922
20190320,4.7956
20190323,4.3748
20190322,4.8535
20190325,4.7861
20190324,4.1333
20190327,4.6538
20190326,4.6594
20190208,2.5496
20190209,2.5889
20190202,3.1197
20190203,2.5863
20190201,3.3321
20190206,2.756
20190207,2.513
20190204,2.4305
20190205,2.5933
20190318,4.6922
20190129,4.167
20190128,4.2867
20190319,4.7873
20190123,4.3364
20190122,4.3601
20190121,4.4448
20190120,3.8977
20190127,3.7221
20190126,3.9084
20190125,4.3941
20190124,4.4818
20190219,4.098
20190218,4.2196
20190215,4.1025
20190214,4.1428
20190217,3.5401
20190216,3.7592
20190211,3.4756
20190210,2.9052
20190213,4.0332
20190212,3.9388
20190118,4.6781
20190119,4.1156
20190116,4.2704
20190117,4.4743
20190114,4.4507
20190115,4.6363
20190112,4.0479
20190113,3.8369
20200310,4.0609
20200112,4.5657
20200312,3.9887
20200313,4.1346
20200314,3.6051
20200315,3.501
20200316,4.3064
20200317,4.2994
20200318,4.3926
20200319,4.435
20200303,3.4467
20200302,3.6416
20200301,2.8102
20200307,3.0416
20200306,3.6331
20200305,3.7437
20200304,3.6231
20200309,3.8388
20200308,3.037
20200224,3.2375
20200225,3.2043
20200226,3.2174
20200227,3.185
20200220,2.5747
20200221,2.5625
20200222,2.2438
20200223,2.3314
20200228,3.2176
20200229,2.5563
20200130,1.5202
20200131,1.4636
