Date,Value
20200321,4.6194
20200320,4.8021
20200323,4.8753
20200322,4.655
20200324,4.8649
20190310,4.6896
20190311,4.8093
20200208,2.3228
20200209,2.377
20190314,4.7401
20190315,5.1409
20190316,4.8253
20190317,4.6005
20200202,2.2922
20200203,2.5002
20200201,2.2721
20200206,2.1769
20200207,2.3912
20200204,2.3948
20200205,2.306
20200129,2.3824
20200128,2.3873
20200123,4.8714
20200122,5.1615
20200121,5.2655
20200120,5.3661
20200127,2.5231
20200126,2.9066
20200125,3.4935
20200124,4.0119
20200311,4.3422
20190130,4.7757
20200217,2.5798
20200108,4.7247
20200219,2.667
20200218,2.6175
20190303,4.6132
20190302,4.6522
20190301,5.0933
20190307,4.6646
20190306,4.6135
20190305,4.7952
20190304,4.6433
20200215,2.1596
20200214,2.3707
20190309,4.6144
20200216,2.1916
20200211,2.4158
20200210,2.5124
20200213,2.4305
20200212,2.4117
20190224,4.2409
20190225,4.5485
20190226,4.4731
20190227,4.62
20190220,5.0478
20190221,4.6534
20200118,4.8753
20190223,4.3656
20200116,4.8419
20200117,5.24
20200114,5.3743
20200115,5.2329
20190228,4.7709
20200113,5.2856
20200110,4.9434
20200111,4.1889
20190308,5.0459
20200101,5.0824
20200103,5.4412
20200102,5.4347
20200105,3.932
20200104,4.9589
20200107,4.2873
20200106,4.5969
20200109,4.9988
20190131,4.3664
20190222,4.6675
20200119,5.1762
20190312,4.8239
20190328,4.6405
20190313,4.8003
20190321,4.7264
20190320,4.7914
20190323,4.658
20190322,5.0554
20190325,4.8295
20190324,4.6795
20190327,4.6903
20190326,4.6877
20190208,4.8376
20190209,4.6016
20190202,4.8097
20190203,4.3463
20190201,4.5621
20190206,5.0358
20190207,5.3025
20190204,3.7475
20190205,4.3916
20190318,4.7459
20190129,4.8184
20190128,4.9032
20190319,4.7934
20190123,4.773
20190122,4.7029
20190121,4.7598
20190120,4.4585
20190127,4.3587
20190126,4.521
20190125,4.9283
20190124,4.9095
20190219,4.5735
20190218,4.5685
20190215,4.3098
20190214,3.6924
20190217,4.4656
20190216,4.4312
20190211,4.7295
20190210,3.95
20190213,4.6726
20190212,5.0092
20190118,4.9572
20190119,4.5346
20190116,4.6187
20190117,4.7879
20190114,4.6693
20190115,4.7437
20190112,4.3967
20190113,4.377
20200310,4.2767
20200112,4.494
20200312,4.3172
20200313,4.4166
20200314,4.2794
20200315,4.3627
20200316,4.6333
20200317,4.6314
20200318,4.6302
20200319,4.6808
20200303,3.725
20200302,3.6603
20200301,3.4925
20200307,3.9327
20200306,4.0172
20200305,3.8512
20200304,3.7923
20200309,4.2106
20200308,3.8914
20200224,3.1647
20200225,3.3316
20200226,3.1997
20200227,2.9249
20200220,2.6435
20200221,2.7525
20200222,2.7454
20200223,2.8876
20200228,3.1604
20200229,3.441
20200130,2.4307
20200131,2.3595
