Date,Value
20200321,3.8393
20200320,3.871
20200323,3.8685
20200322,3.77
20200324,3.8791
20190310,3.2725
20190311,3.5388
20200208,1.8064
20200209,1.925
20190314,3.5713
20190315,3.7177
20190316,3.6768
20190317,3.4388
20200202,1.8672
20200203,1.9699
20200201,2.016
20200206,1.9731
20200207,2.0482
20200204,1.6699
20200205,1.9781
20200129,2.2965
20200128,2.1036
20200123,3.1204
20200122,3.2487
20200121,3.281
20200120,3.3445
20200127,2.3978
20200126,2.5591
20200125,2.7682
20200124,2.5341
20200311,3.6023
20190130,3.0176
20200217,2.4579
20200108,4.0857
20200219,2.585
20200218,2.5198
20190303,3.3065
20190302,3.5741
20190301,3.7196
20190307,3.2044
20190306,3.3431
20190305,3.4057
20190304,3.4676
20200215,2.3539
20200214,2.1569
20190309,3.0905
20200216,1.8298
20200211,2.2597
20200210,2.2563
20200213,2.2788
20200212,2.3388
20190224,2.8659
20190225,3.269
20190226,3.3074
20190227,3.4767
20190220,3.1773
20190221,3.1193
20190222,3.2635
20190223,3.0853
20200116,3.6366
20200117,3.478
20200114,3.6947
20200115,3.6314
20190228,3.5759
20200113,3.7926
20200110,4.0728
20200111,3.8049
20190308,3.5472
20200101,3.9156
20200103,4.176
20200102,4.1271
20200105,3.7551
20200104,3.9052
20200107,4.1223
20200106,4.0747
20200109,4.0351
20190131,3.0413
20200118,3.2669
20200119,3.3198
20190312,3.6461
20190328,3.5724
20190313,3.6366
20190321,3.6607
20190320,3.6089
20190323,3.4346
20190322,3.6821
20190325,3.5584
20190324,3.2043
20190327,3.5708
20190326,3.5563
20190208,2.7264
20190209,2.7465
20190202,2.7403
20190203,2.5187
20190201,2.7371
20190206,3.2523
20190207,2.8862
20190204,2.1778
20190205,2.715
20190318,3.5373
20190129,3.0228
20190128,3.1015
20190319,3.6452
20190123,3.3372
20190122,3.3497
20190121,3.4222
20190120,3.4266
20190127,2.8738
20190126,3.0404
20190125,3.2331
20190124,3.3672
20190219,2.657
20190218,2.9378
20190215,3.0028
20190214,3.0065
20190217,2.7729
20190216,2.8623
20190211,2.7722
20190210,2.7412
20190213,2.9482
20190212,3.0135
20190118,3.7233
20190119,3.584
20190116,3.5304
20190117,3.6269
20190114,3.5439
20190115,3.7828
20190112,3.501
20190113,3.3883
20200310,3.6351
20200112,3.6104
20200312,3.5745
20200313,3.7149
20200314,3.4601
20200315,3.6133
20200316,3.7553
20200317,3.7518
20200318,3.6394
20200319,3.7019
20200303,3.375
20200302,3.3068
20200301,3.2256
20200307,3.5178
20200306,3.5013
20200305,3.3493
20200304,3.2285
20200309,3.6083
20200308,3.3902
20200224,3.0606
20200225,3.1018
20200226,3.146
20200227,3.1336
20200220,2.7222
20200221,2.8576
20200222,2.8067
20200223,2.7601
20200228,3.2412
20200229,3.2715
20200130,2.2818
20200131,2.1496
