Date,Value
20200321,4.2175
20200320,4.9259
20200323,5.0407
20200322,4.0091
20200324,5.0362
20190310,4.4339
20190311,5.0569
20200208,1.4486
20200209,1.4351
20190314,4.9913
20190315,5.3239
20190316,4.6619
20190317,4.3197
20200202,1.6229
20200203,2.0728
20200201,1.6132
20200206,1.8228
20200207,1.6759
20200204,1.8942
20200205,1.79
20200129,1.718
20200128,1.6002
20200123,3.3562
20200122,4.0045
20200121,4.513
20200120,4.9132
20200127,1.6748
20200126,1.8877
20200125,2.0382
20200124,2.6638
20200311,4.3988
20190130,4.2224
20200217,2.0355
20200108,5.6785
20200219,2.1766
20200218,2.0692
20190303,4.3827
20190302,4.6212
20190301,5.1574
20190307,4.7793
20190306,4.8519
20190305,5.1053
20190304,4.8763
20200215,1.3588
20200214,1.731
20190309,4.4803
20200216,1.4358
20200211,1.6654
20200210,1.742
20200213,1.7248
20200212,1.6627
20190224,3.9468
20190225,4.7542
20190226,4.6797
20190227,4.9222
20190220,4.7419
20190221,4.6878
20190222,4.7932
20190223,4.1963
20200116,5.572
20200117,5.4983
20200114,5.5587
20200115,5.5158
20190228,5.0836
20200113,5.6223
20200110,5.7638
20200111,5.068
20190308,5.0477
20200101,4.7398
20200103,5.8047
20200102,5.6528
20200105,4.6635
20200104,4.9248
20200107,5.6597
20200106,5.6462
20200109,5.6605
20190131,4.2172
20200118,4.6969
20200119,5.0333
20190312,5.0973
20190328,4.9286
20190313,5.0875
20190321,5.0097
20190320,5.0947
20190323,4.4874
20190322,5.2315
20190325,5.0219
20190324,4.3082
20190327,4.923
20190326,4.8976
20190208,2.5441
20190209,2.6797
20190202,3.4332
20190203,2.8707
20190201,3.6809
20190206,2.506
20190207,2.519
20190204,2.5297
20190205,2.5178
20190318,4.9777
20190129,4.3733
20190128,4.5252
20190319,5.0551
20190123,4.6954
20190122,4.714
20190121,4.7667
20190120,4.1379
20190127,3.7543
20190126,4.0109
20190125,4.6011
20190124,4.8176
20190219,4.586
20190218,4.744
20190215,4.4083
20190214,4.3005
20190217,3.6385
20190216,3.9265
20190211,3.7209
20190210,2.952
20190213,4.2656
20190212,4.0784
20190118,5.0242
20190119,4.4116
20190116,4.8226
20190117,4.9234
20190114,4.8159
20190115,4.9719
20190112,4.2381
20190113,4.0636
20200310,4.3483
20200112,4.7962
20200312,4.4381
20200313,4.5344
20200314,3.8001
20200315,3.5756
20200316,4.5251
20200317,4.7745
20200318,4.7757
20200319,4.8416
20200303,3.9141
20200302,3.7197
20200301,2.7656
20200307,3.4111
20200306,4.074
20200305,4.0248
20200304,4.0302
20200309,4.2877
20200308,3.203
20200224,3.0243
20200225,3.0951
20200226,3.1638
20200227,3.1824
20200220,2.2135
20200221,2.4322
20200222,1.9746
20200223,1.9781
20200228,3.3528
20200229,2.9273
20200130,1.6084
20200131,1.5894
