Date,Value
20200321,4.6965
20200320,4.7999
20200323,4.8312
20200322,4.6963
20200324,4.8268
20190310,4.307
20190311,3.9644
20200208,2.5608
20200209,2.5252
20190314,4.0229
20190315,4.4672
20190316,4.2942
20190317,4.0506
20200202,3.175
20200203,3.338
20200201,3.0888
20200206,2.8103
20200207,2.7374
20200204,3.2378
20200205,3.073
20200129,3.311
20200128,3.4726
20200123,5.8205
20200122,5.5167
20200121,5.2854
20200120,5.1823
20200127,3.5914
20200126,4.1619
20200125,4.5615
20200124,5.4985
20200311,4.4134
20190130,4.2813
20200217,2.8121
20200108,5.0017
20200219,2.9341
20200218,2.8675
20190303,4.284
20190302,4.1789
20190301,4.4662
20190307,3.851
20190306,3.8398
20190305,4.1976
20190304,3.7791
20200215,2.8962
20200214,2.8446
20190309,4.053
20200216,2.5795
20200211,2.6618
20200210,2.7143
20200213,2.691
20200212,2.7833
20190224,3.6131
20190225,3.6247
20190226,3.6862
20190227,4.0001
20190220,4.4136
20190221,3.8378
20200118,4.8801
20200119,5.0166
20200116,4.9599
20200117,5.0015
20200114,4.9504
20200115,4.9122
20190228,4.0851
20200113,5.0614
20200110,5.0966
20200111,4.978
20190308,4.4129
20200101,5.0132
20200103,5.0014
20200102,4.8568
20200105,4.8844
20200104,4.7421
20200107,4.845
20200106,4.832
20200109,4.8782
20190131,4.4301
20190222,3.9526
20190223,3.6937
20190312,4.2034
20190328,3.8288
20190313,4.1892
20190321,4.0929
20190320,3.9846
20190323,3.9654
20190322,4.4583
20190325,4.0992
20190324,4.1108
20190327,3.8419
20190326,3.8823
20190208,5.0418
20190209,4.7287
20190202,4.6318
20190203,4.5947
20190201,4.1503
20190206,5.0985
20190207,4.6499
20190204,4.6257
20190205,4.8621
20190318,3.8724
20190129,4.3581
20190128,4.2236
20190319,3.9604
20190123,3.8913
20190122,3.8907
20190121,3.9742
20190120,4.1377
20190127,3.7856
20190126,3.8469
20190125,4.0048
20190124,4.2617
20190219,4.4515
20190218,4.7371
20190215,4.2309
20190214,4.14
20190217,4.1864
20190216,4.1132
20190211,4.4154
20190210,4.5021
20190213,4.3364
20190212,4.3693
20190118,4.3682
20190119,4.3383
20190116,3.8725
20190117,4.1203
20190114,3.9408
20190115,4.368
20190112,4.0375
20190113,4.2609
20200310,4.2684
20200112,4.7418
20200312,4.5633
20200313,4.6447
20200314,4.2489
20200315,4.3092
20200316,4.5789
20200317,4.6586
20200318,4.6466
20200319,4.6826
20200303,4.045
20200302,4.0566
20200301,3.8532
20200307,4.2292
20200306,4.0632
20200305,3.8237
20200304,3.9804
20200309,4.4664
20200308,4.3002
20200224,3.5302
20200225,3.5493
20200226,3.6233
20200227,3.6313
20200220,3.0486
20200221,3.132
20200222,3.1487
20200223,3.1922
20200228,3.6733
20200229,3.7795
20200130,3.1734
20200131,3.1489
