Date,Value
20200321,4.4478
20200320,4.635
20200323,4.826
20200322,4.4722
20200324,4.9042
20190310,4.6724
20190311,4.564
20200208,2.4089
20200209,2.5329
20190314,4.5279
20190315,4.9267
20190316,4.4566
20190317,4.2626
20200202,3.4099
20200203,3.1391
20200201,3.519
20200206,2.7777
20200207,2.591
20200204,3.133
20200205,2.7701
20200129,3.8832
20200128,3.905
20200123,6.0758
20200122,5.9509
20200121,5.5973
20200120,5.4675
20200127,3.9232
20200126,4.8092
20200125,3.198
20200124,5.0514
20200311,4.6231
20190130,5.3369
20200217,3.208
20200108,5.0143
20200219,3.2752
20200218,3.2467
20190303,4.6596
20190302,4.6112
20190301,4.9803
20190307,4.1979
20190306,4.3286
20190305,4.6214
20190304,4.4278
20200215,3.0701
20200214,3.2177
20190309,4.1462
20200216,2.9481
20200211,2.9727
20200210,2.967
20200213,3.1994
20200212,3.0934
20190224,4.7705
20190225,4.278
20190226,4.2974
20190227,4.4235
20190220,4.8462
20190221,4.5782
20190222,4.5728
20200119,5.3015
20200116,5.3881
20200117,5.5882
20200114,4.6761
20200115,5.1242
20190228,4.552
20200113,5.0709
20200110,5.3307
20200111,4.6147
20190308,4.6518
20200101,5.234
20200103,5.216
20200102,5.1137
20200105,4.8233
20200104,4.7661
20200107,5.0247
20200106,5.0786
20200109,5.0213
20190131,5.6013
20200118,4.9889
20190223,4.299
20190312,4.644
20190328,4.4282
20190313,4.5907
20190321,4.5523
20190320,4.5117
20190323,4.2476
20190322,4.6757
20190325,4.4746
20190324,4.5096
20190327,4.4222
20190326,4.3674
20190208,5.5938
20190209,5.3975
20190202,5.8099
20190203,5.6184
20190201,5.4121
20190206,6.0103
20190207,5.7215
20190204,5.0028
20190205,5.5066
20190318,4.3433
20190129,5.2904
20190128,5.2316
20190319,4.4551
20190123,4.8756
20190122,4.5544
20190121,4.3405
20190120,4.3321
20190127,4.6958
20190126,4.645
20190125,4.894
20190124,5.2755
20190219,4.8182
20190218,4.8116
20190215,4.8475
20190214,5.173
20190217,3.9579
20190216,4.4761
20190211,5.0468
20190210,5.2294
20190213,4.9929
20190212,5.1559
20190118,4.6089
20190119,4.2605
20190116,4.1628
20190117,4.3858
20190114,4.3614
20190115,4.3846
20190112,4.2255
20190113,4.3822
20200310,4.6199
20200112,4.8873
20200312,4.6173
20200313,4.7407
20200314,4.4229
20200315,4.3221
20200316,4.4427
20200317,4.2544
20200318,4.3681
20200319,4.4252
20200303,4.3862
20200302,4.4114
20200301,4.1522
20200307,4.2999
20200306,4.4439
20200305,4.2384
20200304,3.7431
20200309,4.7194
20200308,4.3556
20200224,4.4233
20200225,4.3406
20200226,4.351
20200227,4.3417
20200220,3.3428
20200221,3.9056
20200222,3.9981
20200223,4.0547
20200228,4.262
20200229,4.1269
20200130,3.9879
20200131,3.9351
