Date,Value
20200321,4.6142
20200320,4.9486
20200323,4.7549
20200322,4.6826
20200324,4.7083
20190310,4.2986
20190311,4.0444
20200208,2.9316
20200209,2.9442
20190314,4.0841
20190315,4.4909
20190316,4.248
20190317,4.1192
20200202,3.5974
20200203,3.2698
20200201,3.789
20200206,2.9193
20200207,2.9812
20200204,2.9834
20200205,2.9228
20200129,4.1611
20200128,4.5176
20200123,5.3701
20200122,5.3905
20200121,5.3426
20200120,5.3547
20200127,4.8654
20200126,5.0073
20200125,4.0907
20200124,4.7592
20190130,4.8645
20200217,3.4515
20200108,4.7269
20200219,3.7376
20200218,3.5201
20190303,4.1461
20190302,4.1251
20190301,4.4557
20190307,3.9376
20190306,3.8714
20190305,4.0978
20190304,3.9213
20200215,3.1783
20200214,3.5209
20190309,4.0358
20200216,3.1408
20200211,3.3338
20200210,3.2208
20200213,3.4573
20200212,3.3686
20190224,4.0776
20190225,4.2365
20190226,4.3239
20190227,4.4898
20190220,4.5071
20190221,4.333
20190222,4.3323
20190223,4.0966
20200116,5.1821
20200117,5.2875
20200114,4.9707
20200115,5.0106
20200112,4.9185
20200113,5.049
20200110,5.14
20200111,4.857
20190308,4.3919
20200101,4.6751
20200103,4.9777
20200102,4.8824
20200105,4.5376
20200104,4.4508
20200107,4.6614
20200106,4.6548
20200109,4.7436
20190131,4.9926
20200118,5.2163
20200119,5.3737
20190312,4.0751
20190328,3.8842
20190313,4.0884
20190321,3.9765
20190320,4.0079
20190323,4.1635
20190322,4.4447
20190325,4.0534
20190324,4.2634
20190327,3.9465
20190326,3.9439
20190208,5.0889
20190209,4.9207
20190202,5.0859
20190203,4.8286
20190201,4.77
20190206,5.1702
20190207,5.1397
20190204,4.3755
20190205,4.7728
20190318,3.9296
20190129,5.0043
20190128,4.8474
20190319,4.005
20190123,4.488
20190122,4.2732
20190121,4.307
20190120,4.4482
20190127,4.5315
20190126,4.6056
20190125,4.8567
20190124,4.6564
20190219,4.5544
20190218,4.5723
20190215,4.5963
20190214,4.7762
20190217,4.1742
20190216,4.3163
20190211,4.9742
20190210,4.9304
20190213,4.814
20190212,4.9551
20190118,4.7143
20190119,4.4219
20190116,4.2069
20190117,4.4606
20190114,4.2131
20190115,4.3642
20190112,4.2679
20190113,4.3591
20190228,4.6412
20200310,4.7633
20200311,4.7348
20200312,4.7503
20200313,4.8539
20200314,4.6003
20200315,4.6027
20200316,4.8737
20200317,4.7817
20200318,4.7855
20200319,4.7785
20200303,4.7406
20200302,4.8566
20200301,4.6967
20200307,4.5822
20200306,4.8294
20200305,4.7447
20200304,4.7254
20200309,4.7972
20200308,4.6983
20200224,4.5464
20200225,4.5327
20200226,4.5313
20200227,4.5193
20200220,3.8319
20200221,4.0271
20200222,3.9341
20200223,4.0728
20200228,4.6197
20200229,4.587
20200130,3.9484
20200131,3.8698
